,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2021,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7080-601,0,2,0,5,2,1,0,0,0,0,0,0,0,10,3.332,0,0,0,10
WONSOWICZ P0.00% 20.00%,,0.00% 50.00% 20.00% 10.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,0,5,2,1,0,0,0,0,0,0,0,10,3.332,0,0,0,10
,0.00% 20.00%,0.00% 50.00% 20.00% 10.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7301-601,0,1,1,1,2,0,0,0,0,0,0,0,0,5,3.4,0,0,0,5
WILSON R,0.00% 20.00% 20.00% 20.00% 40.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,1,1,1,2,0,0,0,0,0,0,0,0,5,3.4,0,0,0,5
,0.00% 20.00% 20.00% 20.00% 40.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7437-601,1,0,2,1,1,0,0,0,0,0,0,0,0,5,3.536,0,0,0,5
GUIORA A,20.00%,0.00% 40.00% 20.00% 20.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,0,2,1,1,0,0,0,0,0,0,0,0,5,3.536,0,0,0,5
,20.00%,0.00% 40.00% 20.00% 20.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7900-601,0,2,2,0,2,0,0,0,0,0,0,0,0,6,3.556,0,0,0,6
CHATMAN C,0.00% 33.33% 33.33%,,0.00% 33.33%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,2,0,2,0,0,0,0,0,0,0,0,6,3.556,0,0,0,6
,0.00% 33.33% 33.33%,,0.00% 33.33%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2021,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,,------,-----,---,---,---,------
DEPARTMENT,1,5,5,7,7,1,0,0,0,0,0,0,0,26,3.432,0,0,0,26
TOTAL:,3.85% 19.23% 19.23% 26.92% 26.92%,,,,3.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COLLEGE,1,5,5,7,7,1,0,0,0,0,0,0,0,26,3.432,0,0,0,26
TOTAL:,3.85% 19.23% 19.23% 26.92% 26.92%,,,,3.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
