,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2021,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,RANGEL COLL OF PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-642-101,3,4,0,0,0,7,3.428,0,0,0,0,7,NUTAN M
,42.86%,57.14%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,3,4,0,0,0,7,3.428,0,0,0,0,7,
,42.86%,57.14%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-875-301,4,4,1,0,0,9,3.333,0,0,0,0,9,BREMICK M
,44.44%,44.44%,11.11%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,4,4,1,0,0,9,3.333,0,0,0,0,9,
,44.44%,44.44%,11.11%,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,7,8,1,0,0,16,3.381,0,0,0,0,16,
,43.75%,50.00%,6.25%,0.00%,0.00%,,,,,,,,
COLLEGE TOTAL:,7,8,1,0,0,16,3.381,0,0,0,0,16,
,43.75%,50.00%,6.25%,0.00%,0.00%,,,,,,,,
