SECTION,b,A,d,B,f,C,D,i,F,k,A_2,- F,n,GPR,p,I,r,s,S,u,v,U,x,y,Q,aa,bb,X,dd,ee,TOTAL,gg,INSTRUCTOR,ii,jj,kk
AGCJ-105-500,,52,,13,,1,0,,0,,,66,,3.773,,,False,,,False,,,False,,,True,,,False,,67,,COSTELLO L,,,
,,0.7879,,0.197,,0.0152,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-105-501,,9,,6,,0,0,,0,,,15,,3.6,,,False,,,False,,,False,,,False,,,False,,15,,COSTELLO L,,,
,,0.6,,0.4,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,61,,19,,1,0,,0,,,81,,3.741,,,False,,,False,,,False,,,True,,,False,,82,,,,,
,,0.7531,,0.2346,,0.0123,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-281-599,,50,,7,,2,3,,2,,,64,,3.562,,,False,,,False,,,False,,,False,,,False,,64,,DUNSFORD D,,,
,,0.7813,,0.1094,,0.0313,0.0469,,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-281-700,,8,,2,,0,0,,0,,,10,,3.8,,,True,,,False,,,False,,,False,,,False,,11,,DUNSFORD D,,,
,,0.8,,0.2,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,58,,9,,2,3,,2,,,74,,3.595,,,True,,,False,,,False,,,False,,,False,,75,,,,,
,,0.7838,,0.1216,,0.027,0.0405,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-306-598,,29,,24,,2,3,,0,,,58,,3.362,,,False,,,False,,,False,,,False,,,False,,58,,DUNSFORD D,,,
,,0.5,,0.4138,,0.0345,0.0517,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-306-599,,17,,11,,5,0,,1,,,34,,3.265,,,False,,,False,,,False,,,False,,,False,,34,,DUNSFORD D,,,
,,0.5,,0.3235,,0.1471,0.0,,0.0294,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      46,,,35,,7,,3,1,,92,,,3.326,,False,,,False,,,False,,,0,,,False,,,92,,,,,,
50.00%,,,0.3804,,0.0761,,0.0326,0.0109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-307-501           27,,,8,,0,,0,2,,37,,,3.568,,False,,,False,,,False,,,1,,,False,,,38,,RUTHERFORD,,,True,
72.97%,,,0.2162,,0.0,,0.0,0.0541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-307-700           11,,,8,,2,,0,0,,21,,,3.429,,True,,,False,,,False,,,1,,,False,,,23,,RUTHERFORD,,,True,
52.38%,,,0.381,,0.0952,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
