SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
AGCJ-105-500,,23,,1,,0,,0,,,0,,24,,,,3.958,,0,,,0,,,0,,,0,,,0,,24,,,WALTHER D,
,,0.9583,,0.0417,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-105-501,,30,,4,,1,,0,,,0,,35,,,,3.828,,0,,,0,,,0,,,0,,,0,,35,,,WALTHER D,
,,0.8571,,0.1143,,0.0286,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,53,,5,,1,,0,,,0,,59,,,,3.881,,0,,,0,,,0,,,0,,,0,,59,,,,
,,0.8983,,0.0847,,0.0169,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-281-500,,38,,8,,4,,1,,,1,,52,,,,3.557,,0,,,0,,,0,,,1,,,0,,53,,,LEGGETTE H,
,,0.7308,,0.1538,,0.0769,,0.0192,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,38,,8,,4,,1,,,1,,52,,,,3.557,,0,,,0,,,0,,,1,,,0,,53,,,,
,,0.7308,,0.1538,,0.0769,,0.0192,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-306-598,,26,,23,,8,,2,,,0,,59,,,,3.237,,0,,,0,,,0,,,1,,,0,,60,,,DUNSFORD D,
,,0.4407,,0.3898,,0.1356,,0.0339,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-306-700,,24,,17,,4,,0,,,0,,45,,,,3.444,,0,,,0,,,0,,,0,,,0,,45,,,DUNSFORD D,
,,0.5333,,0.3778,,0.0889,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,50,,40,,12,,2,,,0,,104,,,,3.326,,0,,,0,,,0,,,1,,,0,,105,,,,
,,0.4808,,0.3846,,0.1154,,0.0192,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-307-501,,25,,7,,1,,0,,,1,,34,,,,3.617,,0,,,0,,,0,,,1,,,0,,35,,,RUTHERFORD T,
,,0.7353,,0.2059,,0.0294,,0.0,,,0.0294,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-307-700,,16,,8,,8,,1,,,4,,37,,,,2.837,,1,,,0,,,0,,,4,,,0,,42,,,RUTHERFORD T,
,,0.4324,,0.2162,,0.2162,,0.027,,,0.1081,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,41,,15,,9,,1,,,5,,71,,,,3.211,,1,,,0,,,0,,,5,,,0,,77,,,,
,,0.5775,,0.2113,,0.1268,,0.0141,,,0.0704,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-312-501,,46,,0,,0,,0,,,0,,46,,,,4.0,,0,,,0,,,0,,,0,,,0,,46,,,WALTHER D,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
AGCJ-312-700,,5,,8,,10,,0,,,2,,,25,,,2.56,,0,,,,False,,,False,,,2,,0,,27,,MCGRATH P,,
,,0.2,,0.32,,0.4,,0.0,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,51,,8,,10,,0,,,2,,,71,,,3.492,,0,,,,False,,,False,,,2,,0,,73,,,,
,,0.7183,,0.1127,,0.1408,,0.0,,,0.0282,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-313-901,,11,,12,,1,,0,,,0,,,24,,,3.416,,0,,,,False,,,False,,,0,,0,,24,,LEGGETTE H,,
,,0.4583,,0.5,,0.0417,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-313-902,,10,,8,,0,,1,,,1,,,20,,,3.25,,0,,,,False,,,False,,,0,,0,,20,,LEGGETTE H,,
