SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,gg,INSTRUCTOR,ii,jj,kk
AGCJ-105-500,,1,,,10,,,2,,0,,0,,,13,,2.923,,False,,,False,,False,,,0,,False,,13,,DUNSFORD D,,,
,,0.0769,,,0.7692,,,0.1538,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-105-501,,14,,,16,,,9,,2,,1,,,42,,2.952,,False,,,False,,False,,,0,,False,,42,,DUNSFORD D,,,
,,0.3333,,,0.381,,,0.2143,,0.0476,,0.0238,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,,26,,,11,,2,,1,,,55,,2.945,,False,,,False,,False,,,0,,False,,55,,,,,
,,0.2727,,,0.4727,,,0.2,,0.0364,,0.0182,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-281-500,,19,,,24,,,5,,0,,0,,,48,,3.291,,False,,,False,,False,,,2,,False,,50,,WAGNER S,,,
,,0.3958,,,0.5,,,0.1042,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,,24,,,5,,0,,0,,,48,,3.291,,False,,,False,,False,,,2,,False,,50,,,,,
,,0.3958,,,0.5,,,0.1042,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-306-700,,57,,,6,,,0,,0,,0,,,63,,3.904,,False,,,False,,False,,,0,,False,,63,,WALTHER D,,,
,,0.9048,,,0.0952,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,57,,,6,,,0,,0,,0,,,63,,3.904,,False,,,False,,False,,,0,,False,,63,,,,,
,,0.9048,,,0.0952,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-307-501,,18,,,13,,,0,,0,,0,,,31,,3.58,,False,,,False,,False,,,3,,False,,34,,RUTHERFORD,,True,
,,0.5806,,,0.4194,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-307-700,,14,,,18,,,5,,0,,1,,,38,,3.157,,False,,,False,,False,,,6,,False,,44,,RUTHERFORD,,True,
,,0.3684,,,0.4737,,,0.1316,,0.0,,0.0263,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,32,,,31,,,5,,0,,1,,,69,,3.347,,False,,,False,,False,,,9,,False,,78,,,,,
,,0.4638,,,0.4493,,,0.0725,,0.0,,0.0145,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-312-501,,6,,,6,,,7,,0,,0,,,19,,2.947,,True,,,False,,False,,,2,,False,,22,,DUNSFORD D,,,
