SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,ii,INSTRUCTOR,kk,ll,mm,nn
AGCJ-312-300,,,11,,,2,,,3,,0,,,2,,18,,,3.111,,False,,,False,,False,,1,,,False,,19,,,DUNSFORD D,,,
,,,0.6111,,,0.1111,,,0.1667,,0.0,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,11,,,2,,,3,,0,,,2,,18,,,3.111,,False,,,False,,False,,1,,,False,,19,,,,,,
,,,0.6111,,,0.1111,,,0.1667,,0.0,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-313-900,,,7,,,10,,,2,,0,,,0,,19,,,3.263,,False,,,False,,False,,0,,,True,,20,,,DUNSFORD D,,,
,,,0.3684,,,0.5263,,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,7,,,10,,,2,,0,,,0,,19,,,3.263,,False,,,False,,False,,0,,,True,,20,,,,,,
,,,0.3684,,,0.5263,,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-314-900,,,10,,,5,,,1,,1,,,0,,17,,,3.411,,False,,,False,,False,,0,,,False,,17,,,REDWINE T,,,
,,,0.5882,,,0.2941,,,0.0588,,0.0588,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,10,,,5,,,1,,1,,,0,,17,,,3.411,,False,,,False,,False,,0,,,False,,17,,,,,,
,,,0.5882,,,0.2941,,,0.0588,,0.0588,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-494-356,,,17,,,2,,,0,,0,,,1,,20,,,3.761,,False,,,False,,False,,0,,,False,,20,,,DUNSFORD D,,,
,,,0.85,,,0.1,,,0.0,,0.0,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,17,,,2,,,0,,0,,,1,,20,,,3.761,,False,,,False,,False,,0,,,False,,20,,,,,,
,,,0.85,,,0.1,,,0.0,,0.0,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
ALEC-606-700,,,12,,,3,,,0,,1,,,0,,16,,,3.625,,False,,,False,,False,,0,,,False,,16,,,MOORE L,,,
,,,0.75,,,0.1875,,,0.0,,0.0625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,12,,,3,,,0,,1,,,0,,16,,,3.625,,False,,,False,,False,,0,,,False,,16,,,,,,
,,,0.75,,,0.1875,,,0.0,,0.0625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
