SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh,ii
ARCH-205-901,,11,,,4,,,1,,0,,0,,,16,,3.625,,0,,,False,,False,,,1,,False,,17,ESQUIVEL J,,
,,0.6875,,,0.25,,,0.0625,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-902,,10,,,5,,,0,,0,,0,,,15,,3.666,,0,,,False,,False,,,0,,False,,15,LU Z,,
,,0.6667,,,0.3333,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-903,,7,,,2,,,0,,0,,0,,,9,,3.777,,0,,,False,,False,,,2,,False,,11,GRAHAM R,,
,,0.7778,,,0.2222,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-904,,6,,,2,,,6,,0,,0,,,14,,3.0,,0,,,False,,False,,,0,,False,,14,FAULKNER M,,
,,0.4286,,,0.1429,,,0.4286,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-905,,8,,,6,,,0,,0,,0,,,14,,3.571,,0,,,False,,False,,,0,,False,,14,KIM J,,
,,0.5714,,,0.4286,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-906,,13,,,3,,,0,,0,,0,,,16,,3.812,,0,,,False,,False,,,0,,False,,16,KIM J,,
,,0.8125,,,0.1875,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,55,,,22,,,7,,0,,0,,,84,,3.571,,0,,,False,,False,,,3,,False,,87,,,
,,0.6548,,,0.2619,,,0.0833,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-212-500,,67,,,96,,,15,,0,,1,,,179,,3.273,,0,,,False,,False,,,0,,False,,179,ZHU X,,
,,0.3743,,,0.5363,,,0.0838,,0.0,,0.0056,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,67,,,96,,,15,,0,,1,,,179,,3.273,,0,,,False,,False,,,0,,False,,179,,,
,,0.3743,,,0.5363,,,0.0838,,0.0,,0.0056,,,,,,,,,,,,,,,,,,,,,,
ARCH-216-500,,12,,,4,,,0,,0,,0,,,16,,3.75,,0,,,False,,False,,,1,,False,,17,KIM H,,
,,0.75,,,0.25,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,,4,,,0,,0,,0,,,16,,3.75,,0,,,False,,False,,,1,,False,,17,,,
,,0.75,,,0.25,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-200,,11,,,2,,,0,,1,,0,,,14,,3.642,,0,,,False,,False,,,1,,False,,15,CAFFEY S,,
,,0.7857,,,0.1429,,,0.0,,0.0714,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-201,,5,,,4,,,3,,1,,1,,,14,,2.785,,0,,,False,,False,,,0,,False,,14,GLOWACKI K,,
,,0.3571,,,0.2857,,,0.2143,,0.0714,,0.0714,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-501,16,,,8,,,4,,,2,,1,,,31,3.161,,,0,,,False,False,,,0,,,False,,31,,,
,0.5161,,,0.2581,,,0.129,,,0.0645,,0.0323,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-502,122,,,46,,,17,,,2,,2,,,189,3.502,,,0,,,False,False,,,1,,,False,,190,,,
,0.6455,,,0.2434,,,0.0899,,,0.0106,,0.0106,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-503,10,,,10,,,8,,,0,,0,,,28,3.071,,,0,,,False,False,,,2,,,False,,30,,,
,0.3571,,,0.3571,,,0.2857,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-504,31,,,58,,,27,,,9,,4,,,129,2.798,,,0,,,False,False,,,9,,,False,,138,,,
,0.2403,,,0.4496,,,0.2093,,,0.0698,,0.031,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-700,51,,,21,,,19,,,2,,0,,,93,3.301,,,2,,,False,False,,,4,,,False,,99,,,
,0.5484,,,0.2258,,,0.2043,,,0.0215,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,246,,,149,,,78,,,17,,8,,,498,3.22,,,2,,,False,False,,,17,,,False,,517,,,
,0.494,,,0.2992,,,0.1566,,,0.0341,,0.0161,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-200,5,,,3,,,1,,,0,,0,,,9,3.444,,,0,,,False,False,,,1,,,False,,10,,,
,0.5556,,,0.3333,,,0.1111,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-201,9,,,0,,,0,,,0,,0,,,9,4.0,,,0,,,False,False,,,0,,,False,,9,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-501,13,,,11,,,5,,,0,,1,,,30,3.166,,,0,,,False,False,,,0,,,False,,30,,,
,0.4333,,,0.3667,,,0.1667,,,0.0,,0.0333,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-502,92,,,66,,,19,,,7,,5,,,189,3.232,,,2,,,False,False,,,3,,,False,,194,,,
,0.4868,,,0.3492,,,0.1005,,,0.037,,0.0265,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-503,13,,,12,,,3,,,1,,1,,,30,3.166,,,0,,,False,False,,,0,,,False,,30,,,
,0.4333,,,0.4,,,0.1,,,0.0333,,0.0333,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-504,78,,,40,,,15,,,0,,2,,,135,3.422,,,0,,,False,False,,,3,,,False,,138,,,
,0.5778,,,0.2963,,,0.1111,,,0.0,,0.0148,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-700,38,,,17,,,7,,,2,,0,,,64,3.421,,,0,,,False,False,,,3,,,False,,67,,,
,0.5938,,,0.2656,,,0.1094,,,0.0313,,0.0,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPAGNOL G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
