SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,hh,TOTAL,jj,INSTRUCTOR,ll,mm
ARCH-206-500,,11,,4,,1,,0,,,0,,,16,,,3.625,,0,,,,False,,,False,0,,,,,False,,16,,AITANI K,,
,,0.6875,,0.25,,0.0625,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-501,,10,,2,,2,,0,,,1,,,15,,,3.333,,1,,,,False,,,False,0,,,,,False,,16,,FAULKNER M,,
,,0.6667,,0.1333,,0.1333,,0.0,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-502,,7,,7,,2,,0,,,0,,,16,,,3.312,,1,,,,False,,,False,1,,,,,False,,18,,HUNTER C,,
,,0.4375,,0.4375,,0.125,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-503,,15,,0,,0,,0,,,0,,,15,,,4.0,,0,,,,False,,,False,0,,,,,False,,15,,VAHDAT ZAD,V,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-504,,13,,1,,0,,0,,,0,,,14,,,3.928,,0,,,,False,,,False,0,,,,,False,,14,,ESQUIVEL J,,
,,0.9286,,0.0714,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-505,,7,,6,,2,,0,,,1,,,16,,,3.125,,0,,,,False,,,False,0,,,,,False,,16,,STEWART K,,
,,0.4375,,0.375,,0.125,,0.0,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-506,,12,,3,,0,,0,,,0,,,15,,,3.8,,1,,,,False,,,False,0,,,,,False,,16,,CLAYTON M,,
,,0.8,,0.2,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,75,,23,,7,,0,,,2,,,107,,,3.579,,3,,,,False,,,False,1,,,,,False,,111,,,,
,,0.7009,,0.215,,0.0654,,0.0,,,0.0187,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-212-500,,20,,53,,15,,1,,,0,,,89,,,3.033,,0,,,,False,,,False,1,,,,,False,,90,,ZHU X,,
,,0.2247,,0.5955,,0.1685,,0.0112,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,20,,53,,15,,1,,,0,,,89,,,3.033,,0,,,,False,,,False,1,,,,,False,,90,,,,
,,0.2247,,0.5955,,0.1685,,0.0112,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-213-500,,19,,36,,29,,5,,,6,,,95,,,2.6,,1,,,,False,,,False,4,,,,,False,,100,,BELTRAN L,,
,,0.2,,0.3789,,0.3053,,0.0526,,,0.0632,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-213-501,,9,,15,,27,,6,,,0,,,57,,,2.473,,0,,,,False,,,False,6,,,,,False,,63,,BELTRAN L,,
,,0.1579,,0.2632,,0.4737,,0.1053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,28,,51,,56,,11,,,6,,,152,,,2.552,,1,,,,False,,,False,10,,,,,False,,163,,,,
,,0.1842,,0.3355,,0.3684,,0.0724,,,0.0395,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,
ARCH-216-500,,15,,1,,0,,0,,,0,,,16,,,3.937,,0,,,,False,,,False,1,,,,,False,,17,,KIM H,,
,,0.9375,,0.0625,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-216-501,,12,,6,,0,,0,,,0,,,18,,,3.666,,0,,,,False,,,False,0,,,,,False,,18,,KIM H,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,27,,7,,0,,0,,,0,,,34,,,3.794,,0,,,,False,,,False,1,,,,,False,,35,,,,
,,0.7941,,0.2059,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-200,,7,,1,,0,,0,,,0,,,8,,,3.875,,0,,,,False,,,False,2,,,,,False,,10,,YOUSIF S,,
,,0.875,,0.125,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-201,,13,,1,,0,,0,,,0,,,14,,,3.928,,0,,,,False,,,False,0,,,,,False,,14,,CAFFEY S,,
,,0.9286,,0.0714,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-501,,95,,35,,12,,2,,,2,,,146,,,3.5,,0,,,,False,,,False,4,,,,,False,,150,,YOUSIF S,,
,,0.6507,,0.2397,,0.0822,,0.0137,,,0.0137,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-502,,14,,7,,1,,1,,,0,,,23,,,3.478,,0,,,,False,,,False,1,,,,,False,,24,,YOUSIF S,,
