ARCH-249-100,27,2,0,0_2,0_3,29,3.931,1,0_4,0_5,0_6,0_7,30,CAFFEY,S,q,r
,0.931,0.069,0.0,0.0,0.0,,,,,,,,,,,,
ARCH-249-700,57,17,7,3,1,85,3.482,1,False,False,1,False,87,CAFFEY,S,,
,0.6706,0.2,0.0824,0.0353,0.0118,,,,,,,,,,,,
COURSE TOTAL:,84,19,7,3,1,114,3.596,2,False,False,1,False,117,,,,
,0.7368,0.1667,0.0614,0.0263,0.0088,,,,,,,,,,,,
ARCH-250-200,25,4,0,0,0,29,3.862,0,False,False,0,False,29,CAFFEY,S,,
,0.8621,0.1379,0.0,0.0,0.0,,,,,,,,,,,,
ARCH-250-700,29,16,1,1,0,47,3.553,0,False,False,1,False,48,CAMPAGNOL,,G,
,0.617,0.3404,0.0213,0.0213,0.0,,,,,,,,,,,,
COURSE TOTAL:,54,20,1,1,0,76,3.671,0,False,False,1,False,77,,,,
,0.7105,0.2632,0.0132,0.0132,0.0,,,,,,,,,,,,
ARCH-331-100,0,2,9,6,3,20,1.5,0,False,False,1,False,21,NICHOLS A,,,
,0.0,0.1,0.45,0.3,0.15,,,,,,,,,,,,
COURSE TOTAL:,0,2,9,6,3,20,1.5,0,False,False,1,False,21,,,,
,0.0,0.1,0.45,0.3,0.15,,,,,,,,,,,,
ARCH-350-700,21,11,6,3,2,43,3.069,0,False,False,1,False,44,CAMPAGNOL,,G,
,0.4884,0.2558,0.1395,0.0698,0.0465,,,,,,,,,,,,
COURSE TOTAL:,21,11,6,3,2,43,3.069,0,False,False,1,False,44,,,,
,0.4884,0.2558,0.1395,0.0698,0.0465,,,,,,,,,,,,
ARCH-406-300,14,4,0,0,0,18,3.777,0,False,False,0,False,18,AITANI K,,,
,0.7778,0.2222,0.0,0.0,0.0,,,,,,,,,,,,
COURSE TOTAL:,14,4,0,0,0,18,3.777,0,False,False,0,False,18,,,,
,0.7778,0.2222,0.0,0.0,0.0,,,,,,,,,,,,
BABE J,,,,,,,,,,,,,,,,,
ARCH-603-300,4,5,2,0,0,11,3.181,0,False,False,0,False,11,,,,
,0.3636,0.4545,0.1818,0.0,0.0,,,,,,,,,,,,
COURSE TOTAL:,4,5,2,0,0,11,3.181,0,False,False,0,False,11,,,,
,0.3636,0.4545,0.1818,0.0,0.0,,,,,,,,,,,,
ENDS-101-200,69,2,1,0,2,74,3.837,0,False,False,0,False,74,,,,
,0.9324,0.027,0.0135,0.0,0.027,,,,,,,,,,,,
ENDS-101-700,39,12,1,0,2,54,3.592,0,False,False,3,False,57,,,,
,0.7222,0.2222,0.0185,0.0,0.037,,,,,,,,,,,,
ENDS-101-701,6,3,1,0,0,10,3.5,0,False,False,3,False,13,,,,
,0.6,0.3,0.1,0.0,0.0,,,,,,,,,,,,
COURSE TOTAL:,114,17,3,0,4,138,3.717,0,False,False,6,False,144,,,,
,0.8261,0.1232,0.0217,0.0,0.029,,,,,,,,,,,,
ENDS-105-100,5,7,3,0,0,15,3.133,0,False,False,0,False,15,,,,
,0.3333,0.4667,0.2,0.0,0.0,,,,,,,,,,,,
COURSE TOTAL:,5,7,3,0,0,15,3.133,0,False,False,0,False,15,,,,
,0.3333,0.4667,0.2,0.0,0.0,,,,,,,,,,,,
ENDS-108-203,16,0,0,0,0,16,4.0,0,False,False,0,False,16,,,,
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ENDS-108-204,13,0,0,0,0,13,4.0,0,False,False,0,False,13,,,,
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
COURSE TOTAL:,29,0,0,0,0,29,4.0,0,False,False,0,False,29,,,,
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ENDS-115-100,8,6,1,0,0,15,3.466,0,False,False,0,False,15,,,,
,0.5333,0.4,0.0667,0.0,0.0,,,,,,,,,,,,
HILL R,,,,,,,,,,,,,,,,,
BILLINGSLEY A,,,,,,,,,,,,,,,,,
BILLINGSLEY A,,,,,,,,,,,,,,,,,
ROGERS J,,,,,,,,,,,,,,,,,
WU C,,,,,,,,,,,,,,,,,
YOUSIF S,,,,,,,,,,,,,,,,,
BORGES GONZALEZ A,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,6,1,0,0,15  3.466,,0,False,False,0,False,15,,,,
,0.5333,0.4,0.0667,0.0,0.0,,,,,,,,,,,,
DEPARTMENT TOTAL:,333,91,32,13,10,4793.525,,2,False,False,10,False,491,,,,
,0.6952,0.19,0.0668,0.0271,0.0209,,,,,,,,,,,,
