ARCH-205-901,15,c,d,0,f,0_2,h,0_3,j,0_4,l,m,15_2,o,4.0,q,r,0_5,t,u,0_6,w,0_7,y,z,1,bb,cc,0_8,ee,ff,16,ESQUIVEL J,ii,jj
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-902,13,,,5,,0,,0,,0,,,18,,3.722,,,False,,,False,,False,,,0,,,False,,,18,KIM H,,
,0.7222,,,0.2778,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-903,14,,,1,,1,,0,,0,,,16,,3.812,,,False,,,False,,False,,,0,,,False,,,16,DE LIMA VAZ XAVIER,,
,0.875,,,0.0625,,0.0625,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-904,14,,,3,,0,,0,,0,,,17,,3.823,,,False,,,False,,False,,,1,,,False,,,18,KIM H,,
,0.8235,,,0.1765,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-905,11,,,6,,1,,0,,0,,,18,,3.555,,,False,,,False,,False,,,0,,,False,,,18,VAHDAT ZAD V,,
,0.6111,,,0.3333,,0.0556,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-906,6,,,11,,0,,0,,0,,,17,,3.352,,,False,,,False,,False,,,0,,,False,,,17,CLAYTON M,,
,0.3529,,,0.6471,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-907,6,,,1,,4,,1,,0,,,12,,3.0,,,False,,,False,,False,,,1,,,False,,,13,LUTZ S,,
,0.5,,,0.0833,,0.3333,,0.0833,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,79,,,27,,6,,1,,0,,,113,,3.628,,,False,,,False,,False,,,3,,,False,,,116,,,
,0.6991,,,0.2389,,0.0531,,0.0088,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-212-500,82,,,97,,19,,2,,2,,,202,,3.262,,,False,,,False,,False,,,1,,,False,,,203,QIU L,,
,0.4059,,,0.4802,,0.0941,,0.0099,,0.0099,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,82,,,97,,19,,2,,2,,,202,,3.262,,,False,,,False,,False,,,1,,,False,,,203,,,
,0.4059,,,0.4802,,0.0941,,0.0099,,0.0099,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-216-501,10,,,4,,0,,0,,0,,,14,,3.714,,,False,,,False,,False,,,1,,,False,,,15,KIM H,,
,0.7143,,,0.2857,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,,4,,0,,0,,0,,,14,,3.714,,,False,,,False,,False,,,1,,,False,,,15,,,
,0.7143,,,0.2857,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-246-500,18,,,18,,1,,0,,0,,,37,,3.459,,,False,,,False,,False,,,0,,,False,,,37,GEVA A,,
,0.4865,,,0.4865,,0.027,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,18,,,18,,1,,0,,0,,,37,,3.459,,,False,,,False,,False,,,0,,,False,,,37,,,
,0.4865,,,0.4865,,0.027,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-200,13,,,0,,0,,0,,0,,,13,,4.0,,,False,,,False,,False,,,0,,,False,,,13,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-201,4,,,5,,4,,0,,0,,,13,,3.0,,,False,,,False,,False,,,1,,,False,,,14,,,
,0.3077,,,0.3846,,0.3077,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-501,22,,,11,,5,,1,,1,,,40,,3.3,,,False,,,False,,False,,,0,,,False,,,40,,,
,0.55,,,0.275,,0.125,,0.025,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-502,114,,,30,,17,,3,,3,,,167,,3.491,,,False,,,False,,False,,,6,,,False,,,173,,,
,0.6826,,,0.1796,,0.1018,,0.018,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-503,11,,,18,,3,,2,,1,,,35,,3.028,,,False,,,False,,False,,,0,,,False,,,35,,,
,0.3143,,,0.5143,,0.0857,,0.0571,,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-504,38,,,57,,27,,3,,3,,,128,,2.968,,,True,,,False,,False,,,1,,,False,,,130,,,
,0.2969,,,0.4453,,0.2109,,0.0234,,0.0234,,,,,,,,,,,,,,,,,,,,,,,,,
