ARCH-249-700,59,20,12,6,5,102,3.196,2,j,0,l,0_2,n,0_3,p,0_4,r,104,CAFFEY S,u,v,w
,0.5784,0.1961,0.1176,0.0588,0.049,,,,,,,,,,,,,,,,,
COURSE TOTAL:,59,20,12,6,5,102,3.196,2,,False,,False,,0,,False,,104,,,,
,0.5784,0.1961,0.1176,0.0588,0.049,,,,,,,,,,,,,,,,,
ARCH-250-700,32,9,3,1,1,46,3.521,0,,False,,False,,2,,False,,48,CAMPAGNOL,G,,
,0.6957,0.1957,0.0652,0.0217,0.0217,,,,,,,,,,,,,,,,,
COURSE TOTAL:,32,9,3,1,1,46,3.521,0,,False,,False,,2,,False,,48,,,,
,0.6957,0.1957,0.0652,0.0217,0.0217,,,,,,,,,,,,,,,,,
ARCH-331-100,2,5,5,6,0,18,2.166,0,,False,,False,,1,,False,,19,NICHOLS A,,,
,0.1111,0.2778,0.2778,0.3333,0.0,,,,,,,,,,,,,,,,,
COURSE TOTAL:,2,5,5,6,0,18,2.166,0,,False,,False,,1,,False,,19,,,,
,0.1111,0.2778,0.2778,0.3333,0.0,,,,,,,,,,,,,,,,,
ARCH-350-700,21,13,8,0,0,42,3.309,0,,False,,False,,0,,False,,42,CAMPAGNOL,G,,
,0.5,0.3095,0.1905,0.0,0.0,,,,,,,,,,,,,,,,,
COURSE TOTAL:,21,13,8,0,0,42,3.309,0,,False,,False,,0,,False,,42,,,,
,0.5,0.3095,0.1905,0.0,0.0,,,,,,,,,,,,,,,,,
ARCH-406-300,6,7,1,0,0,14,3.357,0,,False,,False,,0,,False,,14,OBRIEN M,,,
,0.4286,0.5,0.0714,0.0,0.0,,,,,,,,,,,,,,,,,
ARCH-406-301,4,8,1,0,0,13,3.23,0,,False,,False,,0,,False,,13,JAIN P,,,
,0.3077,0.6154,0.0769,0.0,0.0,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,15,2,0,0,27,3.296,0,,False,,False,,0,,False,,27,,,,
,0.3704,0.5556,0.0741,0.0,0.0,,,,,,,,,,,,,,,,,
ARCH-603-300,4,3,1,0,0,8,3.375,1,,False,,False,,0,,False,,9,DE LIMA VAZ,,XAVIER,
,0.5,0.375,0.125,0.0,0.0,,,,,,,,,,,,,,,,,
COURSE TOTAL:,4,3,1,0,0,8,3.375,1,,False,,False,,0,,False,,9,,,,
,0.5,0.375,0.125,0.0,0.0,,,,,,,,,,,,,,,,,
ENDS-101-200,66,6,1,0,0,73,3.89,0,,False,,False,,0,,False,,73,,,,
,0.9041,0.0822,0.0137,0.0,0.0,,,,,,,,,,,,,,,,,
ENDS-101-700,39,47,9,4,5,104,3.067,0,,False,,False,,3,,False,,107,,,,
,0.375,0.4519,0.0865,0.0385,0.0481,,,,,,,,,,,,,,,,,
COURSE TOTAL:,105,53,10,4,5,177,3.406,0,,False,,False,,3,,False,,180,,,,
,0.5932,0.2994,0.0565,0.0226,0.0282,,,,,,,,,,,,,,,,,
ENDS-105-100,3,5,0,1,0,9,3.111,0,,False,,False,,0,,False,,9,,,,
,0.3333,0.5556,0.0,0.1111,0.0,,,,,,,,,,,,,,,,,
COURSE TOTAL:,3,5,0,1,0,9,3.111,0,,False,,False,,0,,False,,9,,,,
,0.3333,0.5556,0.0,0.1111,0.0,,,,,,,,,,,,,,,,,
ENDS-108-203,8,6,0,0,0,14,3.571,0,,False,,False,,0,,False,,14,,,,
,0.5714,0.4286,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ENDS-108-204,11,1,1,0,1,14,3.5,0,,False,,False,,0,,False,,14,,,,
,0.7857,0.0714,0.0714,0.0,0.0714,,,,,,,,,,,,,,,,,
COURSE TOTAL:,19,7,1,0,1,28,3.535,0,,False,,False,,0,,False,,28,,,,
,0.6786,0.25,0.0357,0.0,0.0357,,,,,,,,,,,,,,,,,
ENDS-115-100,4,4,0,1,0,9,3.222,0,,False,,False,,0,,False,,9,,,,
,0.4444,0.4444,0.0,0.1111,0.0,,,,,,,,,,,,,,,,,
COURSE TOTAL:,4,4,0,1,0,9,3.222,0,,False,,False,,0,,False,,9,,,,
,0.4444,0.4444,0.0,0.1111,0.0,,,,,,,,,,,,,,,,,
HILL R,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,
ROGERS J,,,,,,,,,,,,,,,,,,,,,,
TRIPP A,,,,,,,,,,,,,,,,,,,,,,
VAHDAT ZAD V,,,,,,,,,,,,,,,,,,,,,,
BORGES GONZALEZ A,,,,,,,,,,,,,,,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,,U,,Q,,X,,TOTAL,,INSTRUCTOR,,,
DEPARTMENT TOTAL:,259,134,42,19,12,4663.314,,3,,False,,False,,6,,False,,475,,,,
,0.5558,0.2876,0.0901,0.0408,0.0258,,,,,,,,,,,,,,,,,
