ARCH-205-901,b,12,d,e,5,g,0,i,0_2,k,l,0_3,n,o,17,q,3.705,s,t,0_4,v,w,x,0_5,z,aa,0_6,cc,dd,0_7,ff,gg,hh,0_8,jj,kk,17_2,mm,TATE,J,pp,qq,rr
,,0.7059,,,0.2941,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-902,,2,,,11,,1,,0,,,0,,,14,,3.071,,,0,,,,False,,,False,,,0,,,,False,,,14,,TATE,J,,,
,,0.1429,,,0.7857,,0.0714,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-903,,8,,,4,,2,,0,,,0,,,14,,3.428,,,0,,,,False,,,False,,,2,,,,False,,,16,,TATE,J,,,
,,0.5714,,,0.2857,,0.1429,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-904,,5,,,6,,0,,0,,,1,,,12,,3.166,,,1,,,,False,,,False,,,2,,,,False,,,15,,TATE,J,,,
,,0.4167,,,0.5,,0.0,,0.0,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-905,,10,,,5,,0,,0,,,1,,,16,,3.437,,,0,,,,False,,,False,,,1,,,,False,,,17,,TATE,J,,,
,,0.625,,,0.3125,,0.0,,0.0,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-906,,3,,,9,,0,,0,,,0,,,12,,3.25,,,1,,,,False,,,False,,,2,,,,False,,,15,,TATE,J,,,
,,0.25,,,0.75,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-907,,3,,,5,,1,,1,,,0,,,10,,3.0,,,0,,,,False,,,False,,,2,,,,False,,,12,,TATE,J,,,
,,0.3,,,0.5,,0.1,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,43,,,45,,4,,1,,,2,,,95,,3.326,,,2,,,,False,,,False,,,9,,,,False,,,106,,,,,,
,,0.4526,,,0.4737,,0.0421,,0.0105,,,0.0211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-212-500,,65,,,62,,11,,5,,,2,,,145,,3.262,,,0,,,,False,,,False,,,1,,,,False,,,146,,LU Z,,,,
,,0.4483,,,0.4276,,0.0759,,0.0345,,,0.0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,65,,,62,,11,,5,,,2,,,145,,3.262,,,0,,,,False,,,False,,,1,,,,False,,,146,,,,,,
,,0.4483,,,0.4276,,0.0759,,0.0345,,,0.0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-216-501,,6,,,8,,1,,0,,,0,,,15,,3.333,,,0,,,,False,,,False,,,1,,,,False,,,16,,GAYK,M,,,
,,0.4,,,0.5333,,0.0667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,,8,,1,,0,,,0,,,15,,3.333,,,0,,,,False,,,False,,,1,,,,False,,,16,,,,,,
,,0.4,,,0.5333,,0.0667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-246-500,,19,,,24,,1,,0,,,0,,,44,,3.409,,,0,,,,False,,,False,,,0,,,,False,,,44,,GEVA,A,,,
,,0.4318,,,0.5455,,0.0227,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,,24,,1,,0,,,0,,,44,,3.409,,,0,,,,False,,,False,,,0,,,,False,,,44,,,,,,
,,0.4318,,,0.5455,,0.0227,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-200,,9,,,1,,0,,0,,,0,,,10,,3.9,,,0,,,,False,,,False,,,0,,,,False,,,10,,,,,,
,,0.9,,,0.1,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-201,,4,,,0,,0,,0,,,1,,,5,,3.2,,,0,,,,False,,,False,,,1,,,,False,,,6,,,,,,
,,0.8,,,0.0,,0.0,,0.0,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-501,,22,,,8,,2,,0,,,1,,,33,,3.515,,,0,,,,False,,,False,,,0,,,,False,,,33,,,,,,
,,0.6667,,,0.2424,,0.0606,,0.0,,,0.0303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-502,,120,,,42,,12,,4,,,0,,,178,,3.561,,,0,,,,False,,,False,,,1,,,,False,,,179,,,,,,
,,0.6742,,,0.236,,0.0674,,0.0225,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-503,,9,,,9,,5,,0,,,1,,,24,,3.041,,,0,,,,False,,,False,,,1,,,,False,,,25,,,,,,
,,0.375,,,0.375,,0.2083,,0.0,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-504,,40,,,56,,24,,3,,,2,,,125,,3.032,,,0,,,,False,,,False,,,4,,,,False,,,129,,,,,,
,,0.32,,,0.448,,0.192,,0.024,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-700,,109,,,36,,11,,6,,,7,,,169,,3.384,,,0,,,,False,,,False,,,12,,,,False,,,181,,,,,,
,,0.645,,,0.213,,0.0651,,0.0355,,,0.0414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,313,,,152,,54,,13,,,12,,,544,,3.362,,,0,,,,False,,,False,,,19,,,,False,,,563,,,,,,
,,0.5754,,,0.2794,,0.0993,,0.0239,,,0.0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-200,,7,,,0,,2,,0,,,0,,,9,,3.555,,,0,,,,False,,,False,,,1,,,,False,,,10,,,,,,
,,0.7778,,,0.0,,0.2222,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-201,,4,,,4,,0,,0,,,0,,,8,,3.5,,,0,,,,False,,,False,,,0,,,,False,,,8,,,,,,
,,0.5,,,0.5,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-501,,12,,,9,,5,,1,,,1,,,28,,3.071,,,0,,,,False,,,False,,,0,,,,False,,,28,,,,,,
,,0.4286,,,0.3214,,0.1786,,0.0357,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-502,,72,,,65,,14,,4,,,2,,,157,,3.28,,,0,,,,False,,,False,,,9,,,,False,,,166,,,,,,
,,0.4586,,,0.414,,0.0892,,0.0255,,,0.0127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEWART Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,,X    TOTAL,,,,,,,INSTRUCTOR,,,,,
ARCH-250-503,,,17,,9,,2,,1,,,0,,29,,,3.448,,False,,,,False,,,False,,,0,,,,False,,,29,,,STEWART Z,,,,
