SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,GPR,p,I,r,s,S,u,v,U,x,y,z,Q,bb,cc,dd,ee,X,gg,hh,ii,jj,TOTAL,ll,INSTRUCTOR,nn,oo,pp,qq,rr
ACCT-209-501,,88,,148,,194,,13,,3,,,446,2.684,,,True,,,False,,,False,,,,,11,,,,False,,,,458,,STASNY M,,,,,
,,0.1973,,0.3318,,0.435,,0.0291,,0.0067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-502,,63,,177,,187,,6,,6,,,439,2.649,,,True,,,False,,,False,,,,,19,,,,False,,,,459,,STASNY M,,,,,
,,0.1435,,0.4032,,0.426,,0.0137,,0.0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:     151,,,325,,381,,19,,9,,885,,,2.667,2,,,0,,,0,,,,30,,,,0,,,,,917,,,,,,,,,
0.1706,,,0.3672,,0.4305,,0.0215,,0.0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-501           34,,,43,,49,,8,,2,,136,,,2.728,0,,,0,,,0,,,,13,,,,0,,,,,149,,,ALLEN N,,,,,,
0.25,,,0.3162,,0.3603,,0.0588,,0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      34,,,43,,49,,8,,2,,136,,,2.728,0,,,0,,,0,,,,13,,,,0,,,,,149,,,,,,,,,
0.25,,,0.3162,,0.3603,,0.0588,,0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-200           19,,,8,,5,,0,,0,,32,,,3.438,0,,,0,,,0,,,,2,,,,0,,,,,34,,,KNOOP J,,,,,,
0.5938,,,0.25,,0.1563,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-501            8,,,11,,7,,2,,0,,28,,,2.893,0,,,0,,,0,,,,4,,,,0,,,,,32,,,BARRETT,,,J,,,
0.2857,,,0.3929,,0.25,,0.0714,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-502           11,,,14,,19,,6,,0,,50,,,2.6,0,,,0,,,0,,,,8,,,,0,,,,,58,,,BARRETT,,,J,,,
0.22,,,0.28,,0.38,,0.12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-503           12,,,17,,17,,7,,0,,53,,,2.642,0,,,0,,,0,,,,6,,,,0,,,,,59,,,BARRETT,,,J,,,
0.2264,,,0.3208,,0.3208,,0.1321,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-504,6,,5,,10,,10,,2,,33,,,2.091,0,,,0,,,0,,,,6,,,,0,,,,,39,,,CLARKE,,,M,,,
,0.1818,,0.1515,,0.303,,0.303,,0.0606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-505,4,,12,,8,,3,,0,,27,,,2.63,0,,,0,,,0,,,,2,,,,0,,,,,29,,,CLARKE,,,M,,,
,0.1481,,0.4444,,0.2963,,0.1111,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-506,6,,9,,10,,1,,1,,27,,,2.667,0,,,0,,,0,,,,3,,,,0,,,,,30,,,CLARKE,,,M,,,
,0.2222,,0.3333,,0.3704,,0.037,,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-507,2,,15,,4,,2,,0,,23,,,2.739,0,,,0,,,0,,,,1,,,,0,,,,,24,,,CLARKE,,,M,,,
,0.087,,0.6522,,0.1739,,0.087,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
