SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm,nn,oo,pp
ACCT-209-501,,,135,,,159,,,106,,12,,,5,,417,,,2.976,,True,,,False,,False,,16,,,False,,434,,,STASNY M,,,,,
,,,0.3237,,,0.3813,,,0.2542,,0.0288,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-502,,,130,,,150,,,118,,13,,,2,,413,,,2.951,,False,,,False,,False,,19,,,False,,432,,,STASNY M,,,,,
,,,0.3148,,,0.3632,,,0.2857,,0.0315,,,0.0048,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-503,,,0,,,8,,,16,,0,,,0,,24,,,2.333,,False,,,False,,False,,0,,,False,,24,,,STASNY M,,,,,
,,,0.0,,,0.3333,,,0.6667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-504,,,7,,,5,,,11,,0,,,0,,23,,,2.826,,False,,,False,,False,,1,,,False,,24,,,STASNY M,,,,,
,,,0.3043,,,0.2174,,,0.4783,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,272,,,322,,,251,,25,,,7,,877,,,2.942,,True,,,False,,False,,36,,,False,,914,,,,,,,,
,,,0.3101,,,0.3672,,,0.2862,,0.0285,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-501,,,16,,,8,,,11,,5,,,2,,42,,,2.738,,False,,,False,,False,,12,,,False,,54,,,STRAWSER R,,,,,
,,,0.381,,,0.1905,,,0.2619,,0.119,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-502,,,18,,,13,,,14,,6,,,4,,55,,,2.636,,False,,,False,,False,,2,,,True,,58,,,STRAWSER R,,,,,
,,,0.3273,,,0.2364,,,0.2545,,0.1091,,,0.0727,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,34,,,21,,,25,,11,,,6,,97,,,2.68,,False,,,False,,False,,14,,,True,,112,,,,,,,,
,,,0.3505,,,0.2165,,,0.2577,,0.1134,,,0.0619,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-201,,,17,,,9,,,0,,0,,,0,,26,,,3.653,,False,,,False,,False,,0,,,False,,26,,,BENJAMIN J,,,,,
,,,0.6538,,,0.3462,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-202,,,12,,,6,,,1,,1,,,0,,20,,,3.45,,False,,,False,,False,,0,,,False,,20,,,STRAWSER J,,,,,
,,,0.6,,,0.3,,,0.05,,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-501,,,8,,,13,,,7,,8,,,0,,36,,,2.583,,False,,,False,,False,,8,,,False,,44,,,BARRETT J,,,,,
,,,0.2222,,,0.3611,,,0.1944,,0.2222,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-502,,,7,,,12,,,15,,5,,,0,,39,,,2.538,,False,,,False,,False,,5,,,False,,44,,,BARRETT J,,,,,
,,,0.1795,,,0.3077,,,0.3846,,0.1282,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-503,,,11,,,13,,,11,,7,,,0,,42,,,2.666,,False,,,False,,False,,2,,,False,,44,,,BARRETT J,,,,,
,,,0.2619,,,0.3095,,,0.2619,,0.1667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNOOP J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-504,,33,,,38,,,26,,,15,,,0,,112,,2.794,,,False,,,False,,False,,14,,,False,,126,,,,,,,,
,,0.2946,,,0.3393,,,0.2321,,,0.1339,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-505,,12,,,20,,,13,,,12,,,4,,61,,2.393,,,False,,,False,,False,,7,,,False,,68,,,,,,,,
,,0.1967,,,0.3279,,,0.2131,,,0.1967,,,0.0656,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-506,,14,,,18,,,17,,,10,,,4,,63,,2.444,,,False,,,False,,False,,5,,,False,,68,,,,,,,,
,,0.2222,,,0.2857,,,0.2698,,,0.1587,,,0.0635,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-507,,11,,,9,,,12,,,6,,,1,,39,,2.589,,,False,,,False,,False,,7,,,False,,46,,,,,,,,
,,0.2821,,,0.2308,,,0.3077,,,0.1538,,,0.0256,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-508,,4,,,12,,,16,,,4,,,3,,39,,2.256,,,False,,,False,,False,,22,,,False,,61,,,,,,,,
,,0.1026,,,0.3077,,,0.4103,,,0.1026,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-509,,11,,,15,,,12,,,6,,,3,,47,,2.531,,,False,,,False,,False,,20,,,False,,67,,,,,,,,
,,0.234,,,0.3191,,,0.2553,,,0.1277,,,0.0638,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-510,,8,,,16,,,20,,,9,,,1,,54,,2.388,,,False,,,False,,False,,11,,,False,,65,,,,,,,,
,,0.1481,,,0.2963,,,0.3704,,,0.1667,,,0.0185,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-511,,8,,,6,,,5,,,3,,,2,,24,,2.625,,,False,,,False,,False,,6,,,False,,30,,,,,,,,
,,0.3333,,,0.25,,,0.2083,,,0.125,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,156,,,187,,,155,,,86,,,18,,602,,2.626,,,False,,,False,,False,,107,,,False,,709,,,,,,,,
,,0.2591,,,0.3106,,,0.2575,,,0.1429,,,0.0299,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-200,,12,,,8,,,3,,,0,,,0,,23,,3.391,,,False,,,False,,False,,1,,,False,,24,,,,,,,,
,,0.5217,,,0.3478,,,0.1304,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-201,,5,,,9,,,3,,,0,,,0,,17,,3.117,,,False,,,False,,False,,1,,,False,,18,,,,,,,,
,,0.2941,,,0.5294,,,0.1765,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-500,,49,,,81,,,33,,,24,,,2,,189,,2.798,,,False,,,False,,False,,16,,,False,,205,,,,,,,,
,,0.2593,,,0.4286,,,0.1746,,,0.127,,,0.0106,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-502,,55,,,71,,,48,,,18,,,1,,193,,2.834,,,False,,,False,,False,,17,,,False,,210,,,,,,,,
,,0.285,,,0.3679,,,0.2487,,,0.0933,,,0.0052,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMER K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARKE M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRADY M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
