SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
ACCT-209-200,,,22,,,74,,,68,,4,,,2,,170,,,2.647,,False,,,False,,False,,19,,,False,,189,,HEAD M,,,
,,,0.1294,,,0.4353,,,0.4,,0.0235,,,0.0118,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,22,,,74,,,68,,4,,,2,,170,,,2.647,,False,,,False,,False,,19,,,False,,189,,,,,
,,,0.1294,,,0.4353,,,0.4,,0.0235,,,0.0118,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-200,,,28,,,31,,,22,,8,,,2,,91,,,2.824,,False,,,False,,False,,4,,,False,,95,,ALLEN N,,,
,,,0.3077,,,0.3407,,,0.2418,,0.0879,,,0.022,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,28,,,31,,,22,,8,,,2,,91,,,2.824,,False,,,False,,False,,4,,,False,,95,,,,,
,,,0.3077,,,0.3407,,,0.2418,,0.0879,,,0.022,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-100,,,4,,,8,,,30,,4,,,2,,48,,,2.166,,False,,,False,,False,,2,,,False,,50,,HEAD M,,,
,,,0.0833,,,0.1667,,,0.625,,0.0833,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,4,,,8,,,30,,4,,,2,,48,,,2.166,,False,,,False,,False,,2,,,False,,50,,,,,
,,,0.0833,,,0.1667,,,0.625,,0.0833,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-200,,,23,,,19,,,19,,4,,,1,,66,,,2.893,,False,,,False,,False,,2,,,False,,68,,ALLEN N,,,
,,,0.3485,,,0.2879,,,0.2879,,0.0606,,,0.0152,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,23,,,19,,,19,,4,,,1,,66,,,2.893,,False,,,False,,False,,2,,,False,,68,,,,,
,,,0.3485,,,0.2879,,,0.2879,,0.0606,,,0.0152,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-321-100,,,45,,,0,,,0,,0,,,0,,45,,,4.0,,False,,,False,,False,,0,,,False,,45,,JOHNSON C,,,
