SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
OBIO-611-600,,23,,11,,1,,0,,,0,,35,,,,3.628,,1,,,0,,,0,,,False,,,0,,36,,,BUSCHANG P,
,,0.6571,,0.3143,,0.0286,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,23,,11,,1,,0,,,0,,35,,,,3.628,,1,,,0,,,0,,,False,,,0,,36,,,,
,,0.6571,,0.3143,,0.0286,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-630-600,,23,,0,,0,,0,,,0,,23,,,,4.0,,0,,,0,,,0,,,False,,,0,,23,,,RUEST L,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,23,,0,,0,,0,,,0,,23,,,,4.0,,0,,,0,,,0,,,False,,,0,,23,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-631-600,,25,,2,,0,,0,,,0,,27,,,,3.928,,0,,,0,,,0,,,False,,,0,,27,,,RUEST L,
,,0.9259,,0.0741,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,2,,0,,0,,,0,,27,,,,3.928,,0,,,0,,,0,,,False,,,0,,27,,,,
,,0.9259,,0.0741,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-634-600,,5,,0,,0,,0,,,0,,5,,,,4.0,,0,,,0,,,0,,,False,,,0,,5,,,LIU X,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,0,,0,,0,,,0,,5,,,,4.0,,0,,,0,,,0,,,False,,,0,,5,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-643-600,,5,,1,,0,,0,,,0,,6,,,,3.833,,0,,,0,,,0,,,False,,,0,,6,,,FENG J,
,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,1,,0,,0,,,0,,6,,,,3.833,,0,,,0,,,0,,,False,,,0,,6,,,,
,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-674-600,,21,,0,,0,,0,,,0,,21,,,,4.0,,0,,,0,,,0,,,False,,,0,,21,,,NEWMAN J,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,0,,0,,0,,,0,,21,,,,4.0,,0,,,0,,,0,,,False,,,0,,21,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
OBIO-687-600,,6,,1,,0,,0,,,0,,,7,,,3.913,,1,,,,False,,,False,,,0,,0,,8,,SVOBODA K,,
,,0.8571,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,1,,0,,0,,,0,,,7,,,3.913,,1,,,,False,,,False,,,0,,0,,8,,,,
,,0.8571,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-688-600,,7,,0,,0,,0,,,0,,,7,,,4.0,,0,,,,False,,,False,,,0,,0,,7,,SVOBODA K,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,0,,0,,0,,,0,,,7,,,4.0,,0,,,,False,,,False,,,0,,0,,7,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,115,,15,,1,,0,,,0,,,131,,,3.849,,2,,,,False,,,False,,,0,,0,,133,,,,
,,0.8779,,0.1145,,0.0076,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
DDHS-3110-500,,24,,6,,0,,0,,,0,,30,,,,3.8,,0,,,0,,,0,,,False,,,0,,30,,,FOX E,
,,0.8,,0.2,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
