OBIO-660-600,b,20,d,e,1,g,h,0,j,0_2,l,0_3,n,o,21,q,3.952,s,t,0_4,v,w,0_5,y,0_6,aa,bb,0_7,dd,ee,ff,0_8,hh,ii,21_2,kk,KABANI F,mm,nn
,,0.9524,,,0.0476,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,20,,,1,,,0,,0,,0,,,21,,3.952,,,False,,,False,,False,,,False,,,,False,,,21,,,,
,,0.9524,,,0.0476,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-670-600,,11,,,0,,,0,,0,,0,,,11,,4.0,,,False,,,False,,False,,,False,,,,False,,,11,,REUBEN J,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,,0,,,0,,0,,0,,,11,,4.0,,,False,,,False,,False,,,False,,,,False,,,11,,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-671-600,,5,,,2,,,0,,0,,0,,,7,,3.714,,,False,,,False,,False,,,False,,,,False,,,7,,RUEST L,,
,,0.7143,,,0.2857,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,,2,,,0,,0,,0,,,7,,3.714,,,False,,,False,,False,,,False,,,,False,,,7,,,,
,,0.7143,,,0.2857,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-672-600,,18,,,0,,,0,,0,,0,,,18,,4.0,,,False,,,False,,False,,,False,,,,False,,,18,,WANG Q,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,,0,,,0,,0,,0,,,18,,4.0,,,False,,,False,,False,,,False,,,,False,,,18,,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,54,,,3,,,0,,0,,0,,,573.936,,,,,False,,,False,,False,,,False,,,,False,,,57,,,,
,,0.9474,,,0.0526,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT:,DENTAL HYGIENE,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,,
DDHS-4510-500,,,27,,1,,,0,,0,,0,,,28,,3.964,,0,,,,False,,,False,,,False,,0,,,28,,PACE K,,,
,,,0.9643,,0.0357,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,27,,1,,,0,,0,,0,,,28,,3.964,,0,,,,False,,,False,,,False,,0,,,28,,,,,
,,,0.9643,,0.0357,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDHS-4820-500,,,24,,4,,,0,,0,,0,,,28,,3.857,,0,,,,False,,,False,,,False,,0,,,28,,VU M,,,
,,,0.8571,,0.1429,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,24,,4,,,0,,0,,0,,,28,,3.857,,0,,,,False,,,False,,,False,,0,,,28,,,,,
,,,0.8571,,0.1429,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,,51,,5,,,0,,0,,0,,,56,,3.892,,0,,,,False,,,False,,,False,,0,,,56,,,,,
,,,0.9107,,0.0893,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
