OBIO-610-600,12,c,0,e,0_2,g,0_3,i,0_4,k,l,12_2,n,4.0,p,q,0_5,s,t,0_6,v,0_7,x,y,0_8,aa,bb,cc,0_9,ee,ff,12_3,LIU X,ii,jj
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,0,,0,,0,,0,,,12,,4.0,,,False,,,False,,False,,,False,,,,False,,,12,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-611-600,20,,7,,0,,0,,0,,,27,,3.74,,,False,,,False,,False,,,False,,,,False,,,27,BUSCHANG,P,
,0.7407,,0.2593,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,20,,7,,0,,0,,0,,,27,,3.74,,,False,,,False,,False,,,False,,,,False,,,27,,,
,0.7407,,0.2593,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-630-600,14,,2,,0,,0,,0,,,16,,3.875,,,False,,,False,,False,,,False,,,,False,,,16,RUEST L,,
,0.875,,0.125,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,14,,2,,0,,0,,0,,,16,,3.875,,,False,,,False,,False,,,False,,,,False,,,16,,,
,0.875,,0.125,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-631-600,18,,2,,0,,0,,0,,,20,,3.9,,,False,,,False,,False,,,False,,,,False,,,20,RUEST L,,
,0.9,,0.1,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,18,,2,,0,,0,,0,,,20,,3.9,,,False,,,False,,False,,,False,,,,False,,,20,,,
,0.9,,0.1,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-674-600,8,,0,,0,,0,,0,,,8,,4.0,,,False,,,False,,False,,,False,,,,False,,,8,NEWMAN J,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,0,,0,,0,,0,,,8,,4.0,,,False,,,False,,False,,,False,,,,False,,,8,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,72,,11,,0,,0,,0,,,833.837,,,,,False,,,False,,False,,,False,,,,False,,,83,,,
,0.8675,,0.1325,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL   INSTRUCTOR,,,,
PROS-647-600,6,,0,,0,,0,,0,,,6,,4.0,,0,,,,False,,,False,,,False,,0,,,6 CHO S,,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,0,,0,,0,,0,,,6,,4.0,,0,,,,False,,,False,,,False,,0,,,6,,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,6,,0,,0,,0,,0,,,6,,4.0,,0,,,,False,,,False,,,False,,0,,,6,,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
