SECTION,b,A,d,e,B,g,C,i,D,k,F,m,A_2,- F,p,GPA,r,I,t,S,v,U,x,Q,z,aa,bb,X,dd,TOTAL,ff,INSTRUCTOR,hh,ii,jj
OBIO-621-600,,18,,,13,,0,,0,,0,,,31,,3.58,,True,,,False,,False,,,False,,0,,32,,SCHNEIDERMAN,,E,
,,0.5806,,,0.4194,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,,13,,0,,0,,0,,,31,,3.58,,True,,,False,,False,,,False,,0,,32,,,,,
,,0.5806,,,0.4194,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-632-600,,10,,,5,,1,,0,,0,,,16,,3.562,,False,,,False,,False,,,False,,0,,16,,BUSCHANG P,,,
,,0.625,,,0.3125,,0.0625,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,,5,,1,,0,,0,,,16,,3.562,,False,,,False,,False,,,False,,0,,16,,,,,
,,0.625,,,0.3125,,0.0625,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-673-600,,10,,,0,,0,,0,,0,,,10,,4.0,,False,,,False,,False,,,False,,0,,10,,HONEYMAN A,,,
,,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,,0,,0,,0,,0,,,10,,4.0,,False,,,False,,False,,,False,,0,,10,,,,,
,,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,38,,,18,,1,,0,,0,,,57,,3.663,,True,,,False,,False,,,False,,0,,58,,,,,
,,0.6667,,,0.3158,,0.0175,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AEGD-602-600,7,,,1,,,0,,0,,0,,,8,0.0,,,False,,,False,False,,,False,,,0,,,8,ZANDINEJAD,A,,
,0.875,,,0.125,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,1,,,0,,0,,0,,,8,Error,,,False,,,False,False,,,False,,,0,,,8,,,,
,0.875,,,0.125,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AEGD-604-600,12,,,0,,,0,,0,,0,,,12,4.0,,,False,,,False,False,,,False,,,3,,,15,ZANDINEJAD,A,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,,0,,,0,,0,,0,,,12,4.0,,,False,,,False,False,,,False,,,3,,,15,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AEGD-611-600,8,,,0,,,0,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,0,,,8,ZANDINEJAD,A,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,0,,,0,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,0,,,8,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AEGD-620-600,8,,,0,,,0,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,0,,,8,LEON M,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,0,,,0,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,0,,,8,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AEGD-625-600,8,,,0,,,0,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,0,,,8,LEON M,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,0,,,0,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,0,,,8,,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,43,,,1,,,0,,0,,0,,,444.0,,,,False,,,False,False,,,False,,,3,,,47,,,,
,0.9773,,,0.0227,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
