OBIO-660-600,23,c,0,e,0_2,g,0_3,i,0_4,k,l,23_2,n,4.0,p,q,0_5,s,t,0_6,v,0_7,x,y,0_8,aa,bb,cc,0_9,ee,ff,23_3,hh,KABANI F,jj,kk,ll
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,23,,0,,0,,0,,0,,,23,,4.0,,,False,,,False,,False,,,False,,,,False,,,23,,,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-670-600,12,,0,,0,,0,,0,,,12,,4.0,,,False,,,False,,False,,,False,,,,False,,,12,,REUBEN J,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,0,,0,,0,,0,,,12,,4.0,,,False,,,False,,False,,,False,,,,False,,,12,,,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-671-600,6,,1,,0,,0,,0,,,7,,3.857,,,False,,,False,,False,,,False,,,,False,,,7,,RUEST L,,,
,0.8571,,0.1429,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,1,,0,,0,,0,,,7,,3.857,,,False,,,False,,False,,,False,,,,False,,,7,,,,,
,0.8571,,0.1429,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-672-600,22,,0,,0,,0,,0,,,22,,4.0,,,False,,,False,,False,,,False,,,,False,,,22,,KESTERKE,M,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,22,,0,,0,,0,,0,,,22,,4.0,,,False,,,False,,False,,,False,,,,False,,,22,,,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,63,,1,,0,,0,,0,,,643.977,,,,,False,,,False,,False,,,False,,,,False,,,64,,,,,
,0.9844,,0.0156,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,,,
AEGD-600-600,8,,0,,0,,0,,0,,,8,,0.0,,0,,,,False,,,False,,,False,,0,,,8,,ZANDINEJAD,,,A,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,0,,0,,0,,0,,,8,,Error,,0,,,,False,,,False,,,False,,0,,,8,,,,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEGD-603-600,8,,0,,0,,0,,0,,,8,,4.0,,0,,,,False,,,False,,,False,,0,,,8,,ZANDINEJAD,,,A,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,0,,0,,0,,0,,,8,,4.0,,0,,,,False,,,False,,,False,,0,,,8,,,,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEGD-615-600,8,,0,,0,,0,,0,,,8,,4.0,,0,,,,False,,,False,,,False,,0,,,8,,ZANDINEJAD,,,A,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,0,,0,,0,,0,,,8,,4.0,,0,,,,False,,,False,,,False,,0,,,8,,,,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEGD-618-600,8,,0,,0,,0,,0,,,8,,4.0,,0,,,,False,,,False,,,False,,0,,,8,,ZANDINEJAD,,,A,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,0,,0,,0,,0,,,8,,4.0,,0,,,,False,,,False,,,False,,0,,,8,,,,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROS-646-600,6,,0,,0,,0,,0,,,6,,4.0,,0,,,,False,,,False,,,False,,0,,,6,,CHO S,,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,0,,0,,0,,0,,,6,,4.0,,0,,,,False,,,False,,,False,,0,,,6,,,,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
