SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL   INSTRUCTOR,ii,jj,kk
CEHD-603-600,,6,,0,,0,,0,,,0,,,6,,,4.0,,1,,,,False,,,False,,,0,,False,,7 GOODSON P,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,0,,0,,0,,,0,,,6,,,4.0,,1,,,,False,,,False,,,0,,False,,7,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,6,,0,,0,,0,,,0,,,6,,,4.0,,1,,,,False,,,False,,,0,,False,,7,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
EDAD-601-600,,13,,0,,0,,0,,,0,,13,,,,4.0,,0,,,False,,,False,,,False,,,False,,13,,STANLEY C,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,0,,0,,0,,,0,,13,,,,4.0,,0,,,False,,,False,,,False,,,False,,13,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-603-600,,15,,0,,0,,0,,,0,,15,,,,4.0,,0,,,False,,,False,,,False,,,False,,15,,HAYNES DAVISON C,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,0,,0,,0,,,0,,15,,,,4.0,,0,,,False,,,False,,,False,,,False,,15,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-605-700,,36,,7,,0,,0,,,0,,43,,,,3.837,,1,,,False,,,False,,,False,,,False,,44,,IRBY B,
,,0.8372,,0.1628,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,36,,7,,0,,0,,,0,,43,,,,3.837,,1,,,False,,,False,,,False,,,False,,44,,,
,,0.8372,,0.1628,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-606-700,,12,,0,,0,,0,,,0,,12,,,,4.0,,0,,,False,,,False,,,False,,,False,,12,,FAHRENWALD C,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,0,,0,,0,,,0,,12,,,,4.0,,0,,,False,,,False,,,False,,,False,,12,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-608-700,,1,,11,,0,,0,,,0,,12,,,,3.083,,0,,,False,,,False,,,False,,,False,,12,,SAAVEDRA A,
,,0.0833,,0.9167,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,1,,11,,0,,0,,,0,,12,,,,3.083,,0,,,False,,,False,,,False,,,False,,12,,,
,,0.0833,,0.9167,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-609-700,,47,,0,,2,,0,,,1,,50,,,,3.84,,0,,,False,,,False,,,False,,,False,,50,,POENITZSCH N,
