AERO-201-200,1,4,0,0_2,0_3,5,3.2,0_4,0_5,0_6,0_7,0_8,5_2,SHRYOCK,K,q,r,s
,0.2,0.8,0.0,0.0,0.0,,,,,,,,,,,,,
AERO-201-500,6,15,6,1,0,28,2.929,0,False,False,1,False,29,SHRYOCK,K,,,
,0.2143,0.5357,0.2143,0.0357,0.0,,,,,,,,,,,,,
AERO-201-501,5,19,5,0,1,30,2.9,0,False,False,1,False,31,SHRYOCK,K,,,
,0.1667,0.6333,0.1667,0.0,0.0333,,,,,,,,,,,,,
COURSE TOTAL:,12,38,11,1,1,63,2.937,0,False,False,2,False,65,,,,,
,0.1905,0.6032,0.1746,0.0159,0.0159,,,,,,,,,,,,,
AERO-210-200,5,3,0,1,0,9,3.333,0,False,False,0,False,9,POLLOCK,T,,,
,0.5556,0.3333,0.0,0.1111,0.0,,,,,,,,,,,,,
AERO-210-500,13,22,24,6,0,65,2.646,0,False,False,10,False,75,BOYD J,,,,
,0.2,0.3385,0.3692,0.0923,0.0,,,,,,,,,,,,,
AERO-210-501,5,12,10,2,1,30,2.6,0,False,False,3,False,33,POLLOCK,T,,,
,0.1667,0.4,0.3333,0.0667,0.0333,,,,,,,,,,,,,
COURSE TOTAL:      23,,37,34,9,1,104,2.692,0,False,False,13,False,117,,,,,
22.12%,,0.3558,0.3269,0.0865,0.0096,,,,,,,,,,,,,
AERO-212-500           17,,26,12,1,0,56,3.054,0,False,False,0,False,56,REDINIOTIS,,,O,
30.36%,,0.4643,0.2143,0.0179,0.0,,,,,,,,,,,,,
COURSE TOTAL:      17,,26,12,1,0,56,3.054,0,False,False,0,False,56,,,,,
30.36%,,0.4643,0.2143,0.0179,0.0,,,,,,,,,,,,,
AERO-214-500            8,,29,27,5,1,70,2.543,2,False,False,1,False,73,NARAGHI M,,,,
11.43%,,0.4143,0.3857,0.0714,0.0143,,,,,,,,,,,,,
AERO-214-501           25,,8,4,2,0,39,3.436,0,False,False,1,False,40,TABESH M,,,,
64.10%,,0.2051,0.1026,0.0513,0.0,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,,
33,,37,31,7,1,109,2.862,2,False,False,2,False,113,,,,,
30.28%,,0.3394,0.2844,0.0642,0.0092,,,,,,,,,,,,,
14,,23,5,1,0,43,3.163,0,False,False,3,False,46,BORISSOV S,,,,
32.56%,,0.5349,0.1163,0.0233,0.0,,,,,,,,,,,,,
25,,13,8,0,2,48,3.229,0,False,False,2,False,50,MORTARI D,,,,
52.08%,,0.2708,0.1667,0.0,0.0417,,,,,,,,,,,,,
39,,36,13,1,2,91,3.198,0,False,False,5,False,96,,,,,
42.86%,,0.3956,0.1429,0.011,0.022,,,,,,,,,,,,,
12,,18,12,3,2,47,2.745,0,False,False,0,False,47,BROWN R,,,,
25.53%,,0.383,0.2553,0.0638,0.0426,,,,,,,,,,,,,
12,,18,12,3,2,47,2.745,0,False,False,0,False,47,,,,,
25.53%,,0.383,0.2553,0.0638,0.0426,,,,,,,,,,,,,
8,,7,2,1,0,18,3.222,0,False,False,1,False,19,REDINIOTIS,,,O,
44.44%,,0.3889,0.1111,0.0556,0.0,,,,,,,,,,,,,
11,,5,2,0,0,18,3.5,0,False,False,1,False,19,REDINIOTIS,,,O,
61.11%,,0.2778,0.1111,0.0,0.0,,,,,,,,,,,,,
2,,3,4,1,0,10,2.6,0,False,False,2,False,12,REDINIOTIS,,,O,
20.00%,,0.3,0.4,0.1,0.0,,,,,,,,,,,,,
21,,15,8,2,0,46,3.196,0,False,False,4,False,50,,,,,
45.65%,,0.3261,0.1739,0.0435,0.0,,,,,,,,,,,,,
22,,25,16,0,0,63,3.095,2,False,False,0,False,65,KARPETIS A,,,,
34.92%,,0.3968,0.254,0.0,0.0,,,,,,,,,,,,,
22,,25,16,0,0,63,3.095,2,False,False,0,False,65,,,,,
34.92%,,0.3968,0.254,0.0,0.0,,,,,,,,,,,,,
AERO-220-500,,,,,,,,,,,,,,,,,,
AERO-220-501,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,,
AERO-301-500,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,,
AERO-302-900,,,,,,,,,,,,,,,,,,
AERO-302-901,,,,,,,,,,,,,,,,,,
AERO-302-902,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,,
AERO-303-500,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,,
AERO-304-500,10,19,12,5,0,46,2.739,0,False,False,7,False,53,KINRA V,,,,
,0.2174,0.413,0.2609,0.1087,0.0,,,,,,,,,,,,,
COURSE TOTAL:,10,19,12,5,0,46,2.739,0,False,False,7,False,53,,,,,
,0.2174,0.413,0.2609,0.1087,0.0,,,,,,,,,,,,,
AERO-306-500,9,33,11,1,1,55,2.873,0,False,False,0,False,55,BENZERGA,,A,,
,0.1636,0.6,0.2,0.0182,0.0182,,,,,,,,,,,,,
AERO-306-501,4,4,5,6,0,19,2.316,0,False,False,6,False,25,WHITCOMB,,J,,
,0.2105,0.2105,0.2632,0.3158,0.0,,,,,,,,,,,,,
COURSE TOTAL:      13,,37,16,7,1,74,2.73,0,False,False,6,False,80,,,,,
17.57%,,0.5,0.2162,0.0946,0.0135,,,,,,,,,,,,,
AERO-310-500           32,,21,4,0,0,57,3.491,0,False,False,0,False,57,MOBLE B,,,,
56.14%,,0.3684,0.0702,0.0,0.0,,,,,,,,,,,,,
COURSE TOTAL:      32,,21,4,0,0,57,3.491,0,False,False,0,False,57,,,,,
56.14%,,0.3684,0.0702,0.0,0.0,,,,,,,,,,,,,
AERO-321-500           14,,13,23,7,1,58,2.552,0,False,False,1,False,59,VALASEK J,,,,
24.14%,,0.2241,0.3966,0.1207,0.0172,,,,,,,,,,,,,
AERO-321-501            5,,2,2,0,0,9,3.333,0,False,False,0,False,9,SAHA D,,,,
55.56%,,0.2222,0.2222,0.0,0.0,,,,,,,,,,,,,
COURSE TOTAL:      19,,15,25,7,1,67,2.657,0,False,False,1,False,68,,,,,
28.36%,,0.2239,0.3731,0.1045,0.0149,,,,,,,,,,,,,
AERO-351-501            5,,26,20,5,4,60,2.383,0,False,False,5,False,65,CIZMAS P,,,,
8.33%,,0.4333,0.3333,0.0833,0.0667,,,,,,,,,,,,,
COURSE TOTAL:       5,,26,20,5,4,60,2.383,0,False,False,5,False,65,,,,,
8.33%,,0.4333,0.3333,0.0833,0.0667,,,,,,,,,,,,,
