AERO-210-300,3,4,3_2,0,0_2,10,3.0,0_3,0_4,0_5,0_6,0_7,10_2,POLLOCK,T,q,r
,0.3,0.4,0.3,0.0,0.0,,,,,,,,,,,,
COURSE TOTAL:,3,4,3,0,0,10,3.0,False,False,False,0,False,10,,,,
,0.3,0.4,0.3,0.0,0.0,,,,,,,,,,,,
AERO-220-300,14,4,0,0,0,18,3.778,False,False,False,0,False,18,MORTARI,D,,
,0.7778,0.2222,0.0,0.0,0.0,,,,,,,,,,,,
COURSE TOTAL:      14,,4,0,0,0,18,3.778,False,False,False,0,False,18,,,,
77.78%,,0.2222,0.0,0.0,0.0,,,,,,,,,,,,
AERO-304-150           10,,0,0,0,1,11,3.636,False,False,False,0,False,11,KINRA V,,,
90.91%,,0.0,0.0,0.0,0.0909,,,,,,,,,,,,
COURSE TOTAL:      10,,0,0,0,1,11,3.636,False,False,False,0,False,11,,,,
90.91%,,0.0,0.0,0.0,0.0909,,,,,,,,,,,,
AERO-306-300            5,,7,10,1,0,23,2.696,False,False,False,2,False,25,WHITCOMB J,,,
21.74%,,0.3043,0.4348,0.0435,0.0,,,,,,,,,,,,
COURSE TOTAL:       5,,7,10,1,0,23,2.696,False,False,False,2,False,25,,,,
21.74%,,0.3043,0.4348,0.0435,0.0,,,,,,,,,,,,
DEPARTMENT TOTAL:,32,15,13,1,1,623.226,,False,False,False,2,False,64,,,,
,0.5161,0.2419,0.2097,0.0161,0.0161,,,,,,,,,,,,
BMEN-207-299,,,,,,,,,,,,,,,,,
12,,2,1,0,1,16,3.5,False,False,False,1,False,17,GIBBS H,,,
75.00%,,0.125,0.0625,0.0,0.0625,,,,,,,,,,,,
12,,2,1,0,1,16,3.5,False,False,False,1,False,17,,,,
75.00%,,0.125,0.0625,0.0,0.0625,,,,,,,,,,,,
3,,8,2,0,3,16,2.5,False,False,False,3,False,19,DURKEE M,,,
18.75%,,0.5,0.125,0.0,0.1875,,,,,,,,,,,,
3,,8,2,0,3,16,2.5,False,False,False,3,False,19,,,,
18.75%,,0.5,0.125,0.0,0.1875,,,,,,,,,,,,
8,,0,0,0,0,8,4.0,False,False,False,0,False,8,MAITLAND,,K,
100.00%,,0.0,0.0,0.0,0.0,,,,,,,,,,,,
8,,0,0,0,0,8,4.0,False,False,False,0,False,8,,,,
100.00%,,0.0,0.0,0.0,0.0,,,,,,,,,,,,
8,,0,0,0,0,8,4.0,False,False,False,0,False,8,MORENO M,,,
100.00%,,0.0,0.0,0.0,0.0,,,,,,,,,,,,
8,,0,0,0,0,8,4.0,False,False,False,0,False,8,,,,
100.00%,,0.0,0.0,0.0,0.0,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,
BMEN-211-300,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,
BMEN-485-350,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,
BMEN-489-350,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,
