AERO-201-500,0,c,d,23,f,4,h,1,j,0_2,l,m,28,o,2.785,q,r,0_3,t,u,0_4,w,0_5,y,z,0_6,bb,cc,dd,0_7,ff,gg,28_2,ii,SHRYOCK K,kk,ll,mm,nn
,0.0,,,0.8214,,0.1429,,0.0357,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,0,,,23,,4,,1,,0,,,28,,2.785,,,False,,,False,,False,,,0,,,,False,,,28,,,,,,
,0.0,,,0.8214,,0.1429,,0.0357,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-202-500,0,,,3,,1,,1,,0,,,5,,2.4,,,False,,,False,,False,,,0,,,,False,,,5,,SHRYOCK K,,,,
,0.0,,,0.6,,0.2,,0.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,0,,,3,,1,,1,,0,,,5,,2.4,,,False,,,False,,False,,,0,,,,False,,,5,,,,,,
,0.0,,,0.6,,0.2,,0.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-210-200,1,,,9,,1,,1,,0,,,12,,2.833,,,False,,,False,,False,,,1,,,,False,,,13,,LE GRAVEREND,,J,,
,0.0833,,,0.75,,0.0833,,0.0833,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-210-500,8,,,12,,30,,10,,2,,,62,,2.225,,,False,,,False,,False,,,13,,,,False,,,75,,BOYD J,,,,
,0.129,,,0.1935,,0.4839,,0.1613,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-210-501,1,,,10,,33,,5,,2,,,51,,2.058,,,False,,,False,,False,,,6,,,,False,,,57,,LE GRAVEREND,,J,,
,0.0196,,,0.1961,,0.6471,,0.098,,0.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,,31,,64,,16,,4,,,125,,2.216,,,False,,,False,,False,,,20,,,,False,,,145,,,,,,
,0.08,,,0.248,,0.512,,0.128,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-500,18,,,18,,12,,3,,1,,,52,,2.942,,,False,,,False,,False,,,0,,,,False,,,52,,KARPETIS A,,,,
,0.3462,,,0.3462,,0.2308,,0.0577,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,18,,,18,,12,,3,,1,,,52,,2.942,,,False,,,False,,False,,,0,,,,False,,,52,,,,,,
,0.3462,,,0.3462,,0.2308,,0.0577,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-500,2,,,18,,35,,4,,0,,,59,,2.305,,,False,,,False,,False,,,0,,,,False,,,59,,LE GRAVEREND,,J,,
,0.0339,,,0.3051,,0.5932,,0.0678,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-501,12,,,19,,17,,4,,5,,,57,,2.508,,,False,,,False,,False,,,5,,,,False,,,62,,NARAGHI M,,,,
,0.2105,,,0.3333,,0.2982,,0.0702,,0.0877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,14,,,37,,52,,8,,5,,,116,,2.405,,,False,,,False,,False,,,5,,,,False,,,121,,,,,,
,0.1207,,,0.319,,0.4483,,0.069,,0.0431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-220-200,10,,,0,,0,,0,,0,,,10,,4.0,,,False,,,False,,False,,,0,,,,False,,,10,,,,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-220-500,20,,,9,,6,,9,,1,,,45,,2.844,,,False,,,False,,False,,,1,,,,False,,,46,,,,,,
,0.4444,,,0.2,,0.1333,,0.2,,0.0222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-220-501,14,,,12,,8,,2,,1,,,37,,2.972,,,False,,,False,,False,,,13,,,,False,,,50,,,,,,
,0.3784,,,0.3243,,0.2162,,0.0541,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,44,,,21,,14,,11,,2,,,92,,3.021,,,False,,,False,,False,,,14,,,,False,,,106,,,,,,
,0.4783,,,0.2283,,0.1522,,0.1196,,0.0217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-200,6,,,0,,0,,0,,0,,,6,,4.0,,,False,,,False,,False,,,0,,,,False,,,6,,,,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
