SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,hh,TOTAL,jj,INSTRUCTOR,ll,mm
AERO-201-500,,3,,17,,9,,2,,,1,,,32,,,2.593,,False,,,,False,,,False,1,,,,,False,,33,,SHRYOCK K,,
,,0.0938,,0.5313,,0.2813,,0.0625,,,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,17,,9,,2,,,1,,,32,,,2.593,,False,,,,False,,,False,1,,,,,False,,33,,,,
,,0.0938,,0.5313,,0.2813,,0.0625,,,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-210-200,,7,,9,,5,,1,,,1,,,23,,,2.869,,False,,,,False,,,False,1,,,,,False,,24,,BOYD J,,
,,0.3043,,0.3913,,0.2174,,0.0435,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-210-500,,4,,3,,6,,3,,,1,,,17,,,2.352,,False,,,,False,,,False,2,,,,,False,,19,,BOYD J,,
,,0.2353,,0.1765,,0.3529,,0.1765,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-210-501,,4,,11,,12,,5,,,3,,,35,,,2.228,,False,,,,False,,,False,3,,,,,False,,38,,BOYD J,,
,,0.1143,,0.3143,,0.3429,,0.1429,,,0.0857,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-210-502,,3,,6,,10,,15,,,5,,,39,,,1.666,,False,,,,False,,,False,4,,,,,False,,43,,LE GRAVEREND,J,
,,0.0769,,0.1538,,0.2564,,0.3846,,,0.1282,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-210-503,,1,,7,,7,,16,,,10,,,41,,,1.341,,False,,,,False,,,False,2,,,,,False,,43,,LE GRAVEREND,J,
,,0.0244,,0.1707,,0.1707,,0.3902,,,0.2439,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,36,,40,,40,,,20,,,155,,,1.961,,False,,,,False,,,False,12,,,,,False,,167,,,,
,,0.1226,,0.2323,,0.2581,,0.2581,,,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-211-500,,12,,13,,8,,3,,,1,,,37,,,2.864,,False,,,,False,,,False,1,,,,,False,,38,,MAJJI M,,
,,0.3243,,0.3514,,0.2162,,0.0811,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,13,,8,,3,,,1,,,37,,,2.864,,False,,,,False,,,False,1,,,,,False,,38,,,,
,,0.3243,,0.3514,,0.2162,,0.0811,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-500,,2,,8,,6,,1,,,1,,,18,,,2.5,,False,,,,False,,,False,1,,,,,False,,19,,HARA K,,
,,0.1111,,0.4444,,0.3333,,0.0556,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,2,,8,,6,,1,,,1,,,18,,,2.5,,False,,,,False,,,False,1,,,,,False,,19,,,,
,,0.1111,,0.4444,,0.3333,,0.0556,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,,
AERO-214-500,,4,,9,,8,,6,,,8,,35,,,,1.857,,False,,,False,,,False,,,2,,,False,,,37,,LE GRAVEREND J,,
,,0.1143,,0.2571,,0.2286,,0.1714,,,0.2286,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-501,,3,,5,,9,,9,,,5,,31,,,,1.741,,False,,,False,,,False,,,2,,,False,,,33,,LE GRAVEREND J,,
,,0.0968,,0.1613,,0.2903,,0.2903,,,0.1613,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-502,,9,,17,,15,,2,,,1,,44,,,,2.704,,False,,,False,,,False,,,0,,,False,,,44,,NARAGHI M,,
,,0.2045,,0.3864,,0.3409,,0.0455,,,0.0227,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-503,,9,,14,,12,,6,,,3,,44,,,,2.454,,False,,,False,,,False,,,0,,,False,,,44,,NARAGHI M,,
,,0.2045,,0.3182,,0.2727,,0.1364,,,0.0682,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,45,,44,,23,,,17,,154,,,,2.246,,False,,,False,,,False,,,4,,,False,,,158,,,,
,,0.1623,,0.2922,,0.2857,,0.1494,,,0.1104,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-500,,10,,15,,10,,2,,,1,,38,,,,2.815,,False,,,False,,,False,,,2,,,False,,,40,,GERAKIS A,,
,,0.2632,,0.3947,,0.2632,,0.0526,,,0.0263,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,15,,10,,2,,,1,,38,,,,2.815,,False,,,False,,,False,,,2,,,False,,,40,,,,
,,0.2632,,0.3947,,0.2632,,0.0526,,,0.0263,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-303-500,,6,,10,,13,,2,,,0,,31,,,,2.645,,False,,,False,,,False,,,3,,,False,,,34,,ANDRIENKO D,,
,,0.1935,,0.3226,,0.4194,,0.0645,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-303-501,,10,,24,,25,,2,,,3,,64,,,,2.562,,False,,,False,,,False,,,2,,,False,,,66,,WHITE E,,
,,0.1563,,0.375,,0.3906,,0.0313,,,0.0469,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,34,,38,,4,,,3,,95,,,,2.589,,False,,,False,,,False,,,5,,,False,,,100,,,,
,,0.1684,,0.3579,,0.4,,0.0421,,,0.0316,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-500,,19,,16,,4,,5,,,3,,47,,,,2.914,,False,,,False,,,False,,,2,,,False,,,49,,KINRA V,,
,,0.4043,,0.3404,,0.0851,,0.1064,,,0.0638,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,16,,4,,5,,,3,,47,,,,2.914,,False,,,False,,,False,,,2,,,False,,,49,,,,
,,0.4043,,0.3404,,0.0851,,0.1064,,,0.0638,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,,
AERO-306-500,,52,,6,,0,,0,,,0,,58,,,,3.896,,False,,,False,,,False,,,2,,,False,,,60,,STROUBOULIS T,,
,,0.8966,,0.1034,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-501,,9,,14,,7,,3,,,0,,33,,,,2.878,,False,,,False,,,False,,,4,,,False,,,37,,HARTL D,,
,,0.2727,,0.4242,,0.2121,,0.0909,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,61,,20,,7,,3,,,0,,91,,,,3.527,,False,,,False,,,False,,,6,,,False,,,97,,,,
,,0.6703,,0.2198,,0.0769,,0.033,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-310-500,,21,,30,,3,,1,,,1,,56,,,,3.232,,False,,,False,,,False,,,0,,,False,,,56,,MOBLE B,,
,,0.375,,0.5357,,0.0536,,0.0179,,,0.0179,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,30,,3,,1,,,1,,56,,,,3.232,,False,,,False,,,False,,,0,,,False,,,56,,,,
,,0.375,,0.5357,,0.0536,,0.0179,,,0.0179,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-321-500,,8,,17,,8,,0,,,0,,33,,,,3.0,,False,,,False,,,False,,,0,,,False,,,33,,VADALI S,,
,,0.2424,,0.5152,,0.2424,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-321-501,,11,,31,,14,,1,,,0,,57,,,,2.912,,False,,,False,,,False,,,0,,,False,,,57,,VADALI S,,
,,0.193,,0.5439,,0.2456,,0.0175,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,48,,22,,1,,,0,,90,,,,2.944,,False,,,False,,,False,,,0,,,False,,,90,,,,
,,0.2111,,0.5333,,0.2444,,0.0111,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-351-500,,25,,24,,9,,1,,,0,,59,,,,3.237,,False,,,False,,,False,,,0,,,False,,,59,,CIZMAS P,,
,,0.4237,,0.4068,,0.1525,,0.0169,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-351-501,,16,,13,,6,,0,,,1,,36,,,,3.194,,False,,,False,,,False,,,1,,,False,,,37,,MATULA N,,
,,0.4444,,0.3611,,0.1667,,0.0,,,0.0278,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,41,,37,,15,,1,,,1,,95,,,,3.221,,False,,,False,,,False,,,1,,,False,,,96,,,,
,,0.4316,,0.3895,,0.1579,,0.0105,,,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-401-500,,13,,0,,0,,0,,,0,,13,,,,4.0,,False,,,False,,,False,,,0,,,False,,,13,,POLLOCK T,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
