SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm,nn,oo
AERO-201-500,,,7,,,21,,,20,,3,,,0,,51,,,2.627,,0,,,False,,False,,2,,,False,,53,,,SHRYOCK K,,,,
,,,0.1373,,,0.4118,,,0.3922,,0.0588,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,7,,,21,,,20,,3,,,0,,51,,,2.627,,0,,,False,,False,,2,,,False,,53,,,,,,,
,,,0.1373,,,0.4118,,,0.3922,,0.0588,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-211-500,,,15,,,18,,,8,,1,,,3,,45,,,2.911,,0,,,False,,False,,4,,,False,,49,,,DEMARS K,,,,
,,,0.3333,,,0.4,,,0.1778,,0.0222,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,15,,,18,,,8,,1,,,3,,45,,,2.911,,0,,,False,,False,,4,,,False,,49,,,,,,,
,,,0.3333,,,0.4,,,0.1778,,0.0222,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-200,,,7,,,11,,,10,,1,,,0,,29,,,2.827,,0,,,False,,False,,1,,,False,,30,,,BOYD J,,,,
,,,0.2414,,,0.3793,,,0.3448,,0.0345,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-500,,,0,,,25,,,20,,3,,,3,,51,,,2.313,,1,,,False,,False,,3,,,False,,55,,,BOYD J,,,,
,,,0.0,,,0.4902,,,0.3922,,0.0588,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-502,,,15,,,33,,,18,,4,,,2,,72,,,2.763,,0,,,False,,False,,9,,,False,,81,,,ANDRIENKO D,,,,
,,,0.2083,,,0.4583,,,0.25,,0.0556,,,0.0278,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,22,,,69,,,48,,8,,,5,,152,,,2.625,,1,,,False,,False,,13,,,False,,166,,,,,,,
,,,0.1447,,,0.4539,,,0.3158,,0.0526,,,0.0329,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-501,,,15,,,31,,,23,,5,,,3,,77,,,2.649,,1,,,False,,False,,6,,,False,,84,,,NARAGHI M,,,,
,,,0.1948,,,0.4026,,,0.2987,,0.0649,,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-502,,,22,,,47,,,11,,2,,,0,,82,,,3.085,,0,,,False,,False,,4,,,False,,86,,,TALREJA R,,,,
,,,0.2683,,,0.5732,,,0.1341,,0.0244,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,37,,,78,,,34,,7,,,3,,159,,,2.874,,1,,,False,,False,,10,,,False,,170,,,,,,,
,,,0.2327,,,0.4906,,,0.2138,,0.044,,,0.0189,,,,,,,,,,,,,,,,,,,,,,,,,,
