BUSH-602-600,b,8,d,3,f,2,h,0,j,k,1,m,n,14,p,0.0,r,s,0_2,u,v,w,0_3,y,z,0_4,bb,cc,1_2,ee,ff,gg,0_5,ii,jj,15,ll,RAISOR,C,oo,pp
,,0.5714,,0.2143,,0.1429,,0.0,,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,3,,2,,0,,,1,,,14,,Error,,,False,,,,False,,,False,,,1,,,,False,,,15,,,,,
,,0.5714,,0.2143,,0.1429,,0.0,,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-601,,11,,9,,1,,0,,,0,,,21,,3.476,,,False,,,,False,,,False,,,0,,,,False,,,21,,CORTES,K,,
,,0.5238,,0.4286,,0.0476,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-602,,15,,7,,0,,0,,,0,,,22,,3.681,,,False,,,,False,,,False,,,0,,,,False,,,22,,CORTES,K,,
,,0.6818,,0.3182,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-603,,14,,5,,3,,1,,,0,,,23,,3.391,,,False,,,,False,,,False,,,0,,,,False,,,23,,LAHEY J,,,
,,0.6087,,0.2174,,0.1304,,0.0435,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-604,,15,,6,,0,,0,,,0,,,21,,3.714,,,False,,,,False,,,False,,,0,,,,False,,,21,,NIELSEN R,,,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-605,,11,,4,,0,,1,,,0,,,16,,3.562,,,False,,,,False,,,False,,,1,,,,False,,,17,,LAHEY J,,,
,,0.6875,,0.25,,0.0,,0.0625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-606,,17,,9,,1,,0,,,0,,,27,,3.592,,,False,,,,False,,,False,,,0,,,,False,,,27,,SELLARS E,,,
,,0.6296,,0.3333,,0.037,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,83,,40,,5,,2,,,0,,,130,,3.569,,,False,,,,False,,,False,,,1,,,,False,,,131,,,,,
,,0.6385,,0.3077,,0.0385,,0.0154,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,91,,43,,7,,2,,,1,,,1443.569,,,,,False,,,,False,,,False,,,2,,,,False,,,146,,,,,
,,0.6319,,0.2986,,0.0486,,0.0139,,,0.0069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,,X    TOTAL,,,,,,,INSTRUCTOR,,,,
INTA-601-601,,8,,9,,0,,0,,,0,,17,,,3.47,,False,,,,False,,,False,,,False,,,,False,,,17,,,SCHUESSLER J,,,
,,0.4706,,0.5294,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-601-602,,11,,12,,0,,0,,,0,,23,,,3.478,,False,,,,False,,,False,,,False,,,,False,,,23,,,SCHUESSLER J,,,
,,0.4783,,0.5217,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,21,,0,,0,,,0,,40,,,3.475,,False,,,,False,,,False,,,False,,,,False,,,40,,,,,,
,,0.475,,0.525,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-603-601,,6,,2,,0,,0,,,0,,8,,,3.75,,False,,,,False,,,False,,,False,,,,False,,,8,,,NAPPER L,,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-603-602,,5,,3,,0,,0,,,0,,8,,,3.625,,False,,,,False,,,False,,,False,,,,False,,,8,,,NAPPER L,,,
,,0.625,,0.375,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-603-603,,8,,0,,0,,0,,,0,,8,,,4.0,,False,,,,False,,,False,,,False,,,,False,,,8,,,NAPPER L,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,5,,0,,0,,,0,,24,,,3.791,,False,,,,False,,,False,,,False,,,,False,,,24,,,,,,
,,0.7917,,0.2083,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-604-600,,8,,6,,0,,0,,,0,,14,,,3.571,,False,,,,False,,,False,,,False,,,,False,,,14,,,TABAAR M,,,
,,0.5714,,0.4286,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
