BUSH-631-601,7,c,d,1,f,0,h,0_2,j,0_3,l,m,8,o,3.875,q,r,0_4,t,u,0_5,w,0_6,y,z,0_7,bb,cc,dd,0_8,ff,gg,8_2,NIELSEN R,jj,kk
,0.875,,,0.125,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-602,12,,,1,,1,,0,,0,,,14,,3.785,,,False,,,False,,False,,,False,,,,False,,,14,NIELSEN R,,
,0.8571,,,0.0714,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-700,17,,,2,,1,,0,,1,,,21,,3.619,,,False,,,False,,False,,,False,,,,False,,,21,HANNIBAL B,,
,0.8095,,,0.0952,,0.0476,,0.0,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,36,,,4,,2,,0,,1,,,43,,3.72,,,False,,,False,,False,,,False,,,,False,,,43,,,
,0.8372,,,0.093,,0.0465,,0.0,,0.0233,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-632-600,6,,,0,,0,,0,,0,,,6,,4.0,,,False,,,False,,False,,,False,,,,False,,,6,MARCHBANKS,M,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,,0,,0,,0,,0,,,6,,4.0,,,False,,,False,,False,,,False,,,,False,,,6,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-635-601,9,,,2,,3,,0,,0,,,14,,3.428,,,False,,,False,,False,,,False,,,,False,,,14,SELLARS E,,
,0.6429,,,0.1429,,0.2143,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-635-602,10,,,9,,3,,0,,0,,,22,,3.318,,,False,,,False,,False,,,False,,,,False,,,22,LAHEY J,,
,0.4545,,,0.4091,,0.1364,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-635-603,13,,,2,,3,,1,,0,,,19,,3.421,,,False,,,False,,False,,,False,,,,False,,,19,CARROLL K,,
,0.6842,,,0.1053,,0.1579,,0.0526,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,32,,,13,,9,,1,,0,,,55,,3.381,,,False,,,False,,False,,,False,,,,False,,,55,,,
,0.5818,,,0.2364,,0.1636,,0.0182,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,74,,,17,,11,,1,,1,,,1043.557,,,,,False,,,False,,False,,,False,,,,False,,,104,,,
,0.7115,,,0.1635,,0.1058,,0.0096,,0.0096,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,
INTA-601-600,,5,,0,,1,,0,,0,,,6,,3.666,,0,,,,False,,,False,,,False,,0,,,6,,MUSOMA H,,
,,0.8333,,0.0,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,0,,1,,0,,0,,,6,,3.666,,0,,,,False,,,False,,,False,,0,,,6,,,,
,,0.8333,,0.0,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-603-700,,8,,3,,0,,0,,1,,,12,,3.416,,0,,,,False,,,False,,,True,,0,,,13,,RUSSELL R,,
,,0.6667,,0.25,,0.0,,0.0,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,3,,0,,0,,1,,,12,,3.416,,0,,,,False,,,False,,,True,,0,,,13,,,,
,,0.6667,,0.25,,0.0,,0.0,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-604-700,,4,,2,,1,,0,,2,,,9,,2.666,,0,,,,False,,,False,,,False,,0,,,9,,TALBOT B,,
,,0.4444,,0.2222,,0.1111,,0.0,,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,2,,1,,0,,2,,,9,,2.666,,0,,,,False,,,False,,,False,,0,,,9,,,,
,,0.4444,,0.2222,,0.1111,,0.0,,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-601,,11,,9,,0,,0,,0,,,20,,3.55,,0,,,,False,,,False,,,False,,0,,,20,,CESARIO B,,
,,0.55,,0.45,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-602,,10,,10,,1,,0,,0,,,21,,3.428,,0,,,,False,,,False,,,False,,0,,,21,,ITZKOWITZ-,,
