INTA-603-700,3,2,0,0_2,1,6,3.0,0_3,0_4,0_5,0_6,0_7,6_2,RUSSELL R
,0.5,0.3333,0.0,0.0,0.1667,,,,,,,,,
COURSE TOTAL:,3,2,0,0,1,6,3.0,0,False,False,False,False,6,
,0.5,0.3333,0.0,0.0,0.1667,,,,,,,,,
INTA-605-700,4,4,1,0,0,9,3.333,2,False,False,False,False,11,TALBOT B
,0.4444,0.4444,0.1111,0.0,0.0,,,,,,,,,
COURSE TOTAL:,4,4,1,0,0,9,3.333,2,False,False,False,False,11,
,0.4444,0.4444,0.1111,0.0,0.0,,,,,,,,,
INTA-617-100,10,0,0,0,0,10,4.0,0,False,False,False,False,10,CASTILLO J
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
COURSE TOTAL:,10,0,0,0,0,10,4.0,0,False,False,False,False,10,
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
INTA-651-700,6,2,0,0,3,11,2.727,0,False,False,False,False,11,RUSSELL R
,0.5455,0.1818,0.0,0.0,0.2727,,,,,,,,,
COURSE TOTAL:,6,2,0,0,3,11,2.727,0,False,False,False,False,11,
,0.5455,0.1818,0.0,0.0,0.2727,,,,,,,,,
INTA-657-100,8,0,0,0,0,8,4.0,0,False,False,False,False,8,MACNAMEE R
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4.0,0,False,False,False,False,8,
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
INTA-680-700,5,5,1,0,2,13,2.846,0,False,False,False,False,13,SMITH J
,0.3846,0.3846,0.0769,0.0,0.1538,,,,,,,,,
COURSE TOTAL:,5,5,1,0,2,13,2.846,0,False,False,False,False,13,
,0.3846,0.3846,0.0769,0.0,0.1538,,,,,,,,,
DEPARTMENT TOTAL:,36,13,2,0,6,573.28,,2,False,False,False,False,59,
,0.6316,0.2281,0.0351,0.0,0.1053,,,,,,,,,
