BUSH-602-600,b,15,d,6,f,3,h,0,j,k,3_2,m,n,27,p,0.0,r,s,0_2,u,v,w,0_3,y,z,0_4,bb,cc,0_5,ee,ff,gg,3_3,ii,jj,30,ll,RAISOR,C,oo,pp
,,0.5556,,0.2222,,0.1111,,0.0,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,6,,3,,0,,,3,,,27,,Error,,,False,,,,False,,,False,,,0,,,,3,,,30,,,,,
,,0.5556,,0.2222,,0.1111,,0.0,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-601,,19,,5,,0,,0,,,0,,,24,,3.791,,,False,,,,False,,,False,,,0,,,,0,,,24,,CORTES,K,,
,,0.7917,,0.2083,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-602,,18,,1,,2,,0,,,0,,,21,,3.761,,,False,,,,False,,,False,,,0,,,,0,,,21,,CORTES,K,,
,,0.8571,,0.0476,,0.0952,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-603,,11,,4,,1,,1,,,0,,,17,,3.47,,,False,,,,False,,,False,,,2,,,,0,,,19,,LAHEY J,,,
,,0.6471,,0.2353,,0.0588,,0.0588,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-604,,6,,7,,0,,0,,,0,,,13,,3.461,,,False,,,,False,,,False,,,1,,,,0,,,14,,LAHEY J,,,
,,0.4615,,0.5385,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-605,,16,,9,,0,,0,,,0,,,25,,3.64,,,False,,,,False,,,False,,,0,,,,0,,,25,,LENZ E,,,
,,0.64,,0.36,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-606,,26,,3,,0,,0,,,0,,,29,,3.896,,,False,,,,False,,,False,,,0,,,,0,,,29,,LENZ E,,,
,,0.8966,,0.1034,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-700,,16,,1,,0,,0,,,1,,,18,,3.722,,,False,,,,False,,,False,,,0,,,,0,,,18,,BULLOCK J,,,
,,0.8889,,0.0556,,0.0,,0.0,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,112,,30,,3,,1,,,1,,,147,,3.707,,,False,,,,False,,,False,,,3,,,,0,,,150,,,,,
,,0.7619,,0.2041,,0.0204,,0.0068,,,0.0068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,127,,36,,6,,1,,,4,,,1743.707,,,,,False,,,,False,,,False,,,3,,,,3,,,180,,,,,
,,0.7299,,0.2069,,0.0345,,0.0057,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,,X    TOTAL,,,,,,,INSTRUCTOR,,,,
INTA-601-601,,19,,6,,1,,0,,,0,,26,,,3.692,,0,,,,False,,,False,,,False,,,,False,,,26,,,CREAN J,,,
,,0.7308,,0.2308,,0.0385,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,6,,1,,0,,,0,,26,,,3.692,,0,,,,False,,,False,,,False,,,,False,,,26,,,,,,
,,0.7308,,0.2308,,0.0385,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-603-601,,5,,3,,0,,0,,,0,,8,,,3.625,,0,,,,False,,,False,,,False,,,,False,,,8,,,NAPPER L,,,
,,0.625,,0.375,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
