BUSH-631-601,25,c,3,e,0,g,0_2,i,0_3,k,l,28,n,3.892,p,q,0_4,s,t,0_5,v,0_6,x,y,0_7,aa,bb,cc,0_8,ee,ff,28_2,hh,LENZ E,jj,kk
,0.8929,,0.1071,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-700,13,,2,,0,,0,,1,,,16,,3.625,,,False,,,False,,False,,,False,,,,False,,,16,,BULLOCK J,,
,0.8125,,0.125,,0.0,,0.0,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,38,,5,,0,,0,,1,,,44,,3.795,,,False,,,False,,False,,,False,,,,False,,,44,,,,
,0.8636,,0.1136,,0.0,,0.0,,0.0227,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-632-600,18,,4,,0,,0,,0,,,22,,3.818,,,False,,,False,,False,,,False,,,,False,,,22,,BULLOCK J,,
,0.8182,,0.1818,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,18,,4,,0,,0,,0,,,22,,3.818,,,False,,,False,,False,,,False,,,,False,,,22,,,,
,0.8182,,0.1818,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-635-601,11,,4,,1,,2,,1,,,19,,3.157,,,False,,,False,,False,,,False,,,,False,,,19,,MARCHBANKS,M,
,0.5789,,0.2105,,0.0526,,0.1053,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-635-602,15,,4,,0,,0,,0,,,19,,3.789,,,False,,,False,,False,,,False,,,,False,,,19,,CORTES K,,
,0.7895,,0.2105,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-635-603,8,,3,,0,,0,,0,,,11,,3.727,,,False,,,False,,False,,,False,,,,False,,,11,,MU R,,
,0.7273,,0.2727,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,34,,11,,1,,2,,1,,,49,,3.53,,,False,,,False,,False,,,False,,,,False,,,49,,,,
,0.6939,,0.2245,,0.0204,,0.0408,,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,90,,20,,1,,2,,2,,,1153.686,,,,,False,,,False,,False,,,False,,,,False,,,115,,,,
,0.7826,,0.1739,,0.0087,,0.0174,,0.0174,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,,
INTA-601-600,12,,5,,0,,0,,0,,,17,,3.705,,0,,,,False,,,False,,,2,,0,,,19,,CREAN J,,,
,0.7059,,0.2941,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,5,,0,,0,,0,,,17,,3.705,,0,,,,False,,,False,,,2,,0,,,19,,,,,
,0.7059,,0.2941,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-603-700,7,,3,,1,,0,,1,,,12,,3.25,,0,,,,False,,,False,,,0,,0,,,12,,RUSSELL R,,,
,0.5833,,0.25,,0.0833,,0.0,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,3,,1,,0,,1,,,12,,3.25,,0,,,,False,,,False,,,0,,0,,,12,,,,,
,0.5833,,0.25,,0.0833,,0.0,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-604-700,7,,4,,0,,0,,1,,,12,,3.333,,0,,,,False,,,False,,,1,,0,,,13,,RUSSELL R,,,
,0.5833,,0.3333,,0.0,,0.0,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,4,,0,,0,,1,,,12,,3.333,,0,,,,False,,,False,,,1,,0,,,13,,,,,
,0.5833,,0.3333,,0.0,,0.0,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-601,6,,5,,0,,0,,0,,,11,,3.545,,0,,,,False,,,False,,,0,,0,,,11,,CESARIO B,,,
,0.5455,,0.4545,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-602,12,,7,,0,,0,,0,,,19,,3.631,,0,,,,False,,,False,,,1,,0,,,20,,MAYBORN W,,,
,0.6316,,0.3684,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-700,8,,2,,0,,0,,0,,,10,,3.8,,0,,,,False,,,False,,,1,,0,,,11,,TALBOT B,,,
,0.8,,0.2,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,26,,14,,0,,0,,0,,,40,,3.65,,0,,,,False,,,False,,,2,,0,,,42,,,,,
,0.65,,0.35,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-608-600,23,,7,,0,,0,,0,,,30,,3.766,,0,,,,False,,,False,,,0,,0,,,30,,LENZ E,,,
,0.7667,,0.2333,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,23,,7,,0,,0,,0,,,30,,3.766,,0,,,,False,,,False,,,0,,0,,,30,,,,,
,0.7667,,0.2333,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
