INTA-603-700,5,c,1,e,0,g,1_2,i,0_2,k,l,7,n,3.428,p,q,0_3,s,t,0_4,v,0_5,x,y,0_6,aa,bb,cc,0_7,ee,ff,7_2,RUSSELL R,ii,jj
,0.7143,,0.1429,,0.0,,0.1429,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,1,,0,,1,,0,,,7,,3.428,,,0,,,False,,False,,,False,,,,False,,,7,,,
,0.7143,,0.1429,,0.0,,0.1429,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-700,4,,2,,0,,0,,0,,,6,,3.666,,,0,,,False,,False,,,False,,,,False,,,6,TALBOT B,,
,0.6667,,0.3333,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,4,,2,,0,,0,,0,,,6,,3.666,,,0,,,False,,False,,,False,,,,False,,,6,,,
,0.6667,,0.3333,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-617-100,10,,0,,0,,0,,0,,,10,,4.0,,,2,,,False,,False,,,False,,,,False,,,12,CASTILLO J,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,0,,0,,0,,0,,,10,,4.0,,,2,,,False,,False,,,False,,,,False,,,12,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-651-700,10,,4,,0,,0,,1,,,15,,3.466,,,0,,,False,,False,,,False,,,,False,,,15,RUSSELL R,,
,0.6667,,0.2667,,0.0,,0.0,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,4,,0,,0,,1,,,15,,3.466,,,0,,,False,,False,,,False,,,,False,,,15,,,
,0.6667,,0.2667,,0.0,,0.0,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-680-700,4,,3,,0,,0,,1,,,8,,3.125,,,0,,,False,,False,,,False,,,,False,,,8,SMITH J,,
,0.5,,0.375,,0.0,,0.0,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,4,,3,,0,,0,,1,,,8,,3.125,,,0,,,False,,False,,,False,,,,False,,,8,,,
,0.5,,0.375,,0.0,,0.0,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-689-100,8,,1,,0,,0,,0,,,9,,3.888,,,0,,,False,,False,,,False,,,,False,,,9,MCLAUGHLIN,J,
,0.8889,,0.1111,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-689-700,3,,2,,0,,0,,0,,,5,,3.6,,,0,,,False,,False,,,False,,,,False,,,5,HAMIE C,,
,0.6,,0.4,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,11,,3,,0,,0,,0,,,14  3.785,,,,,0,,,False,,False,,,False,,,,False,,,14,,,
,0.7857,,0.2143,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,44,,13,,0,,1,,2,,,603.6,,,,,2,,,False,,False,,,False,,,,False,,,62,,,
,0.7333,,0.2167,,0.0,,0.0167,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,
PSAA-601-700,16,,4,,0,,0,,0,,,20,,3.8,,0,,,,False,,,False,,,False,,0,,,20,,SMITH S,,
,0.8,,0.2,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAA-601-701,17,,1,,0,,0,,0,,,18,,3.944,,1,,,,False,,,False,,,False,,0,,,19,,GRAHAM C,,
,0.9444,,0.0556,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,33,,5,,0,,0,,0,,,38,,3.868,,1,,,,False,,,False,,,False,,0,,,39,,,,
,0.8684,,0.1316,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAA-616-700,12,,0,,0,,0,,0,,,12,,4.0,,1,,,,False,,,False,,,False,,0,,,13,,ASHLEY F,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,0,,0,,0,,0,,,12,,4.0,,1,,,,False,,,False,,,False,,0,,,13,,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAA-620-700,11,,0,,0,,0,,0,,,11,,4.0,,0,,,,False,,,False,,,False,,0,,,11,,MILESKI J,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,11,,0,,0,,0,,0,,,11,,4.0,,0,,,,False,,,False,,,False,,0,,,11,,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAA-621-700,5,,2,,0,,0,,0,,,7,,3.714,,0,,,,False,,,False,,,False,,0,,,7,,BULLOCK J,,
,0.7143,,0.2857,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,2,,0,,0,,0,,,7,,3.714,,0,,,,False,,,False,,,False,,0,,,7,,,,
,0.7143,,0.2857,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAA-623-700,11,,5,,0,,1,,0,,,17,,3.529,,0,,,,False,,,False,,,False,,0,,,17,,LITTLE C,,
,0.6471,,0.2941,,0.0,,0.0588,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,11,,5,,0,,1,,0,,,17,,3.529,,0,,,,False,,,False,,,False,,0,,,17,,,,
,0.6471,,0.2941,,0.0,,0.0588,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAA-630-700,11,,10,,2,,0,,0,,,23,,3.391,,0,,,,False,,,False,,,False,,0,,,23,,MARCHBANKS,M,
,0.4783,,0.4348,,0.087,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
