SECTION,b,A,d,e,B,g,C,i,D,k,F,m,A_2,- F,p,GPA,r,I,t,S,v,U,x,Q,z,aa,bb,X,dd,TOTAL,ff,INSTRUCTOR,hh,ii
BUSH-631-700,,16,,,1,,1,,0,,1,,,19,,3.631,,False,,,False,,False,,,False,,0,,19,,BULLOCK J,,
,,0.8421,,,0.0526,,0.0526,,0.0,,0.0526,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,,1,,1,,0,,1,,,19,,3.631,,False,,,False,,False,,,False,,0,,19,,,,
,,0.8421,,,0.0526,,0.0526,,0.0,,0.0526,,,,,,,,,,,,,,,,,,,,,,,
BUSH-635-601,,8,,,6,,2,,1,,1,,,18,,3.055,,False,,,False,,False,,,False,,0,,18,,LAHEY J,,
,,0.4444,,,0.3333,,0.1111,,0.0556,,0.0556,,,,,,,,,,,,,,,,,,,,,,,
BUSH-635-602,,10,,,6,,0,,0,,0,,,16,,3.625,,False,,,False,,False,,,False,,2,,18,,CORTES K,,
,,0.625,,,0.375,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
BUSH-635-603,,13,,,3,,2,,0,,0,,,18,,3.611,,True,,,False,,False,,,False,,0,,19,,MU R,,
,,0.7222,,,0.1667,,0.1111,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,31,,,15,,4,,1,,1,,,52,,3.423,,True,,,False,,False,,,False,,2,,55,,,,
,,0.5962,,,0.2885,,0.0769,,0.0192,,0.0192,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,47,,,16,,5,,1,,2,,,71,,3.478,,True,,,False,,False,,,False,,2,,74,,,,
,,0.662,,,0.2254,,0.0704,,0.0141,,0.0282,,,,,,,,,,,,,,,,,,,,,,,
INTA-603-700,8,,,1,,,0,,0,,1,,,10,3.5,,,False,,,False,False,,,False,,,0,,,10,RUSSELL R,,
,0.8,,,0.1,,,0.0,,0.0,,0.1,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,1,,,0,,0,,1,,,10,3.5,,,False,,,False,False,,,False,,,0,,,10,,,
,0.8,,,0.1,,,0.0,,0.0,,0.1,,,,,,,,,,,,,,,,,,,,,,,
INTA-604-700,8,,,2,,,0,,0,,0,,,10,3.8,,,False,,,False,False,,,False,,,0,,,10,TALBOT B,,
,0.8,,,0.2,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,2,,,0,,0,,0,,,10,3.8,,,False,,,False,False,,,False,,,0,,,10,,,
,0.8,,,0.2,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-601,9,,,3,,,0,,0,,0,,,12,3.75,,,False,,,False,False,,,False,,,1,,,13,BARTEL M,,
,0.75,,,0.25,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-602,10,,,0,,,0,,0,,0,,,10,4.0,,,True,,,False,False,,,False,,,0,,,11,LAYNE C,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-700,4,,,2,,,0,,0,,0,,,6,3.666,,,False,,,False,False,,,False,,,0,,,6,TALBOT B,,
,0.6667,,,0.3333,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
