SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,p,GPR,r,I,t,u,S,w,x,U,z,aa,Q,cc,dd,X,ff,gg,TOTAL,ii,INSTRUCTOR,kk,ll,mm,nn
ATMO-201-501,,70,,24,,4,,0,,0,,,98,,,3.674,,,False,,,False,,,False,,,0,,,False,,98,,LOGAN T,,,,
,,0.7143,,0.2449,,0.0408,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-502,,33,,42,,12,,4,,0,,,91,,,3.143,,,True,,,False,,,False,,,6,,,False,,98,,SCHUMACHER,,,C,
,,0.3626,,0.4615,,0.1319,,0.044,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-504,,40,,36,,15,,1,,0,,,92,,,3.25,,,False,,,False,,,False,,,4,,,False,,96,,CONLEE D,,,,
,,0.4348,,0.3913,,0.163,,0.0109,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-505,,66,,26,,4,,0,,0,,,96,,,3.646,,,False,,,False,,,False,,,1,,,False,,97,,LOGAN T,,,,
,,0.6875,,0.2708,,0.0417,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-506,,26,,22,,6,,2,,1,,,57,,,3.228,,,False,,,False,,,False,,,1,,,False,,58,,BROOKS S,,,,
,,0.4561,,0.386,,0.1053,,0.0351,,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-507,,12,,13,,11,,1,,0,,,37,,,2.973,,,False,,,False,,,False,,,1,,,False,,38,,COLLINS D,,,,
,,0.3243,,0.3514,,0.2973,,0.027,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-509,,9,,16,,11,,0,,0,,,36,,,2.944,,,False,,,False,,,False,,,2,,,False,,38,,COLLINS D,,,,
,,0.25,,0.4444,,0.3056,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:     256,,,179,,63,,8,,1,,507,,,,3.343,,1,,,0,,,0,,,15,,,0,,,523,,,,,,,
0.5049,,,0.3531,,0.1243,,0.0158,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-501            7,,,8,,4,,2,,0,,21,,,,2.952,,0,,,0,,,0,,,1,,,0,,,22,,LOGAN,,True,,,
0.3333,,,0.381,,0.1905,,0.0952,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-502           10,,,9,,2,,2,,0,,23,,,,3.174,,0,,,0,,,0,,,0,,,0,,,23,,LOGAN,,True,,,
0.4348,,,0.3913,,0.087,,0.087,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-504            7,,,4,,6,,3,,2,,22,,,,2.5,,0,,,0,,,0,,,2,,,0,,,24,,LOGAN,,True,,,
0.3182,,,0.1818,,0.2727,,0.1364,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-505            3,,,8,,4,,3,,2,,20,,,,2.35,,0,,,0,,,0,,,4,,,0,,,24,,LOGAN,,True,,,
0.15,,,0.4,,0.2,,0.15,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-506            6,,,4,,6,,1,,0,,17,,,,2.882,,0,,,0,,,0,,,0,,,0,,,17,,LOGAN,,True,,,
0.3529,,,0.2353,,0.3529,,0.0588,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,,GPR,,I,,,S,,,U,,,Q,,,X,,,TOTAL,,INSTRUCTOR,,,,
ATMO-202-508,,7,,10,,4,,0,,1,,,22,,,3.0,,,False,,,False,,,False,,,0,,,False,,22,,LOGAN T,,,,
,,0.3182,,0.4545,,0.1818,,0.0,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-509,,7,,5,,2,,2,,0,,,16,,,3.062,,,False,,,False,,,False,,,0,,,False,,16,,LOGAN T,,,,
,,0.4375,,0.3125,,0.125,,0.125,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,47,,48,,28,,13,,5,,,141,,,2.844,,,False,,,False,,,False,,,7,,,False,,148,,,,,,
,,0.3333,,0.3404,,0.1986,,0.0922,,0.0355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-203-501,,10,,10,,0,,0,,0,,,20,,,3.5,,,False,,,False,,,False,,,0,,,False,,20,,CONLEE D,,,,
,,0.5,,0.5,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-203-502,,12,,3,,0,,0,,0,,,15,,,3.8,,,False,,,False,,,False,,,0,,,False,,15,,CONLEE D,,,,
,,0.8,,0.2,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,22,,13,,0,,0,,0,,,35,,,3.629,,,False,,,False,,,False,,,0,,,False,,35,,,,,,
,,0.6286,,0.3714,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-321-500,,10,,6,,5,,0,,0,,,21,,,3.238,,,False,,,False,,,False,,,2,,,False,,23,,SARAVANAN,,,R,
,,0.4762,,0.2857,,0.2381,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      10,,,6,,5,,0,,0,,21,,,,3.238,,0,,,0,,,0,,,2,,,0,,,23,,,,,,,
0.4762,,,0.2857,,0.2381,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
