ATMO-201-501,b,31,d,e,26,g,22,i,3,k,l,0,n,o,82,q,3.036,s,t,1,v,w,x,0_2,z,aa,0_3,cc,dd,6,ff,gg,hh,0_4,jj,kk,89,mm,CONLEE D,oo,pp,qq
,,0.378,,,0.3171,,0.2683,,0.0366,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-502,,97,,,58,,10,,0,,,0,,,165,,3.527,,,1,,,,False,,,False,,,2,,,,False,,,168,,LOGAN T,,,
,,0.5879,,,0.3515,,0.0606,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-503,,25,,,35,,15,,5,,,1,,,81,,2.962,,,0,,,,False,,,False,,,5,,,,False,,,86,,SCHUMACHER C,,,
,,0.3086,,,0.4321,,0.1852,,0.0617,,,0.0123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-504,,19,,,32,,24,,7,,,4,,,86,,2.639,,,0,,,,False,,,False,,,3,,,,False,,,89,,NIELSEN-GAMMON,J,,
,,0.2209,,,0.3721,,0.2791,,0.0814,,,0.0465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-505,,2,,,8,,2,,1,,,0,,,13,,2.846,,,0,,,,False,,,False,,,0,,,,False,,,13,,SCHADE G,,,
,,0.1538,,,0.6154,,0.1538,,0.0769,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-506,,78,,,81,,11,,0,,,0,,,170,,3.394,,,0,,,,False,,,False,,,0,,,,False,,,170,,LOGAN T,,,
,,0.4588,,,0.4765,,0.0647,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-507,,38,,,36,,12,,0,,,0,,,86,,3.302,,,0,,,,False,,,False,,,1,,,,False,,,87,,LOGAN T,,,
,,0.4419,,,0.4186,,0.1395,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,290,,,276,,96,,16,,,5,,,683,,3.215,,,2,,,,False,,,False,,,17,,,,False,,,702,,,,,
,,0.4246,,,0.4041,,0.1406,,0.0234,,,0.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-501,,15,,,5,,3,,0,,,0,,,23,,3.521,,,0,,,,False,,,False,,,0,,,,False,,,23,,LOGAN T,,,
,,0.6522,,,0.2174,,0.1304,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
