SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh,ii
ATMO-201-299,,29,,,29,,,18,,1,,0,,,77,,3.116,,2,,,False,,False,,,True,,False,,80,EPIFANIO C,,
,,0.3766,,,0.3766,,,0.2338,,0.013,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,29,,,29,,,18,,1,,0,,,77,,3.116,,2,,,False,,False,,,True,,False,,80,,,
,,0.3766,,,0.3766,,,0.2338,,0.013,,0.0,,,,,,,,,,,,,,,,,,,,,,
ATMO-370-150,,25,,,0,,,0,,0,,0,,,25,,4.0,,0,,,False,,False,,,False,,False,,25,CONLEE D,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,,0,,,0,,0,,0,,,25,,4.0,,0,,,False,,False,,,False,,False,,25,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ATMO-629-200,,15,,,0,,,0,,0,,0,,,15,,4.0,,0,,,False,,False,,,False,,False,,15,NORTH J,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,,0,,,0,,0,,0,,,15,,4.0,,0,,,False,,False,,,False,,False,,15,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,69,,,29,,,18,,1,,0,,,117,,3.381,,2,,,False,,False,,,True,,False,,120,,,
,,0.5897,,,0.2479,,,0.1538,,0.0085,,0.0,,,,,,,,,,,,,,,,,,,,,,
LODER T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOG-201-199,37,,,14,,,4,,,1,,2,,,58,3.431,,,0,,,False,False,,,0,,,False,,58,,,
,0.6379,,,0.2414,,,0.069,,,0.0172,,0.0345,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,37,,,14,,,4,,,1,,2,,,58,3.431,,,0,,,False,False,,,0,,,False,,58,,,
,0.6379,,,0.2414,,,0.069,,,0.0172,,0.0345,,,,,,,,,,,,,,,,,,,,,,
GEOG-202-200,12,,,26,,,7,,,3,,0,,,48,2.979,,,1,,,False,False,,,0,,,False,,49,,,
,0.25,,,0.5417,,,0.1458,,,0.0625,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,,26,,,7,,,3,,0,,,48,2.979,,,1,,,False,False,,,0,,,False,,49,,,
,0.25,,,0.5417,,,0.1458,,,0.0625,,0.0,,,,,,,,,,,,,,,,,,,,,,
GEOG-203-199,84,,,53,,,18,,,5,,4,,,164,3.268,,,0,,,False,False,,,1,,,False,,165,,,
,0.5122,,,0.3232,,,0.1098,,,0.0305,,0.0244,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,84,,,53,,,18,,,5,,4,,,164,3.268,,,0,,,False,False,,,1,,,False,,165,,,
,0.5122,,,0.3232,,,0.1098,,,0.0305,,0.0244,,,,,,,,,,,,,,,,,,,,,,
GEOG-205-299,43,,,2,,,0,,,0,,0,,,45,3.955,,,0,,,False,False,,,2,,,False,,47,,,
,0.9556,,,0.0444,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,43,,,2,,,0,,,0,,0,,,45,3.955,,,0,,,False,False,,,2,,,False,,47,,,
,0.9556,,,0.0444,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
GEOG-213-299,13,,,16,,,11,,,4,,8,,,52,2.423,,,0,,,False,False,,,3,,,False,,55,,,
,0.25,,,0.3077,,,0.2115,,,0.0769,,0.1538,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,,16,,,11,,,4,,8,,,52,2.423,,,0,,,False,False,,,3,,,False,,55,,,
,0.25,,,0.3077,,,0.2115,,,0.0769,,0.1538,,,,,,,,,,,,,,,,,,,,,,
GEOG-390-101,4,,,9,,,2,,,1,,0,,,16,3.0,,,0,,,False,False,,,1,,,False,,17,,,
,0.25,,,0.5625,,,0.125,,,0.0625,,0.0,,,,,,,,,,,,,,,,,,,,,,
GEOG-390-102,2,,,5,,,8,,,0,,1,,,16,2.437,,,0,,,False,False,,,0,,,False,,16,,,
,0.125,,,0.3125,,,0.5,,,0.0,,0.0625,,,,,,,,,,,,,,,,,,,,,,
SMITH J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOISEL J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANSOM L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VECELLIO D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALGADO M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALGADO M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,,14,,,10,,,1,,1,,,32,2.718,,,0,,,False,False,,,1,,,False,,33,,,
,0.1875,,,0.4375,,,0.3125,,,0.0313,,0.0313,,,,,,,,,,,,,,,,,,,,,,
GEOG-450-100,9,,,6,,,2,,,0,,1,,,18,3.222,,,0,,,False,False,,,0,,,False,,18,,,
,0.5,,,0.3333,,,0.1111,,,0.0,,0.0556,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,6,,,2,,,0,,1,,,18,3.222,,,0,,,False,False,,,0,,,False,,18,,,
,0.5,,,0.3333,,,0.1111,,,0.0,,0.0556,,,,,,,,,,,,,,,,,,,,,,
GEOG-659-775,9,,,0,,,0,,,0,,1,,,10,3.6,,,0,,,False,False,,,0,,,False,,10,,,
,0.9,,,0.0,,,0.0,,,0.0,,0.1,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,0,,,0,,,0,,1,,,10,3.6,,,0,,,False,False,,,0,,,False,,10,,,
,0.9,,,0.0,,,0.0,,,0.0,,0.1,,,,,,,,,,,,,,,,,,,,,,
GEOG-660-701,6,,,0,,,0,,,0,,0,,,6,4.0,,,0,,,False,False,,,0,,,False,,6,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
GEOG-660-775,4,,,0,,,0,,,0,,1,,,5,3.2,,,0,,,False,False,,,1,,,False,,6,,,
,0.8,,,0.0,,,0.0,,,0.0,,0.2,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,,0,,,0,,,0,,1,,,11,3.636,,,0,,,False,False,,,1,,,False,,12,,,
,0.9091,,,0.0,,,0.0,,,0.0,,0.0909,,,,,,,,,,,,,,,,,,,,,,
GEOG-663-775,10,,,1,,,0,,,0,,0,,,11,3.909,,,0,,,False,False,,,0,,,False,,11,,,
,0.9091,,,0.0909,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,,1,,,0,,,0,,0,,,11,3.909,,,0,,,False,False,,,0,,,False,,11,,,
,0.9091,,,0.0909,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
GEOG-665-775,7,,,1,,,0,,,0,,0,,,8,3.875,,,0,,,False,False,,,0,,,False,,8,,,
,0.875,,,0.125,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,1,,,0,,,0,,0,,,8,3.875,,,0,,,False,False,,,0,,,False,,8,,,
,0.875,,,0.125,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
PROUT E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOU L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYLE S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYLE S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYLE S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYLE S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
