SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,ii,INSTRUCTOR,kk,ll,mm,nn,oo
ATMO-201-501,,,21,,,9,,,2,,1,,,0,,33,,,3.515,,False,,,False,,False,,0,,,False,,33,,,CONLEE D,,,,
,,,0.6364,,,0.2727,,,0.0606,,0.0303,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-502,,,140,,,62,,,0,,0,,,0,,202,,,3.693,,False,,,False,,False,,1,,,False,,203,,,LOGAN T,,,,
,,,0.6931,,,0.3069,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-503,,,33,,,29,,,9,,4,,,0,,75,,,3.213,,False,,,False,,False,,10,,,False,,85,,,CONLEE D,,,,
,,,0.44,,,0.3867,,,0.12,,0.0533,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-505,,,162,,,41,,,0,,0,,,0,,203,,,3.798,,False,,,False,,False,,0,,,False,,203,,,LOGAN T,,,,
,,,0.798,,,0.202,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-599,,,132,,,50,,,12,,8,,,0,,202,,,3.514,,False,,,False,,False,,9,,,False,,211,,,ETTEN-BOHM M,,,,
,,,0.6535,,,0.2475,,,0.0594,,0.0396,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,488,,,191,,,23,,13,,,0,,715,,,3.613,,False,,,False,,False,,20,,,False,,735,,,,,,,
,,,0.6825,,,0.2671,,,0.0322,,0.0182,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-501,,,16,,,6,,,0,,0,,,0,,22,,,3.727,,False,,,False,,False,,0,,,False,,22,,,CONLEE D,,,,
,,,0.7273,,,0.2727,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-502,,,20,,,5,,,0,,0,,,0,,25,,,3.8,,False,,,False,,False,,0,,,False,,25,,,CONLEE D,,,,
,,,0.8,,,0.2,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-504,,,16,,,4,,,3,,1,,,0,,24,,,3.458,,False,,,False,,False,,0,,,False,,24,,,CONLEE D,,,,
,,,0.6667,,,0.1667,,,0.125,,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-506,,,15,,,6,,,1,,0,,,0,,22,,,3.636,,True,,,False,,False,,0,,,False,,23,,,CONLEE D,,,,
,,,0.6818,,,0.2727,,,0.0455,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-507,,,20,,,4,,,0,,0,,,0,,24,,,3.833,,False,,,False,,False,,0,,,False,,24,,,CONLEE D,,,,
,,,0.8333,,,0.1667,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,87,,,25,,,4,,1,,,0,,117,,,3.692,,True,,,False,,False,,0,,,False,,118,,,,,,,
,,,0.7436,,,0.2137,,,0.0342,,0.0085,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-203-501,,,10,,,3,,,1,,0,,,0,,14,,,3.642,,False,,,False,,False,,0,,,False,,14,,,NIELSEN E,,,,
,,,0.7143,,,0.2143,,,0.0714,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NIELSEN E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-203-502,,10,,,5,,,2,,0,,,,0,,17,,3.47,,,False,,,False,,False,,0,,,False,,,17,,,,,,
,,0.5882,,,0.2941,,,0.1176,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-203-503,,6,,,4,,,0,,0,,,,0,,10,,3.6,,,False,,,False,,False,,0,,,False,,,10,,,,,,
,,0.6,,,0.4,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,,12,,,3,,0,,,,0,,41,,3.56,,,False,,,False,,False,,0,,,False,,,41,,,,,,
,,0.6341,,,0.2927,,,0.0732,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-251-501,,7,,,8,,,6,,4,,,,0,,25,,2.72,,,False,,,False,,False,,0,,,False,,,25,,,,,,
,,0.28,,,0.32,,,0.24,,0.16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-251-502,,5,,,11,,,5,,4,,,,0,,25,,2.68,,,False,,,False,,False,,1,,,False,,,26,,,,,,
,,0.2,,,0.44,,,0.2,,0.16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,,19,,,11,,8,,,,0,,50,,2.7,,,False,,,False,,False,,1,,,False,,,51,,,,,,
,,0.24,,,0.38,,,0.22,,0.16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-321-500,,13,,,8,,,0,,0,,,,1,,22,,3.454,,,False,,,False,,False,,1,,,False,,,23,,,,,,
,,0.5909,,,0.3636,,,0.0,,0.0,,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,,8,,,0,,0,,,,1,,22,,3.454,,,False,,,False,,False,,1,,,False,,,23,,,,,,
,,0.5909,,,0.3636,,,0.0,,0.0,,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-335-501,,24,,,4,,,1,,0,,,,0,,29,,3.793,,,False,,,False,,False,,0,,,False,,,29,,,,,,
,,0.8276,,,0.1379,,,0.0345,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,,4,,,1,,0,,,,0,,29,,3.793,,,False,,,False,,False,,0,,,False,,,29,,,,,,
,,0.8276,,,0.1379,,,0.0345,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-336-501,,4,,,7,,,4,,0,,,,0,,15,,3.0,,,False,,,False,,False,,0,,,False,,,15,,,,,,
,,0.2667,,,0.4667,,,0.2667,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-336-502,,6,,,5,,,3,,0,,,,0,,14,,3.214,,,False,,,False,,False,,0,,,False,,,14,,,,,,
,,0.4286,,,0.3571,,,0.2143,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NIELSEN E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIELSEN E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIELSEN E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XU Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKS S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIFANIO C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIFANIO C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,,12,,,7,,0,,,,0,,29,,3.103,,,False,,,False,,False,,0,,,False,,,29,,,,,,
,,0.3448,,,0.4138,,,0.2414,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-363-500,,11,,,20,,,17,,5,,,,0,,53,,2.698,,,False,,,False,,False,,2,,,False,,,55,,SCHADE G,,,,
,,0.2075,,,0.3774,,,0.3208,,0.0943,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,,20,,,17,,5,,,,0,,53,,2.698,,,False,,,False,,False,,2,,,False,,,55,,,,,,
,,0.2075,,,0.3774,,,0.3208,,0.0943,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-443-500,,10,,,7,,,5,,1,,,,0,,23,,3.13,,,False,,,False,,False,,1,,,False,,,24,,NOWOTARSKI,C,,,
,,0.4348,,,0.3043,,,0.2174,,0.0435,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,,7,,,5,,1,,,,0,,23,,3.13,,,False,,,False,,False,,1,,,False,,,24,,,,,,
,,0.4348,,,0.3043,,,0.2174,,0.0435,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-446-500,,8,,,8,,,10,,4,,,,0,,30,,2.666,,,False,,,False,,False,,0,,,False,,,30,,RAPP A,,,,
,,0.2667,,,0.2667,,,0.3333,,0.1333,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,,8,,,10,,4,,,,0,,30,,2.666,,,False,,,False,,False,,0,,,False,,,30,,,,,,
,,0.2667,,,0.2667,,,0.3333,,0.1333,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-459-900,,11,,,10,,,4,,0,,,,0,,25,,3.28,,,False,,,False,,False,,0,,,False,,,25,,SCHUMACHER,C,,,
,,0.44,,,0.4,,,0.16,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,,10,,,4,,0,,,,0,,25,,3.28,,,False,,,False,,False,,0,,,False,,,25,,,,,,
,,0.44,,,0.4,,,0.16,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-485-501,,5,,,0,,,0,,0,,,,0,,5,,4.0,,,False,,,False,,False,,0,,,False,,,5,,CONLEE D,,,,
