SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg
ATMO-201-501,,43,,18,,10,,5,,,0,,76,,3.302,,0,,,False,,False,,4,,,False,,80,,SCHUMACHER C,
,,0.5658,,0.2368,,0.1316,,0.0658,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-201-502,,40,,41,,24,,5,,,0,,110,,3.054,,0,,,False,,False,,25,,,False,,135,,CONLEE D,
,,0.3636,,0.3727,,0.2182,,0.0455,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-201-503,,28,,17,,8,,4,,,2,,59,,3.101,,0,,,False,,False,,6,,,False,,65,,NIELSEN E,
,,0.4746,,0.2881,,0.1356,,0.0678,,,0.0339,,,,,,,,,,,,,,,,,,,,,
ATMO-201-599,,119,,129,,79,,4,,,0,,331,,3.096,,2,,,False,,False,,8,,,False,,341,,EPIFANIO C,
,,0.3595,,0.3897,,0.2387,,0.0121,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,230,,205,,121,,18,,,2,,576,,3.116,,2,,,False,,False,,43,,,False,,621,,,
,,0.3993,,0.3559,,0.2101,,0.0313,,,0.0035,,,,,,,,,,,,,,,,,,,,,
ATMO-202-501,,14,,7,,2,,0,,,1,,24,,3.375,,0,,,False,,False,,1,,,False,,25,,CONLEE D,
,,0.5833,,0.2917,,0.0833,,0.0,,,0.0417,,,,,,,,,,,,,,,,,,,,,
ATMO-202-502,,19,,4,,2,,0,,,0,,25,,3.68,,0,,,False,,False,,0,,,False,,25,,CONLEE D,
,,0.76,,0.16,,0.08,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-202-504,,15,,6,,0,,0,,,1,,22,,3.545,,0,,,False,,False,,2,,,False,,24,,CONLEE D,
,,0.6818,,0.2727,,0.0,,0.0,,,0.0455,,,,,,,,,,,,,,,,,,,,,
ATMO-202-505,,20,,2,,0,,0,,,0,,22,,3.909,,0,,,False,,False,,2,,,False,,24,,CONLEE D,
,,0.9091,,0.0909,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-202-508,,16,,5,,2,,0,,,1,,24,,3.458,,0,,,False,,False,,1,,,False,,25,,CONLEE D,
,,0.6667,,0.2083,,0.0833,,0.0,,,0.0417,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,84,,24,,6,,0,,,3,,117,,3.589,,0,,,False,,False,,6,,,False,,123,,,
,,0.7179,,0.2051,,0.0513,,0.0,,,0.0256,,,,,,,,,,,,,,,,,,,,,
ATMO-321-500,,8,,10,,5,,0,,,0,,23,,3.13,,1,,,False,,False,,1,,,False,,25,,SZUNYOGH I,
,,0.3478,,0.4348,,0.2174,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,10,,5,,0,,,0,,23,,3.13,,1,,,False,,False,,1,,,False,,25,,,
,,0.3478,,0.4348,,0.2174,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,GPA     I,,,,S     U     Q,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
ATMO-324-501,,16,,2,,1,,0,,,0,,19,,3.789,,0,,,False,,False,,0,,,False,,19,,NIELSEN-GAMMON J,
,,0.8421,,0.1053,,0.0526,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-324-502,,10,,2,,1,,0,,,0,,13,,3.692,,0,,,False,,False,,1,,,False,,14,,NIELSEN-GAMMON J,
,,0.7692,,0.1538,,0.0769,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,4,,2,,0,,,0,,32,,3.75,,0,,,False,,False,,1,,,False,,33,,,
,,0.8125,,0.125,,0.0625,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-352-501,,12,,5,,2,,1,,,1,,21,,3.238,,0,,,False,,False,,0,,,False,,21,,NIELSEN E,
,,0.5714,,0.2381,,0.0952,,0.0476,,,0.0476,,,,,,,,,,,,,,,,,,,,,
ATMO-352-502,,8,,3,,5,,2,,,0,,18,,2.944,,0,,,False,,False,,1,,,False,,19,,NIELSEN E,
,,0.4444,,0.1667,,0.2778,,0.1111,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,20,,8,,7,,3,,,1,,39,,3.102,,0,,,False,,False,,1,,,False,,40,,,
,,0.5128,,0.2051,,0.1795,,0.0769,,,0.0256,,,,,,,,,,,,,,,,,,,,,
ATMO-435-501,,10,,8,,12,,0,,,0,,30,,2.933,,0,,,False,,False,,0,,,False,,30,,KORTY R,
,,0.3333,,0.2667,,0.4,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,8,,12,,0,,,0,,30,,2.933,,0,,,False,,False,,0,,,False,,30,,,
,,0.3333,,0.2667,,0.4,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-441-501,,5,,6,,10,,0,,,0,,21,,2.761,,0,,,False,,False,,0,,,False,,21,,RAPP A,
,,0.2381,,0.2857,,0.4762,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,6,,10,,0,,,0,,21,,2.761,,0,,,False,,False,,0,,,False,,21,,,
,,0.2381,,0.2857,,0.4762,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-455-500,,4,,2,,1,,0,,,0,,7,,3.428,,0,,,False,,False,,2,,,False,,9,,SZUNYOGH I,
,,0.5714,,0.2857,,0.1429,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,2,,1,,0,,,0,,7,,3.428,,0,,,False,,False,,2,,,False,,9,,,
,,0.5714,,0.2857,,0.1429,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,GPA     I,,,,S     U     Q,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
ATMO-456-900,,17,,15,,0,,0,,,0,,32,,3.531,,0,,,False,,False,,0,,,False,,32,,CONLEE D,
,,0.5313,,0.4688,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,15,,0,,0,,,0,,32,,3.531,,0,,,False,,False,,0,,,False,,32,,,
,,0.5313,,0.4688,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-461-501,,10,,1,,0,,0,,,0,,11,,3.909,,0,,,False,,False,,0,,,False,,11,,WINKLEY S,
,,0.9091,,0.0909,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,1,,0,,0,,,0,,11,,3.909,,0,,,False,,False,,0,,,False,,11,,,
,,0.9091,,0.0909,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-463-500,,4,,3,,0,,0,,,0,,7,,3.571,,0,,,False,,False,,0,,,False,,7,,BROOKS S,
,,0.5714,,0.4286,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-463-900,,11,,2,,0,,0,,,0,,13,,3.846,,0,,,False,,False,,0,,,False,,13,,BROOKS S,
,,0.8462,,0.1538,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,5,,0,,0,,,0,,20,,3.75,,0,,,False,,False,,0,,,False,,20,,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-485-501,,7,,0,,0,,0,,,0,,7,,4.0,,0,,,False,,False,,0,,,False,,7,,CONLEE D,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,0,,0,,0,,,0,,7,,4.0,,0,,,False,,False,,0,,,False,,7,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-611-600,,9,,1,,0,,0,,,0,,10,,3.9,,0,,,False,,False,,0,,,False,,10,,EPIFANIO C,
,,0.9,,0.1,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,1,,0,,0,,,0,,10,,3.9,,0,,,False,,False,,0,,,False,,10,,,
,,0.9,,0.1,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-612-600,,4,,3,,0,,0,,,0,,7,,3.571,,0,,,False,,False,,0,,,False,,7,,LIU X,
,,0.5714,,0.4286,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
