SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL   INSTRUCTOR,gg,hh,ii,jj
ATMO-201-299,,20,,,27,,,19,,3,,2,,,71,,2.845,,False,,,False,,False,,,True,,False,,72 LI Y,,,,
,,0.2817,,,0.3803,,,0.2676,,0.0423,,0.0282,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,20,,,27,,,19,,3,,2,,,71,,2.845,,False,,,False,,False,,,True,,False,,72,,,,
,,0.2817,,,0.3803,,,0.2676,,0.0423,,0.0282,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,20,,,27,,,19,,3,,2,,,71,,2.845,,False,,,False,,False,,,True,,False,,72,,,,
,,0.2817,,,0.3803,,,0.2676,,0.0423,,0.0282,,,,,,,,,,,,,,,,,,,,,,,
GEOG-201-199,37,,,19,,,1,,1,,,0,,,58,3.586,,,True,,,False,False,,,2,,,False,,61,THOMPSON,,C,
,0.6379,,,0.3276,,,0.0172,,0.0172,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,37,,,19,,,1,,1,,,0,,,58,3.586,,,True,,,False,False,,,2,,,False,,61,,,,
,0.6379,,,0.3276,,,0.0172,,0.0172,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
GEOG-202-100,132,,,2,,,2,,1,,,0,,,137,3.934,,,False,,,False,False,,,1,,,False,,138,BRYSCH C,,,
,0.9635,,,0.0146,,,0.0146,,0.0073,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
GEOG-202-G00,34,,,24,,,6,,0,,,0,,,64,3.437,,,False,,,False,False,,,0,,,False,,64,SMITH J,,,
,0.5313,,,0.375,,,0.0938,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,166,,,26,,,8,,1,,,0,,,201,3.776,,,False,,,False,False,,,1,,,False,,202,,,,
,0.8259,,,0.1294,,,0.0398,,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
GEOG-203-199,108,,,36,,,4,,3,,,2,,,153,3.601,,,False,,,False,False,,,3,,,False,,156,LOISEL J,,,
,0.7059,,,0.2353,,,0.0261,,0.0196,,,0.0131,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,108,,,36,,,4,,3,,,2,,,153,3.601,,,False,,,False,False,,,3,,,False,,156,,,,
,0.7059,,,0.2353,,,0.0261,,0.0196,,,0.0131,,,,,,,,,,,,,,,,,,,,,,,
GEOG-205-299,25,,,8,,,2,,0,,,1,,,36,3.555,,,False,,,False,False,,,1,,,False,,37,PROUT E,,,
,0.6944,,,0.2222,,,0.0556,,0.0,,,0.0278,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,25,,,8,,,2,,0,,,1,,,36,3.555,,,False,,,False,False,,,1,,,False,,37,,,,
,0.6944,,,0.2222,,,0.0556,,0.0,,,0.0278,,,,,,,,,,,,,,,,,,,,,,,
GEOG-213-299,20,,,10,,,4,,4,,,7,,,45,2.711,,,False,,,False,False,,,2,,,False,,47,FORD V,,,
,0.4444,,,0.2222,,,0.0889,,0.0889,,,0.1556,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,20,,,10,,,4,,4,,,7,,,45,2.711,,,False,,,False,False,,,2,,,False,,47,,,,
,0.4444,,,0.2222,,,0.0889,,0.0889,,,0.1556,,,,,,,,,,,,,,,,,,,,,,,
GEOG-304-100,24,,,7,,,4,,1,,,0,,,36,3.5,,,False,,,False,False,,,0,,,False,,36,BOUNDS B,,,
,0.6667,,,0.1944,,,0.1111,,0.0278,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,24,,,7,,,4,,1,,,0,,,36,3.5,,,False,,,False,False,,,0,,,False,,36,,,,
,0.6667,,,0.1944,,,0.1111,,0.0278,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
GEOG-380-199,9,,,1,,,1,,0,,,1,,,12,3.416,,,False,,,False,False,,,0,,,False,,12,GHATAK,D,,
,0.75,,,0.0833,,,0.0833,,0.0,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,1,,,1,,0,,,1,,,12,3.416,,,False,,,False,False,,,0,,,False,,12,,,,
,0.75,,,0.0833,,,0.0833,,0.0,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,
GEOG-390-300,1,,,6,,,6,,1,,,2,,,16,2.187,,,False,,,False,False,,,2,,,False,,18,CHI Z,,,
,0.0625,,,0.375,,,0.375,,0.0625,,,0.125,,,,,,,,,,,,,,,,,,,,,,,
GEOG-390-398,3,,,1,,,4,,2,,,4,,,14,1.785,,,False,,,False,False,,,3,,,False,,17,CHI Z,,,
,0.2143,,,0.0714,,,0.2857,,0.1429,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,4,,,7,,,10,,3,,,6,,,30,2.0,,,False,,,False,False,,,5,,,False,,35,,,,
,0.1333,,,0.2333,,,0.3333,,0.1,,,0.2,,,,,,,,,,,,,,,,,,,,,,,
GEOG-430-199,5,,,1,,,1,,0,,,0,,,7,3.571,,,True,,,False,False,,,0,,,False,,8,BREYER,E,,
,0.7143,,,0.1429,,,0.1429,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,,1,,,1,,0,,,0,,,7,3.571,,,True,,,False,False,,,0,,,False,,8,,,,
,0.7143,,,0.1429,,,0.1429,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
GEOG-676-775,8,,,0,,,0,,0,,,0,,,8,4.0,,,False,,,False,False,,,0,,,False,,8,CAI H,,,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,0,,,0,,0,,,0,,,8,4.0,,,False,,,False,False,,,0,,,False,,8,,,,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
GEOG-678-775,8,,,0,,,1,,0,,,0,,,9,3.777,,,False,,,False,False,,,0,,,False,,9,CAI H,,,
,0.8889,,,0.0,,,0.1111,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,0,,,1,,0,,,0,,,9,3.777,,,False,,,False,False,,,0,,,False,,9,,,,
,0.8889,,,0.0,,,0.1111,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
