ANTH-202-401,b,8,5,6,1,0,20,3.0,0_2,0_3,0_4,2,0_5,22,PEARL,F,r,s,t
,,0.4,0.25,0.3,0.05,0.0,,,,,,,,,,,,,
COURSE TOTAL:,,8,5,6,1,0,20,3.0,False,False,False,2,False,22,,,,,
,,0.4,0.25,0.3,0.05,0.0,,,,,,,,,,,,,
ANTH-210-401,,19,12,5,0,2,38,3.21,False,False,False,2,False,40,FURTH,B,,,
,,0.5,0.3158,0.1316,0.0,0.0526,,,,,,,,,,,,,
ANTH-210-402,,16,16,4,1,1,38,3.184,False,False,False,1,False,39,FURTH,B,,,
,,0.4211,0.4211,0.1053,0.0263,0.0263,,,,,,,,,,,,,
COURSE TOTAL:      35,,,28,9,1,3,76,3.197,False,False,False,3,False,79,,,,,
0.4605,,,0.3684,0.1184,0.0132,0.0395,,,,,,,,,,,,,
ANTH-318-401            3,,,6,1,1,1,12,2.75,False,False,False,1,False,13,OERTLING,,True,,
0.25,,,0.5,0.0833,0.0833,0.0833,,,,,,,,,,,,,
COURSE TOTAL:       3,,,6,1,1,1,12,2.75,False,False,False,1,False,13,,,,,
0.25,,,0.5,0.0833,0.0833,0.0833,,,,,,,,,,,,,
ANTH-423-401           11,,,3,3,0,0,17,3.471,False,False,False,0,False,17,MARK S,,,,
0.6471,,,0.1765,0.1765,0.0,0.0,,,,,,,,,,,,,
COURSE TOTAL:      11,,,3,3,0,0,17,3.471,False,False,False,0,False,17,,,,,
0.6471,,,0.1765,0.1765,0.0,0.0,,,,,,,,,,,,,
COMM-203-401            7,,,15,1,0,0,23,3.261,False,False,False,0,False,23,VISER V,,,,
0.3043,,,0.6522,0.0435,0.0,0.0,,,,,,,,,,,,,
COMM-203-402           19,,,4,0,0,0,23,3.826,False,False,False,0,False,23,BUTLER C,,,,
0.8261,,,0.1739,0.0,0.0,0.0,,,,,,,,,,,,,
COMM-203-403           10,,,11,0,0,0,21,3.476,False,False,False,1,True,23,BUTLER C,,,,
0.4762,,,0.5238,0.0,0.0,0.0,,,,,,,,,,,,,
COURSE TOTAL:,36,,30,1,0,0,67,3.522,False,False,False,1,True,69,,,,,
,0.5373,,0.4478,0.0149,0.0,0.0,,,,,,,,,,,,,
ENGL-104-401,8,,3,4,0,1,16,3.062,False,False,False,2,False,18,THEIS W,,,,
,0.5,,0.1875,0.25,0.0,0.0625,,,,,,,,,,,,,
ENGL-104-402,1,,10,3,2,3,19,2.21,False,False,False,1,False,20,THEIS W,,,,
,0.0526,,0.5263,0.1579,0.1053,0.1579,,,,,,,,,,,,,
ENGL-104-403,18,,0,2,0,0,20,3.8,False,False,False,0,False,20,PRESSWOOD,,,P,
,0.9,,0.0,0.1,0.0,0.0,,,,,,,,,,,,,
ENGL-104-499,14,,4,0,0,0,18,3.778,False,False,False,2,False,20,PRESSWOOD,,,P,
,0.7778,,0.2222,0.0,0.0,0.0,,,,,,,,,,,,,
COURSE TOTAL:      41,,,17,9,2,4,73,3.219,False,False,False,5,False,78,,,,,
0.5616,,,0.2329,0.1233,0.0274,0.0548,,,,,,,,,,,,,
ENGL-203-401            1,,,3,5,0,1,10,2.3,False,False,False,0,False,10,TRABER D,,,,
0.1,,,0.3,0.5,0.0,0.1,,,,,,,,,,,,,
ENGL-203-402            1,,,6,1,0,3,11,2.182,False,False,False,0,False,11,ECHOLS K,,,,
0.0909,,,0.5455,0.0909,0.0,0.2727,,,,,,,,,,,,,
COURSE TOTAL:       2,,,9,6,0,4,21,2.238,False,False,False,0,False,21,,,,,
0.0952,,,0.4286,0.2857,0.0,0.1905,,,,,,,,,,,,,
ENGL-204-401            8,,,0,0,0,0,8,4.0,False,False,False,0,False,8,BUNCH-DAVIS,,,,C
1.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
COURSE TOTAL:       8,,,0,0,0,0,8,4.0,False,False,False,0,False,8,,,,,
1.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ENGL-210-401           16,,,2,3,0,0,21,3.619,False,False,False,0,False,21,BROOKS S,,,,
0.7619,,,0.0952,0.1429,0.0,0.0,,,,,,,,,,,,,
ENGL-210-402,,16,3,1,1,1,22,3.454,False,False,False,0,False,22,BROOKS,S,,,
,,0.7273,0.1364,0.0455,0.0455,0.0455,,,,,,,,,,,,,
ENGL-210-403,,17,2,1,0,0,20,3.8,False,False,False,0,False,20,BROOKS,S,,,
,,0.85,0.1,0.05,0.0,0.0,,,,,,,,,,,,,
ENGL-210-404,,14,3,3,0,0,20,3.55,False,False,False,0,False,20,ECHOLS,K,,,
,,0.7,0.15,0.15,0.0,0.0,,,,,,,,,,,,,
ENGL-210-405,,14,3,0,0,0,17,3.824,False,False,False,2,False,19,ECHOLS,K,,,
,,0.8235,0.1765,0.0,0.0,0.0,,,,,,,,,,,,,
ENGL-210-406,,18,1,0,0,0,19,3.947,False,False,False,0,False,19,BROOKS,S,,,
,,0.9474,0.0526,0.0,0.0,0.0,,,,,,,,,,,,,
ENGL-210-407,,11,7,2,0,1,21,3.286,False,False,False,0,False,21,GARZA,J,,,
,,0.5238,0.3333,0.0952,0.0,0.0476,,,,,,,,,,,,,
ENGL-210-408,,7,6,3,0,4,20,2.6,False,False,False,0,False,20,GARZA,J,,,
,,0.35,0.3,0.15,0.0,0.2,,,,,,,,,,,,,
ENGL-210-497,,6,9,4,2,0,21,2.905,False,False,False,0,False,21,GARZA,J,,,
,,0.2857,0.4286,0.1905,0.0952,0.0,,,,,,,,,,,,,
ENGL-210-498,,3,8,4,2,0,17,2.706,False,False,False,3,False,20,GARZA,J,,,
,,0.1765,0.4706,0.2353,0.1176,0.0,,,,,,,,,,,,,
ENGL-210-499,,2,10,4,1,2,19,2.474,False,False,False,1,False,20,GARZA,J,,,
,,0.1053,0.5263,0.2105,0.0526,0.1053,,,,,,,,,,,,,
COURSE TOTAL:     124,,,54,25,6,8,217,3.29,False,False,False,6,False,223,,,,,
0.5714,,,0.2488,0.1152,0.0276,0.0369,,,,,,,,,,,,,
ENGL-253-401            1,,,7,3,0,0,11,2.818,False,False,False,2,False,13,TRABER D,,,,
0.0909,,,0.6364,0.2727,0.0,0.0,,,,,,,,,,,,,
COURSE TOTAL:       1,,,7,3,0,0,11,2.818,False,False,False,2,False,13,,,,,
0.0909,,,0.6364,0.2727,0.0,0.0,,,,,,,,,,,,,
