SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
ENGL-104-401,,,2,,,11,,,5,,3,,,0,,21,,,2.571,,0,,,False,,False,,False,,,False,,21,,BUNCH-DAVIS C,,,
,,,0.0952,,,0.5238,,,0.2381,,0.1429,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,2,,,11,,,5,,3,,,0,,21,,,2.571,,0,,,False,,False,,False,,,False,,21,,,,,
,,,0.0952,,,0.5238,,,0.2381,,0.1429,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-210-401,,,16,,,4,,,2,,0,,,1,,23,,,3.478,,0,,,False,,False,,False,,,False,,23,,ECHOLS K,,,
,,,0.6957,,,0.1739,,,0.087,,0.0,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,16,,,4,,,2,,0,,,1,,23,,,3.478,,0,,,False,,False,,False,,,False,,23,,,,,
,,,0.6957,,,0.1739,,,0.087,,0.0,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,
KINE-223-301,,,8,,,3,,,4,,0,,,0,,15,,,3.266,,1,,,False,,False,,False,,,False,,16,,HUFTON A,,,
,,,0.5333,,,0.2,,,0.2667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,8,,,3,,,4,,0,,,0,,15,,,3.266,,1,,,False,,False,,False,,,False,,16,,,,,
,,,0.5333,,,0.2,,,0.2667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MAST-491-250,,,9,,,0,,,0,,0,,,0,,9,,,0.0,,0,,,False,,False,,False,,,False,,9,,HUFTON A,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,9,,,0,,,0,,0,,,0,,9,,,Error,,0,,,False,,False,,False,,,False,,9,,,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
