SECTION,A,c,B,e,C,g,D,i,F,k,A_2,- F,n,GPA,p,I,r,S,t,U,v,Q,x,y,X,aa,bb,TOTAL,dd,INSTRUCTOR
CHEM-101-401,5,,10,,15,,9,,2,,,41,,2.17,,0,,,False,,False,3,,,,False,,44,,ULLOA O
,0.122,,0.2439,,0.3659,,0.2195,,0.0488,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,10,,15,,9,,2,,,41,,2.17,,0,,,False,,False,3,,,,False,,44,,
,0.122,,0.2439,,0.3659,,0.2195,,0.0488,,,,,,,,,,,,,,,,,,,,,
CHEM-102-200,4,,4,,5,,0,,0,,,13,,2.923,,0,,,False,,False,0,,,,False,,13,,GALAN J
,0.3077,,0.3077,,0.3846,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
CHEM-102-401,7,,16,,33,,23,,2,,,81,,2.037,,0,,,False,,False,2,,,,False,,83,,TOWNSEND G
,0.0864,,0.1975,,0.4074,,0.284,,0.0247,,,,,,,,,,,,,,,,,,,,,
CHEM-102-402,1,,7,,13,,22,,7,,,50,,1.46,,0,,,False,,False,7,,,,False,,57,,NAIR R
,0.02,,0.14,,0.26,,0.44,,0.14,,,,,,,,,,,,,,,,,,,,,
CHEM-102-403,4,,11,,15,,13,,3,,,46,,2.0,,0,,,False,,False,5,,,,False,,51,,NAIR R
,0.087,,0.2391,,0.3261,,0.2826,,0.0652,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,16,,38,,66,,58,,12,,,190,,1.936,,0,,,False,,False,14,,,,False,,204,,
,0.0842,,0.2,,0.3474,,0.3053,,0.0632,,,,,,,,,,,,,,,,,,,,,
CHEM-106-401,7,,5,,2,,2,,0,,,16,,3.062,,0,,,False,,False,0,,,,False,,16,,TOWNSEND G
,0.4375,,0.3125,,0.125,,0.125,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,5,,2,,2,,0,,,16,,3.062,,0,,,False,,False,0,,,,False,,16,,
,0.4375,,0.3125,,0.125,,0.125,,0.0,,,,,,,,,,,,,,,,,,,,,
CHEM-107-401,5,,12,,19,,15,,13,,,64,,1.703,,0,,,False,,False,9,,,,False,,73,,NAIR R
,0.0781,,0.1875,,0.2969,,0.2344,,0.2031,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,12,,19,,15,,13,,,64,,1.703,,0,,,False,,False,9,,,,False,,73,,
,0.0781,,0.1875,,0.2969,,0.2344,,0.2031,,,,,,,,,,,,,,,,,,,,,
CHEM-111-401,4,,7,,2,,1,,0,,,14,,3.0,,0,,,False,,False,0,,,,False,,14,,TOWNSEND G
,0.2857,,0.5,,0.1429,,0.0714,,0.0,,,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,,TOTAL,INSTRUCTOR,
CHEM-111-402,4,,4,,1,,0,,1,,,10,,3.0,,0,,,False,,False,,1,,0,,,11,TOWNSEND G,
,0.4,,0.4,,0.1,,0.0,,0.1,,,,,,,,,,,,,,,,,,,,,
CHEM-111-403,4,,2,,6,,0,,0,,,12,,2.833,,0,,,False,,False,,0,,0,,,12,TOWNSEND G,
,0.3333,,0.1667,,0.5,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,13,,9,,1,,1,,,36,,2.944,,0,,,False,,False,,1,,0,,,37,,
,0.3333,,0.3611,,0.25,,0.0278,,0.0278,,,,,,,,,,,,,,,,,,,,,
CHEM-112-401,7,,6,,2,,2,,0,,,17,,3.058,,0,,,False,,False,,0,,0,,,17,TOWNSEND G,
,0.4118,,0.3529,,0.1176,,0.1176,,0.0,,,,,,,,,,,,,,,,,,,,,
CHEM-112-402,13,,3,,0,,0,,0,,,16,,3.812,,0,,,False,,False,,0,,0,,,16,TOWNSEND G,
,0.8125,,0.1875,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
CHEM-112-403,6,,7,,1,,2,,0,,,16,,3.062,,0,,,False,,False,,0,,0,,,16,TOWNSEND G,
,0.375,,0.4375,,0.0625,,0.125,,0.0,,,,,,,,,,,,,,,,,,,,,
CHEM-112-404,5,,7,,2,,0,,0,,,14,,3.214,,0,,,False,,False,,0,,0,,,14,TOWNSEND G,
,0.3571,,0.5,,0.1429,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
CHEM-112-405,4,,10,,1,,0,,0,,,15,,3.2,,0,,,False,,False,,0,,0,,,15,TOWNSEND G,
,0.2667,,0.6667,,0.0667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
CHEM-112-406,2,,9,,2,,2,,1,,,16,,2.562,,0,,,False,,False,,0,,0,,,16,TOWNSEND G,
,0.125,,0.5625,,0.125,,0.125,,0.0625,,,,,,,,,,,,,,,,,,,,,
CHEM-112-407,8,,7,,0,,0,,0,,,15,,3.533,,0,,,False,,False,,0,,0,,,15,TOWNSEND G,
,0.5333,,0.4667,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
CHEM-112-408,9,,6,,2,,0,,0,,,17,,3.411,,0,,,False,,False,,0,,0,,,17,TOWNSEND G,
,0.5294,,0.3529,,0.1176,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
CHEM-112-409,5,,5,,2,,0,,0,,,12,,3.25,,0,,,False,,False,,1,,0,,,13,TOWNSEND G,
,0.4167,,0.4167,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
CHEM-112-410,4,,8,,2,,1,,0,,,15,,3.0,,0,,,False,,False,,0,,0,,,15,TOWNSEND G,
,0.2667,,0.5333,,0.1333,,0.0667,,0.0,,,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,,TOTAL,INSTRUCTOR,
CHEM-112-411,2,,9,,5,,0,,0,,,16,,2.812,,0,,,False,,False,,0,,0,,,16,TOWNSEND G,
,0.125,,0.5625,,0.3125,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
CHEM-112-412,6,,9,,1,,0,,1,,,17,,3.117,,0,,,False,,False,,0,,0,,,17,TOWNSEND G,
,0.3529,,0.5294,,0.0588,,0.0,,0.0588,,,,,,,,,,,,,,,,,,,,,
CHEM-112-413,0,,5,,4,,1,,0,,,10,,2.4,,0,,,False,,False,,0,,0,,,10,TOWNSEND G,
,0.0,,0.5,,0.4,,0.1,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,71,,91,,24,,8,,2,,,196,,3.127,,0,,,False,,False,,1,,0,,,197,,
,0.3622,,0.4643,,0.1224,,0.0408,,0.0102,,,,,,,,,,,,,,,,,,,,,
CHEM-116-401,8,,2,,0,,1,,0,,,11,,3.545,,0,,,False,,False,,0,,0,,,11,TOWNSEND G,
,0.7273,,0.1818,,0.0,,0.0909,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,2,,0,,1,,0,,,11,,3.545,,0,,,False,,False,,0,,0,,,11,,
,0.7273,,0.1818,,0.0,,0.0909,,0.0,,,,,,,,,,,,,,,,,,,,,
CHEM-117-401,7,,1,,3,,3,,2,,,16,,2.5,,0,,,False,,False,,0,,0,,,16,TOWNSEND G,
,0.4375,,0.0625,,0.1875,,0.1875,,0.125,,,,,,,,,,,,,,,,,,,,,
CHEM-117-402,5,,7,,2,,1,,1,,,16,,2.875,,0,,,False,,False,,0,,0,,,16,TOWNSEND G,
,0.3125,,0.4375,,0.125,,0.0625,,0.0625,,,,,,,,,,,,,,,,,,,,,
CHEM-117-403,4,,6,,4,,1,,2,,,17,,2.529,,0,,,False,,False,,0,,0,,,17,TOWNSEND G,
,0.2353,,0.3529,,0.2353,,0.0588,,0.1176,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,16,,14,,9,,5,,5,,,49,,2.632,,0,,,False,,False,,0,,0,,,49,,
,0.3265,,0.2857,,0.1837,,0.102,,0.102,,,,,,,,,,,,,,,,,,,,,
