CHEM-107-401,5,c,d,20,f,8,h,4,j,3,l,m,40,o,2.5,q,r,0,t,u,0_2,w,0_3,y,z,2,bb,cc,dd,0_4,ff,gg,42,NAIR R,jj,kk
,0.125,,,0.5,,0.2,,0.1,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-107-402,15,,,26,,14,,3,,5,,,63,,2.682,,,False,,,False,,False,,,0,,,,False,,,63,NAIR R,,
,0.2381,,,0.4127,,0.2222,,0.0476,,0.0794,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,20,,,46,,22,,7,,8,,,103,,2.611,,,False,,,False,,False,,,2,,,,False,,,105,,,
,0.1942,,,0.4466,,0.2136,,0.068,,0.0777,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-401,10,,,7,,2,,0,,0,,,19,,3.421,,,False,,,False,,False,,,0,,,,False,,,19,TOWNSEND,G,
,0.5263,,,0.3684,,0.1053,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-402,4,,,4,,3,,1,,1,,,13,,2.692,,,False,,,False,,False,,,0,,,,False,,,13,TOWNSEND,G,
,0.3077,,,0.3077,,0.2308,,0.0769,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-403,12,,,1,,1,,3,,2,,,19,,2.947,,,False,,,False,,False,,,0,,,,False,,,19,TOWNSEND,G,
,0.6316,,,0.0526,,0.0526,,0.1579,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-404,1,,,6,,0,,0,,3,,,10,,2.2,,,False,,,False,,False,,,0,,,,False,,,10,TOWNSEND,G,
,0.1,,,0.6,,0.0,,0.0,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-405,3,,,5,,2,,1,,5,,,16,,2.0,,,False,,,False,,False,,,1,,,,False,,,17,TOWNSEND,G,
,0.1875,,,0.3125,,0.125,,0.0625,,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-406,8,,,6,,0,,2,,1,,,17,,3.058,,,False,,,False,,False,,,0,,,,False,,,17,TOWNSEND,G,
,0.4706,,,0.3529,,0.0,,0.1176,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,38,,,29,,8,,7,,12,,,94,,2.787,,,False,,,False,,False,,,1,,,,False,,,95,,,
,0.4043,,,0.3085,,0.0851,,0.0745,,0.1277,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-400,2,,,4,,9,,1,,1,,,17,,2.294,,,False,,,False,,False,,,0,,,,False,,,17,TOWNSEND,G,
,0.1176,,,0.2353,,0.5294,,0.0588,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-401,2,,,4,,4,,1,,3,,,14,,2.071,,,False,,,False,,False,,,0,,,,False,,,14,TOWNSEND,G,
,0.1429,,,0.2857,,0.2857,,0.0714,,0.2143,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-402,1,,,2,,3,,1,,3,,,10,,1.7,,,False,,,False,,False,,,0,,,,False,,,10,TOWNSEND,G,
,0.1,,,0.2,,0.3,,0.1,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,,10,,16,,3,,7,,,41,,2.073,,,False,,,False,,False,,,0,,,,False,,,41,,,
,0.122,,,0.2439,,0.3902,,0.0732,,0.1707,,,,,,,,,,,,,,,,,,,,,,,,,,
