SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm,nn
MATH-140-200,,8,,5,,2,,1,,,0,,16,,,,3.25,,0,,,0,,,0,,,False,,,0,,16,,,ACERO-SCHERTZER C,,,
,,0.5,,0.3125,,0.125,,0.0625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,5,,2,,1,,,0,,16,,,,3.25,,0,,,0,,,0,,,False,,,0,,16,,,,,,
,,0.5,,0.3125,,0.125,,0.0625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH-142-100,,4,,5,,11,,8,,,6,,34,,,,1.794,,0,,,0,,,0,,,True,,,0,,35,,,ARISTIDOU M,,,
,,0.1176,,0.1471,,0.3235,,0.2353,,,0.1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,5,,11,,8,,,6,,34,,,,1.794,,0,,,0,,,0,,,True,,,0,,35,,,,,,
,,0.1176,,0.1471,,0.3235,,0.2353,,,0.1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH-147-100,,3,,1,,0,,2,,,0,,6,,,,2.833,,0,,,0,,,0,,,False,,,0,,6,,,QIU L,,,
,,0.5,,0.1667,,0.0,,0.3333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,1,,0,,2,,,0,,6,,,,2.833,,0,,,0,,,0,,,False,,,0,,6,,,,,,
,,0.5,,0.1667,,0.0,,0.3333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH-150-401,,0,,3,,0,,2,,,2,,7,,,,1.571,,0,,,0,,,0,,,False,,,0,,7,,,PANGEMANAN A,,,
,,0.0,,0.4286,,0.0,,0.2857,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,0,,3,,0,,2,,,2,,7,,,,1.571,,0,,,0,,,0,,,False,,,0,,7,,,,,,
,,0.0,,0.4286,,0.0,,0.2857,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH-151-301,,1,,6,,10,,4,,,1,,22,,,,2.09,,0,,,0,,,0,,,True,,,0,,23,,,BROWN P,,,
,,0.0455,,0.2727,,0.4545,,0.1818,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,1,,6,,10,,4,,,1,,22,,,,2.09,,0,,,0,,,0,,,True,,,0,,23,,,,,,
,,0.0455,,0.2727,,0.4545,,0.1818,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH-152-401,,2,,3,,7,,3,,,0,,15,,,,2.266,,0,,,0,,,0,,,False,,,0,,15,,,BROWN P,,,
,,0.1333,,0.2,,0.4667,,0.2,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,2,,3,,7,,3,,,0,,15,,,,2.266,,0,,,0,,,0,,,False,,,0,,15,,,,,,
,,0.1333,,0.2,,0.4667,,0.2,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,,
PHYS-201-101,,8,,5,,9,,6,,,0,,,28,,,2.535,,0,,,,False,,,False,,,4,,0,,32,,BOULAHOUACHE,,,C,
