SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
CHEM-107-401,,8,,24,,23,,2,,,1,,58,,,,2.62,,0,,,0,,,0,,,2,,,0,,60,,,NAIR R,
,,0.1379,,0.4138,,0.3966,,0.0345,,,0.0172,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-107-402,,6,,14,,11,,8,,,7,,46,,,,2.086,,0,,,0,,,0,,,3,,,0,,49,,,ARONSON C,
,,0.1304,,0.3043,,0.2391,,0.1739,,,0.1522,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-107-404,,4,,9,,8,,2,,,2,,25,,,,2.44,,0,,,0,,,0,,,3,,,0,,28,,,ARONSON C,
,,0.16,,0.36,,0.32,,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-107-405,,4,,21,,18,,9,,,5,,57,,,,2.175,,0,,,0,,,0,,,2,,,0,,59,,,NAIR R,
,,0.0702,,0.3684,,0.3158,,0.1579,,,0.0877,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,22,,68,,60,,21,,,15,,186,,,,2.327,,0,,,0,,,0,,,10,,,0,,196,,,,
,,0.1183,,0.3656,,0.3226,,0.1129,,,0.0806,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-401,,7,,8,,1,,1,,,0,,17,,,,3.235,,0,,,0,,,0,,,0,,,0,,17,,,TOWNSEND G,
,,0.4118,,0.4706,,0.0588,,0.0588,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-402,,10,,7,,3,,0,,,1,,21,,,,3.19,,0,,,0,,,0,,,0,,,0,,21,,,TOWNSEND G,
,,0.4762,,0.3333,,0.1429,,0.0,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-403,,7,,8,,2,,0,,,2,,19,,,,2.947,,0,,,0,,,0,,,0,,,0,,19,,,TOWNSEND G,
,,0.3684,,0.4211,,0.1053,,0.0,,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-404,,4,,10,,2,,1,,,1,,18,,,,2.833,,0,,,0,,,0,,,0,,,0,,18,,,TOWNSEND G,
,,0.2222,,0.5556,,0.1111,,0.0556,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-405,,7,,8,,1,,1,,,1,,18,,,,3.055,,0,,,0,,,0,,,0,,,0,,18,,,TOWNSEND G,
,,0.3889,,0.4444,,0.0556,,0.0556,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-406,,13,,1,,2,,0,,,1,,17,,,,3.47,,0,,,0,,,0,,,0,,,0,,17,,,TOWNSEND G,
,,0.7647,,0.0588,,0.1176,,0.0,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-407,,1,,6,,2,,4,,,4,,17,,,,1.764,,0,,,0,,,0,,,0,,,0,,17,,,TOWNSEND G,
,,0.0588,,0.3529,,0.1176,,0.2353,,,0.2353,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-408,,7,,4,,2,,0,,,3,,16,,,,2.75,,0,,,0,,,0,,,0,,,0,,16,,,TOWNSEND G,
,,0.4375,,0.25,,0.125,,0.0,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
CHEM-117-409,,4,,6,,5,,0,,,4,,,19,,,2.315,,0,,,,False,,,False,,,0,,0,,19,,TOWNSEND G,,
,,0.2105,,0.3158,,0.2632,,0.0,,,0.2105,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-410,,2,,6,,3,,1,,,2,,,14,,,2.357,,0,,,,False,,,False,,,1,,0,,15,,TOWNSEND G,,
,,0.1429,,0.4286,,0.2143,,0.0714,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-117-421,,3,,4,,5,,1,,,5,,,18,,,1.944,,0,,,,False,,,False,,,0,,0,,18,,TOWNSEND G,,
,,0.1667,,0.2222,,0.2778,,0.0556,,,0.2778,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,65,,68,,28,,9,,,24,,,194,,,2.726,,0,,,,False,,,False,,,1,,0,,195,,,,
,,0.3351,,0.3505,,0.1443,,0.0464,,,0.1237,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-200,,4,,3,,2,,0,,,1,,,10,,,2.9,,0,,,,False,,,False,,,1,,0,,11,,GALAN J,,
,,0.4,,0.3,,0.2,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-400,,2,,10,,1,,2,,,1,,,16,,,2.625,,0,,,,False,,,False,,,0,,0,,16,,GALAN J,,
,,0.125,,0.625,,0.0625,,0.125,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-401,,4,,6,,0,,1,,,1,,,12,,,2.916,,0,,,,False,,,False,,,1,,0,,13,,GALAN J,,
,,0.3333,,0.5,,0.0,,0.0833,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-402,,0,,5,,6,,3,,,2,,,16,,,1.875,,0,,,,False,,,False,,,0,,0,,16,,GALAN J,,
,,0.0,,0.3125,,0.375,,0.1875,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-403,,4,,7,,1,,2,,,0,,,14,,,2.928,,0,,,,False,,,False,,,1,,0,,15,,GALAN J,,
,,0.2857,,0.5,,0.0714,,0.1429,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-404,,3,,6,,3,,2,,,2,,,16,,,2.375,,1,,,,False,,,False,,,1,,0,,18,,GALAN J,,
,,0.1875,,0.375,,0.1875,,0.125,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-405,,2,,2,,8,,2,,,1,,,15,,,2.133,,0,,,,False,,,False,,,1,,0,,16,,GALAN J,,
,,0.1333,,0.1333,,0.5333,,0.1333,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-406,,3,,8,,4,,2,,,0,,,17,,,2.705,,0,,,,False,,,False,,,0,,0,,17,,TOWNSEND G,,
,,0.1765,,0.4706,,0.2353,,0.1176,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-407,,1,,8,,5,,3,,,0,,,17,,,2.411,,0,,,,False,,,False,,,0,,0,,17,,TOWNSEND G,,
,,0.0588,,0.4706,,0.2941,,0.1765,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
CHEM-119-408,,5,,5,,7,,1,,,1,,19,,,,2.631,,0,,,0,,,0,,,0,,,0,,19,,,TOWNSEND G,
,,0.2632,,0.2632,,0.3684,,0.0526,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-409,,1,,3,,6,,2,,,4,,16,,,,1.687,,0,,,0,,,0,,,1,,,0,,17,,,TOWNSEND G,
,,0.0625,,0.1875,,0.375,,0.125,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-410,,1,,4,,5,,3,,,1,,14,,,,2.071,,0,,,0,,,0,,,0,,,0,,14,,,TOWNSEND G,
,,0.0714,,0.2857,,0.3571,,0.2143,,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-119-411,,2,,2,,6,,5,,,1,,16,,,,1.937,,0,,,0,,,0,,,0,,,0,,16,,,TOWNSEND G,
,,0.125,,0.125,,0.375,,0.3125,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,32,,69,,54,,28,,,15,,198,,,,2.378,,1,,,0,,,0,,,6,,,0,,205,,,,
,,0.1616,,0.3485,,0.2727,,0.1414,,,0.0758,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-120-401,,1,,3,,6,,3,,,5,,18,,,,1.555,,0,,,0,,,0,,,0,,,0,,18,,,NAIR R,
,,0.0556,,0.1667,,0.3333,,0.1667,,,0.2778,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-120-402,,4,,1,,7,,3,,,3,,18,,,,2.0,,0,,,0,,,0,,,0,,,0,,18,,,NAIR R,
,,0.2222,,0.0556,,0.3889,,0.1667,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-120-403,,1,,5,,5,,4,,,2,,17,,,,1.941,,0,,,0,,,0,,,0,,,0,,17,,,NAIR R,
,,0.0588,,0.2941,,0.2941,,0.2353,,,0.1176,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,9,,18,,10,,,10,,53,,,,1.83,,0,,,0,,,0,,,0,,,0,,53,,,,
,,0.1132,,0.1698,,0.3396,,0.1887,,,0.1887,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-227-401,,5,,6,,11,,8,,,6,,36,,,,1.888,,0,,,0,,,0,,,4,,,0,,40,,,MOSER M,
,,0.1389,,0.1667,,0.3056,,0.2222,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM-227-402,,5,,17,,17,,6,,,1,,46,,,,2.413,,0,,,0,,,0,,,2,,,0,,48,,,ULLOA O,
