SECTION,A,c,B,e,C,g,D,i,F,k,A_2,- F,n,GPR,p,I,r,s,S,u,v,U,x,Q,z,aa,bb,X,dd,ee,TOTAL,INSTRUCTOR,hh,ii
ANTH-201-501,18,,35,,28,,11,,11,,,103,,2.369,,0,,,,False,,,False,,,6,,0,,,109,ALVARD M,,
,0.1748,,0.3398,,0.2718,,0.1068,,0.1068,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-502,10,,21,,19,,4,,0,,,54,,2.685,,0,,,,False,,,False,,,9,,0,,,63,ALVARD M,,
,0.1852,,0.3889,,0.3519,,0.0741,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-599,10,,44,,33,,4,,2,,,93,,2.602,,1,,,,False,,,False,,,20,,0,,,114,BRYANT V,,
,0.1075,,0.4731,,0.3548,,0.043,,0.0215,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,38,,100,,80,,19,,13,,,250,,2.524,,1,,,,False,,,False,,,35,,0,,,286,,,
,0.152,,0.4,,0.32,,0.076,,0.052,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-202-200,10,,3,,1,,0,,0,,,14,,3.643,,0,,,,False,,,False,,,0,,0,,,14,CARLSON D,,
,0.7143,,0.2143,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-202-500,19,,20,,11,,0,,0,,,50,,3.16,,0,,,,False,,,False,,,4,,0,,,54,SMITH H,,
,0.38,,0.4,,0.22,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,29,,23,,12,,0,,0,,,64,,3.266,,0,,,,False,,,False,,,4,,0,,,68,,,
,0.4531,,0.3594,,0.1875,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-204-501,12,,9,,4,,1,,0,,,26,,3.231,,1,,,,False,,,False,,,1,,0,,,28,GRAF K,,
,0.4615,,0.3462,,0.1538,,0.0385,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-204-502,4,,10,,0,,0,,1,,,15,,3.067,,0,,,,False,,,False,,,2,,0,,,17,GORE A,,
,0.2667,,0.6667,,0.0,,0.0,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,16,,19,,4,,1,,1,,,41,,3.171,,1,,,,False,,,False,,,3,,0,,,45,,,
,0.3902,,0.4634,,0.0976,,0.0244,,0.0244,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-501,31,,22,,5,,2,,1,,,61,,3.312,,0,,,,False,,,False,,,2,,0,,,63,FIELDS L,,
,0.5082,,0.3607,,0.082,,0.0328,,0.0164,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-502,58,,39,,8,,2,,0,,,107,,3.43,,0,,,,False,,,False,,,2,,0,,,109,LYNCH D,,
,0.5421,,0.3645,,0.0748,,0.0187,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-503,74,,28,,4,,2,,0,,,108,,3.611,,0,,,,False,,,False,,,1,,0,,,109,LYNCH D,,
,0.6852,,0.2593,,0.037,,0.0185,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,- F,,GPR,,I,,,S,,,U,,Q,,,,X,,,TOTAL,INSTRUCTOR,,
