SECTION,A       B        C       D,c,d,e,f,g,h,i,j,F      A - F,l,m,n,o,p,GPA     I,r,s,t,u,S     U     Q,w,x,y,z,aa,bb,cc,dd,X    TOTAL,ff,gg,hh,ii,jj,INSTRUCTOR,ll,mm,nn
ANTH-201-200,,,25,,2,,0,,0,,,0,,27,,,,3.925,,0,,,0,,,0,,,0,,,0,,,27,,,CARLSON D,
,,,0.9259,,0.0741,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-501,,,32,,46,,28,,9,,,2,,117,,,,2.829,,0,,,0,,,0,,,2,,,0,,,119,,,GURSKY S,
,,,0.2735,,0.3932,,0.2393,,0.0769,,,0.0171,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-502,,,24,,21,,11,,1,,,0,,57,,,,3.192,,0,,,0,,,0,,,0,,,0,,,57,,,PRATT J,
,,,0.4211,,0.3684,,0.193,,0.0175,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-599,,,19,,50,,31,,5,,,1,,106,,,,2.764,,2,,,0,,,0,,,11,,,0,,,119,,,BRYANT V,
,,,0.1792,,0.4717,,0.2925,,0.0472,,,0.0094,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,100,,119,,70,,15,,,3,,307,,,,2.97,,2,,,0,,,0,,,13,,,0,,,322,,,,
,,,0.3257,,0.3876,,0.228,,0.0489,,,0.0098,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-202-501,,,11,,14,,5,,4,,,1,,35,,,,2.857,,0,,,0,,,0,,,0,,,0,,,35,,,DEMPSEY A,
,,,0.3143,,0.4,,0.1429,,0.1143,,,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-202-502,,,7,,21,,18,,0,,,7,,53,,,,2.396,,0,,,0,,,0,,,5,,,0,,,58,,,THOMS A,
,,,0.1321,,0.3962,,0.3396,,0.0,,,0.1321,,,,,,,,,,,,,,,,,,,,,,,,,,,
