SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
ANTH-201-500,,,17,,,37,,,17,,6,,,6,,83,,,2.638,,0,,,False,,False,,13,,,0,,96,,BURKE A,,
,,,0.2048,,,0.4458,,,0.2048,,0.0723,,,0.0723,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-501,,,9,,,34,,,28,,11,,,3,,85,,,2.411,,0,,,False,,False,,12,,,0,,97,,ALVARD M,,
,,,0.1059,,,0.4,,,0.3294,,0.1294,,,0.0353,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,26,,,71,,,45,,17,,,9,,168,,,2.523,,0,,,False,,False,,25,,,0,,193,,,,
,,,0.1548,,,0.4226,,,0.2679,,0.1012,,,0.0536,,,,,,,,,,,,,,,,,,,,,,,
ANTH-202-500,,,4,,,19,,,13,,4,,,3,,43,,,2.395,,0,,,False,,False,,2,,,0,,45,,WATERS M,,
,,,0.093,,,0.4419,,,0.3023,,0.093,,,0.0698,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,4,,,19,,,13,,4,,,3,,43,,,2.395,,0,,,False,,False,,2,,,0,,45,,,,
,,,0.093,,,0.4419,,,0.3023,,0.093,,,0.0698,,,,,,,,,,,,,,,,,,,,,,,
ANTH-204-500,,,6,,,15,,,10,,4,,,0,,35,,,2.657,,0,,,False,,False,,6,,,0,,41,,GRAF K,,
,,,0.1714,,,0.4286,,,0.2857,,0.1143,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,6,,,15,,,10,,4,,,0,,35,,,2.657,,0,,,False,,False,,6,,,0,,41,,,,
,,,0.1714,,,0.4286,,,0.2857,,0.1143,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-500,,,39,,,19,,,9,,1,,,2,,70,,,3.314,,1,,,False,,False,,0,,,1,,72,,DEMPSEY A,,
,,,0.5571,,,0.2714,,,0.1286,,0.0143,,,0.0286,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-501,,,24,,,68,,,30,,2,,,0,,124,,,2.919,,1,,,False,,False,,2,,,0,,127,,VIEIRA DE CASTRO L,,
,,,0.1935,,,0.5484,,,0.2419,,0.0161,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-502,,,62,,,35,,,20,,2,,,3,,122,,,3.237,,0,,,False,,False,,3,,,0,,125,,LYNCH D,,
,,,0.5082,,,0.2869,,,0.1639,,0.0164,,,0.0246,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-503,,,65,,,43,,,9,,1,,,3,,121,,,3.371,,0,,,False,,False,,2,,,0,,123,,LYNCH D,,
,,,0.5372,,,0.3554,,,0.0744,,0.0083,,,0.0248,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-504,,,41,,,12,,,0,,0,,,0,,53,,,3.773,,0,,,False,,False,,1,,,0,,54,,HODGES S,,
,,,0.7736,,,0.2264,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-505,,,24,,,27,,,12,,2,,,0,,65,,,3.123,,0,,,True,,False,,1,,,0,,67,,DOHERTY C,,
,,,0.3692,,,0.4154,,,0.1846,,0.0308,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
HAGSETH M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-506,,18,,,11,,,3,,0,,,,0,,32,,3.468,,,0,,,False,,False,,1,,,1,,34,,,,
,,0.5625,,,0.3438,,,0.0938,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-507,,6,,,15,,,8,,2,,,,1,,32,,2.718,,,0,,,False,,False,,2,,,0,,34,,,,
,,0.1875,,,0.4688,,,0.25,,0.0625,,,,0.0313,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-508,,20,,,8,,,1,,4,,,,1,,34,,3.235,,,0,,,False,,False,,0,,,0,,34,,,,
,,0.5882,,,0.2353,,,0.0294,,0.1176,,,,0.0294,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-509,,17,,,1,,,2,,0,,,,0,,20,,3.75,,,0,,,False,,False,,0,,,0,,20,,,,
,,0.85,,,0.05,,,0.1,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-599,,18,,,36,,,31,,7,,,,5,,97,,2.567,,,0,,,False,,False,,21,,,0,,118,,,,
,,0.1856,,,0.3711,,,0.3196,,0.0722,,,,0.0515,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,334,,,275,,,125,,21,,,,15,,770,,3.158,,,2,,,True,,False,,33,,,2,,808,,,,
,,0.4338,,,0.3571,,,0.1623,,0.0273,,,,0.0195,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-501,,49,,,31,,,10,,3,,,,2,,95,,3.284,,,0,,,False,,False,,2,,,0,,97,,,,
,,0.5158,,,0.3263,,,0.1053,,0.0316,,,,0.0211,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-502,,28,,,22,,,8,,1,,,,1,,60,,3.25,,,0,,,False,,False,,2,,,0,,62,,,,
,,0.4667,,,0.3667,,,0.1333,,0.0167,,,,0.0167,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,77,,,53,,,18,,4,,,,3,,155,,3.27,,,0,,,False,,False,,4,,,0,,159,,,,
,,0.4968,,,0.3419,,,0.1161,,0.0258,,,,0.0194,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-501,,10,,,18,,,22,,4,,,,1,,55,,2.581,,,0,,,False,,False,,7,,,0,,62,,,,
,,0.1818,,,0.3273,,,0.4,,0.0727,,,,0.0182,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,,18,,,22,,4,,,,1,,55,,2.581,,,0,,,False,,False,,7,,,0,,62,,,,
,,0.1818,,,0.3273,,,0.4,,0.0727,,,,0.0182,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-501,,12,,,4,,,1,,0,,,,0,,17,,3.647,,,0,,,False,,False,,0,,,0,,17,,,,
,,0.7059,,,0.2353,,,0.0588,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-502,,11,,,2,,,1,,0,,,,0,,14,,3.714,,,0,,,False,,False,,0,,,0,,14,,,,
,,0.7857,,,0.1429,,,0.0714,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CANTERBURY J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORD A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARRAR J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRYANT V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENNEDY C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPKINS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE RUITER D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZZO V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHORN A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,23,,,6,,,2,,0,,,,0,,31,,3.677,,,0,,,False,,False,,0,,,0,,31,,,,
,,0.7419,,,0.1935,,,0.0645,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-229-500,,4,,,10,,,3,,0,,,,0,,17,,3.058,,,0,,,False,,False,,3,,,0,,20,,,,
,,0.2353,,,0.5882,,,0.1765,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,,10,,,3,,0,,,,0,,17,,3.058,,,0,,,False,,False,,3,,,0,,20,,,,
,,0.2353,,,0.5882,,,0.1765,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-270-500,,14,,,14,,,2,,1,,,,1,,32,,3.218,,,0,,,False,,False,,3,,,0,,35,,,,
,,0.4375,,,0.4375,,,0.0625,,0.0313,,,,0.0313,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,,14,,,2,,1,,,,1,,32,,3.218,,,0,,,False,,False,,3,,,0,,35,,,,
,,0.4375,,,0.4375,,,0.0625,,0.0313,,,,0.0313,,,,,,,,,,,,,,,,,,,,,,,
ANTH-301-900,,2,,,5,,,6,,1,,,,1,,15,,2.4,,,2,,,False,,False,,2,,,0,,19,,,,
,,0.1333,,,0.3333,,,0.4,,0.0667,,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,2,,,5,,,6,,1,,,,1,,15,,2.4,,,2,,,False,,False,,2,,,0,,19,,,,
,,0.1333,,,0.3333,,,0.4,,0.0667,,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,
