SECTION,b,c,A,e,f,B,h,i,C,k,l,D,n,F,p,A_2,- F,s,t,GPA,v,I,x,y,S,aa,bb,U,dd,ee,Q,gg,hh,X,jj,kk,TOTAL,mm,INSTRUCTOR,oo,pp,qq,rr
ANTH-201-501,,,12,,,15,,,17,,,5,,6,,,55,,,2.4,,,False,,,1,,,False,,,5,,,False,,61,,ALVARD M,,,,
,,,0.2182,,,0.2727,,,0.3091,,,0.0909,,0.1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-502,,,9,,,16,,,8,,,1,,2,,,36,,,2.805,,,False,,,0,,,False,,,0,,,False,,36,,ANDERSON M,,,,
,,,0.25,,,0.4444,,,0.2222,,,0.0278,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-599,,,9,19,,,24,,,9,,,2,,63,,,2.38,,,1,,,False,,,False,,,9,,,False,,,73,,BRYANT V,,,,,
,,,0.1429,0.3016,,,0.381,,,0.1429,,,0.0317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,30,50,,,49,,,15,,,10,,154,,,2.487,,,1,,,True,,,False,,,14,,,False,,,170,,,,,,,
,,,0.1948,0.3247,,,0.3182,,,0.0974,,,0.0649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-202-501,,,4,18,,,23,,,5,,,0,,50,,,2.42,,,3,,,False,,,False,,,5,,,False,,,58,,THOMS A,,,,,
,,,0.08,0.36,,,0.46,,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,4,18,,,23,,,5,,,0,,50,,,2.42,,,3,,,False,,,False,,,5,,,False,,,58,,,,,,,
,,,0.08,0.36,,,0.46,,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-204-500,,,34,49,,,22,,,0,,,1,,106,,,3.084,,,0,,,False,,,False,,,6,,,False,,,112,,PRATT J,,,,,
,,,0.3208,0.4623,,,0.2075,,,0.0,,,0.0094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,34,49,,,22,,,0,,,1,,106,,,3.084,,,0,,,False,,,False,,,6,,,False,,,112,,,,,,,
,,,0.3208,0.4623,,,0.2075,,,0.0,,,0.0094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-501,,,27,54,,,37,,,3,,,1,,122,,,2.844,,,0,,,False,,,False,,,0,,,False,,,122,,VIEIRA DE,,CASTRO,,,L
,,,0.2213,0.4426,,,0.3033,,,0.0246,,,0.0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-502,,,19,69,,,25,,,5,,,1,,119,,,2.84,,,0,,,False,,,False,,,5,,,False,,,124,,VIEIRA DE,,CASTRO,,,L
,,,0.1597,0.5798,,,0.2101,,,0.042,,,0.0084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-503,,,48,43,,,25,,,3,,,1,,120,,,3.116,,,0,,,True,,,False,,,2,,,False,,,123,,LYNCH D,,,,,
,,,0.4,0.3583,,,0.2083,,,0.025,,,0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-504,,,51,48,,,15,,,6,,,3,,123,,,3.121,,,0,,,False,,,False,,,2,,,False,,,125,,LYNCH D,,,,,
,,,0.4146,0.3902,,,0.122,,,0.0488,,,0.0244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-505,,,33,17,,,1,,,1,,,0,,52,,,3.576,,,0,,,False,,,False,,,1,,,False,,,53,,YOUNG J,,,,,
,,,0.6346,0.3269,,,0.0192,,,0.0192,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-506,,35,,,13,,,2,,,0,,,3,,,53,,3.452,,,,False,,,0,,,False,,0,,,,False,,53,JOHNSON T,,,,,
,,0.6604,,,0.2453,,,0.0377,,,0.0,,,0.0566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-508,,65,,,10,,,7,,,0,,,2,,,84,,3.619,,,,False,,,0,,,False,,0,,,,False,,84,MATHENY R,,,,,
,,0.7738,,,0.119,,,0.0833,,,0.0,,,0.0238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-512,,21,,,21,,,4,,,2,,,1,,,49,,3.204,,,,False,,,0,,,False,,1,,,,False,,50,GAUTHIER-BERUBE,,,,M,
,,0.4286,,,0.4286,,,0.0816,,,0.0408,,,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-513,,22,,,24,,,6,,,6,,,2,,,60,,2.966,,,,False,,,0,,,False,,7,,,,False,,67,BURKE A,,,,,
,,0.3667,,,0.4,,,0.1,,,0.1,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-599,,9,,,40,,,24,,,11,,,4,,,88,,2.443,,,,False,,,1,,,False,,34,,,,True,,124,BRYANT V,,,,,
,,0.1023,,,0.4545,,,0.2727,,,0.125,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,330,,,339,,,146,,,37,,,18,,,870,,3.064,,,,False,,,2,,,False,,52,,,,True,,925,,,,,,
,,0.3793,,,0.3897,,,0.1678,,,0.0425,,,0.0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-501,,25,,,53,,,18,,,4,,,2,,,102,,2.931,,,,False,,,0,,,False,,0,,,,False,,102,WINKING J,,,,,
,,0.2451,,,0.5196,,,0.1765,,,0.0392,,,0.0196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-502,,37,,,12,,,4,,,0,,,0,,,53,,3.622,,,,False,,,0,,,False,,1,,,,False,,54,FARRAR J,,,,,
,,0.6981,,,0.2264,,,0.0755,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,62,,,65,,,22,,,4,,,2,,,155,,3.167,,,,False,,,0,,,False,,1,,,,False,,156,,,,,,
,,0.4,,,0.4194,,,0.1419,,,0.0258,,,0.0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-500,,8,,,23,,,16,,,14,,,1,,,62,,2.37,,,,False,,,0,,,False,,5,,,,True,,68,ANDERSON M,,,,,
,,0.129,,,0.371,,,0.2581,,,0.2258,,,0.0161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
