SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,hh,TOTAL,jj,INSTRUCTOR,ll,mm,nn
ANTH-201-500,,31,,16,,9,,3,,,0,,,59,,,3.271,,0,,,,False,,,False,3,,,,,False,,62,,ANDERSON M,,,
,,0.5254,,0.2712,,0.1525,,0.0508,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-501,,28,,20,,6,,3,,,1,,,58,,,3.224,,0,,,,False,,,False,0,,,,,False,,58,,GURSKY S,,,
,,0.4828,,0.3448,,0.1034,,0.0517,,,0.0172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,59,,36,,15,,6,,,1,,,117,,,3.247,,0,,,,False,,,False,3,,,,,False,,120,,,,,
,,0.5043,,0.3077,,0.1282,,0.0513,,,0.0085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-202-500,,13,,32,,13,,2,,,0,,,60,,,2.933,,0,,,,False,,,False,2,,,,,False,,62,,WATERS M,,,
,,0.2167,,0.5333,,0.2167,,0.0333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,32,,13,,2,,,0,,,60,,,2.933,,0,,,,False,,,False,2,,,,,False,,62,,,,,
,,0.2167,,0.5333,,0.2167,,0.0333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-204-500,,44,,27,,8,,1,,,3,,,83,,,3.301,,0,,,,False,,,False,2,,,,,False,,85,,GRAF K,,,
,,0.5301,,0.3253,,0.0964,,0.012,,,0.0361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,44,,27,,8,,1,,,3,,,83,,,3.301,,0,,,,False,,,False,2,,,,,False,,85,,,,,
,,0.5301,,0.3253,,0.0964,,0.012,,,0.0361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-500,,26,,30,,19,,11,,,2,,,88,,,2.761,,0,,,,False,,,False,12,,,,,False,,100,,ALVARD M,,,
,,0.2955,,0.3409,,0.2159,,0.125,,,0.0227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-501,,8,,5,,3,,1,,,1,,,18,,,3.0,,0,,,,False,,,False,0,,,,,False,,18,,HOPKINS A,,,
,,0.4444,,0.2778,,0.1667,,0.0556,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-502,,100,,22,,2,,0,,,1,,,125,,,3.76,,0,,,,False,,,False,0,,,,,False,,125,,LYNCH D,,,
,,0.8,,0.176,,0.016,,0.0,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-503,,100,,18,,5,,0,,,0,,,123,,,3.772,,0,,,,False,,,False,2,,,,,False,,125,,LYNCH D,,,
,,0.813,,0.1463,,0.0407,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-505,,9,,11,,4,,1,,,2,,,27,,,2.888,,0,,,,False,,,False,1,,,,,False,,28,,WHITE J,,,
,,0.3333,,0.4074,,0.1481,,0.037,,,0.0741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
