SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,TOTAL,INSTRUCTOR,ee
ANTH-201-200,,30,,4,,1,,0,,0,,,35,,3.828,,0,,,False,,False,,0,,0,,35,LEMUS S,
,,0.8571,,0.1143,,0.0286,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,30,,4,,1,,0,,0,,,35,,3.828,,0,,,False,,False,,0,,0,,35,,
,,0.8571,,0.1143,,0.0286,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
ANTH-205-100,,41,,31,,13,,2,,0,,,87,,3.275,,0,,,False,,False,,2,,1,,90,HOPKINS A,
,,0.4713,,0.3563,,0.1494,,0.023,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,41,,31,,13,,2,,0,,,87,,3.275,,0,,,False,,False,,2,,1,,90,,
,,0.4713,,0.3563,,0.1494,,0.023,,0.0,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,71,,35,,14,,2,,0,,,122,,3.434,,0,,,False,,False,,2,,1,,125,,
,,0.582,,0.2869,,0.1148,,0.0164,,0.0,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL   INSTRUCTOR,,
WGST-374-200,,1,,3,,1,,0,,0,,,5,,3.0,,0,,,False,,False,,0,,0,,5 PANTUSO T,,
,,0.2,,0.6,,0.2,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,1,,3,,1,,0,,0,,,5,,3.0,,0,,,False,,False,,0,,0,,5,,
,,0.2,,0.6,,0.2,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,1,,3,,1,,0,,0,,,5,,3.0,,0,,,False,,False,,0,,0,,5,,
,,0.2,,0.6,,0.2,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR,
COMM-203-100,,16,,6,,1,,0,,0,,,23,,3.652,,0,,,False,,False,,0,,0,,23,JENNINGS P,
,,0.6957,,0.2609,,0.0435,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COMM-203-101,,7,,10,,3,,0,,1,,,21,,3.047,,0,,,False,,False,,1,,0,,22,CHABVUTA E,
,,0.3333,,0.4762,,0.1429,,0.0,,0.0476,,,,,,,,,,,,,,,,,,,,
COMM-203-102,,13,,10,,0,,0,,0,,,23,,3.565,,0,,,False,,False,,1,,0,,24,LUECK J,
,,0.5652,,0.4348,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COMM-203-103,,22,,0,,0,,1,,1,,,24,,3.708,,0,,,False,,False,,0,,0,,24,SIEGFRIED K,
,,0.9167,,0.0,,0.0,,0.0417,,0.0417,,,,,,,,,,,,,,,,,,,,
COMM-203-104,,11,,8,,2,,0,,2,,,23,,3.13,,0,,,False,,False,,2,,0,,25,SHAW L,
,,0.4783,,0.3478,,0.087,,0.0,,0.087,,,,,,,,,,,,,,,,,,,,
COMM-203-105,,16,,7,,2,,0,,0,,,25,,3.56,,0,,,False,,False,,0,,0,,25,CHRISTJOY A,
,,0.64,,0.28,,0.08,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COMM-203-106,,8,,11,,3,,0,,0,,,22,,3.227,,0,,,False,,False,,1,,0,,23,YAVARI M,
,,0.3636,,0.5,,0.1364,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COMM-203-107,,21,,1,,0,,0,,0,,,22,,3.954,,0,,,False,,False,,0,,0,,22,NADKARNI A,
,,0.9545,,0.0455,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COMM-203-108,,21,,1,,0,,0,,1,,,23,,3.782,,0,,,False,,False,,0,,0,,23,BRADLEY N,
,,0.913,,0.0435,,0.0,,0.0,,0.0435,,,,,,,,,,,,,,,,,,,,
COMM-203-109,,14,,6,,2,,0,,1,,,23,,3.391,,0,,,False,,False,,2,,0,,25,WU Q,
,,0.6087,,0.2609,,0.087,,0.0,,0.0435,,,,,,,,,,,,,,,,,,,,
COMM-203-170,,13,,6,,3,,0,,1,,,23,,3.304,,0,,,False,,False,,0,,0,,23,MUNSON D,
,,0.5652,,0.2609,,0.1304,,0.0,,0.0435,,,,,,,,,,,,,,,,,,,,
COMM-203-171,,8,,5,,3,,2,,5,,,23,,2.391,,0,,,False,,False,,2,,0,,25,ASCHENBECK S,
,,0.3478,,0.2174,,0.1304,,0.087,,0.2174,,,,,,,,,,,,,,,,,,,,
COMM-203-172,,20,,2,,0,,0,,0,,,22,,3.909,,0,,,False,,False,,2,,0,,24,ADUEN RAMIREZ,M
,,0.9091,,0.0909,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
