a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,"CHARLES L
KOSAREK J
KOSAREK J
BRUCE R
BRUCE R
MULCAHY A
CONTRERAS N
CONTRERAS N"
FORS-603-700,,4,1,0,0,,0,5,,3.8,False,,False,False,0,,False,5,,
,,0.8,0.2,0.0,0.0,,0.0,,,,,,,,,,,,,
COURSE TOTAL:,,4,1,0,0,,0,5,,3.8,False,,False,False,0,,False,5,,
,,0.8,0.2,0.0,0.0,,0.0,,,,,,,,,,,,,
NURS-305-500,,48,1,0,0,,0,49,,3.979,False,,False,False,0,,False,49,,
,,0.9796,0.0204,0.0,0.0,,0.0,,,,,,,,,,,,,
NURS-305-501,,20,0,0,0,,0,20,,4.0,False,,False,False,0,,False,20,,
,,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,
COURSE TOTAL:,,68,1,0,0,,0,69,,3.985,False,,False,False,0,,False,69,,
,,0.9855,0.0145,0.0,0.0,,0.0,,,,,,,,,,,,,
NURS-312-500,,23,2,0,0,,0,25,,3.92,False,,False,False,0,,False,25,,
,,0.92,0.08,0.0,0.0,,0.0,,,,,,,,,,,,,
NURS-312-501,,9,11,0,0,,0,20,,3.45,False,,False,False,0,,False,20,,
,,0.45,0.55,0.0,0.0,,0.0,,,,,,,,,,,,,
COURSE TOTAL:,,32,13,0,0,,0,45,,3.711,False,,False,False,0,,False,45,,
,,0.7111,0.2889,0.0,0.0,,0.0,,,,,,,,,,,,,
NURS-313-500,,5,18,1,0,,0,24,,3.166,True,,False,False,0,,False,25,,
,,0.2083,0.75,0.0417,0.0,,0.0,,,,,,,,,,,,,
COURSE TOTAL:,,5,18,1,0,,0,24,,3.166,True,,False,False,0,,False,25,,
,,0.2083,0.75,0.0417,0.0,,0.0,,,,,,,,,,,,,
NURS-314-900,,32,16,1,0,,0,49,,3.632,True,,False,False,0,,False,50,,
,,0.6531,0.3265,0.0204,0.0,,0.0,,,,,,,,,,,,,
NURS-314-901,,6,13,1,0,,0,20,,3.25,False,,False,False,0,,False,20,,
,,0.3,0.65,0.05,0.0,,0.0,,,,,,,,,,,,,
