SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
NURS-312-700,,10,,13,,0,,1,,,0,,24,,,,3.333,,0,,,0,,,0,,,False,,,0,,24,,,BONNER R,
,,0.4167,,0.5417,,0.0,,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,13,,0,,1,,,0,,24,,,,3.333,,0,,,0,,,0,,,False,,,0,,24,,,,
,,0.4167,,0.5417,,0.0,,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-313-500,,4,,21,,1,,0,,,0,,26,,,,3.115,,0,,,0,,,0,,,False,,,0,,26,,,MULCAHY A,
,,0.1538,,0.8077,,0.0385,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,21,,1,,0,,,0,,26,,,,3.115,,0,,,0,,,0,,,False,,,0,,26,,,,
,,0.1538,,0.8077,,0.0385,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-320-500,,10,,36,,6,,0,,,0,,52,,,,3.076,,0,,,0,,,0,,,False,,,0,,52,,,BOSENBARK M,
,,0.1923,,0.6923,,0.1154,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-320-501,,6,,21,,14,,0,,,1,,42,,,,2.738,,0,,,0,,,0,,,False,,,0,,42,,,BOSENBARK M,
,,0.1429,,0.5,,0.3333,,0.0,,,0.0238,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,57,,20,,0,,,1,,94,,,,2.925,,0,,,0,,,0,,,False,,,0,,94,,,,
,,0.1702,,0.6064,,0.2128,,0.0,,,0.0106,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-323-500,,9,,12,,1,,0,,,0,,22,,,,3.363,,0,,,0,,,0,,,False,,,0,,22,,,WHITE-COREY S,
,,0.4091,,0.5455,,0.0455,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,12,,1,,0,,,0,,22,,,,3.363,,0,,,0,,,0,,,False,,,0,,22,,,,
,,0.4091,,0.5455,,0.0455,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-411-900,,22,,0,,0,,0,,,0,,22,,,,4.0,,0,,,0,,,0,,,False,,,0,,22,,,DORMIRE S,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-411-901,,21,,0,,0,,0,,,0,,21,,,,4.0,,0,,,0,,,0,,,False,,,0,,21,,,DORMIRE S,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,43,,0,,0,,0,,,0,,43,,,,4.0,,0,,,0,,,0,,,False,,,0,,43,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
NURS-412-500,,2,,13,,8,,0,,,0,,,23,,,2.739,,0,,,,False,,,False,,,False,,0,,23,,BRUCE R,,
,,0.087,,0.5652,,0.3478,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-412-501,,6,,14,,3,,0,,,0,,,23,,,3.13,,0,,,,False,,,False,,,False,,0,,23,,BRUCE R,,
,,0.2609,,0.6087,,0.1304,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,27,,11,,0,,,0,,,46,,,2.934,,0,,,,False,,,False,,,False,,0,,46,,,,
,,0.1739,,0.587,,0.2391,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-413-500,,19,,4,,0,,0,,,0,,,23,,,3.826,,0,,,,False,,,False,,,False,,0,,23,,PITTMAN A,,
,,0.8261,,0.1739,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,4,,0,,0,,,0,,,23,,,3.826,,0,,,,False,,,False,,,False,,0,,23,,,,
,,0.8261,,0.1739,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-420-500,,8,,14,,1,,0,,,0,,,23,,,3.304,,0,,,,False,,,False,,,False,,0,,23,,MUFICH M,,
,,0.3478,,0.6087,,0.0435,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
