SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg
NURS-305-700,,64,,2,,0,,0,,,0,,66,,3.969,,False,,,False,,False,,False,,,False,,66,,LANDMAN W,
,,0.9697,,0.0303,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,64,,2,,0,,0,,,0,,66,,3.969,,False,,,False,,False,,False,,,False,,66,,,
,,0.9697,,0.0303,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-315-300,,18,,8,,1,,0,,,0,,27,,3.629,,False,,,False,,False,,False,,,False,,27,,SEABACK W,
,,0.6667,,0.2963,,0.037,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-315-301,,10,,14,,0,,0,,,1,,25,,3.28,,False,,,False,,False,,False,,,False,,25,,SEABACK W,
,,0.4,,0.56,,0.0,,0.0,,,0.04,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,28,,22,,1,,0,,,1,,52,,3.461,,False,,,False,,False,,False,,,False,,52,,,
,,0.5385,,0.4231,,0.0192,,0.0,,,0.0192,,,,,,,,,,,,,,,,,,,,,
NURS-320-300,,2,,23,,1,,0,,,0,,26,,3.038,,False,,,False,,False,,False,,,False,,26,,VELA C,
,,0.0769,,0.8846,,0.0385,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-320-301,,2,,20,,3,,0,,,0,,25,,2.96,,False,,,False,,False,,False,,,False,,25,,VELA C,
,,0.08,,0.8,,0.12,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,43,,4,,0,,,0,,51,,3.0,,False,,,False,,False,,False,,,False,,51,,,
,,0.0784,,0.8431,,0.0784,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-411-900,,54,,2,,0,,0,,,0,,56,,3.964,,False,,,False,,False,,False,,,False,,56,,GARY J,
,,0.9643,,0.0357,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-411-901,,18,,6,,0,,0,,,0,,24,,3.75,,False,,,False,,False,,False,,,False,,24,,GARY J,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,72,,8,,0,,0,,,0,,80,,3.9,,False,,,False,,False,,False,,,False,,80,,,
,,0.9,,0.1,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-412-300,,15,,11,,1,,0,,,0,,27,,3.518,,False,,,False,,False,,False,,,True,,28,,BRUCE R,
