SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
PHEO-600-600,,7,,2,,1,,0,,,0,,10,,,,3.6,,0,,,0,,,0,,,False,,,0,,10,,,BENDEN M,
,,0.7,,0.2,,0.1,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,2,,1,,0,,,0,,10,,,,3.6,,0,,,0,,,0,,,False,,,0,,10,,,,
,,0.7,,0.2,,0.1,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-610-600,,15,,1,,1,,0,,,0,,17,,,,3.823,,0,,,0,,,0,,,True,,,0,,18,,,CIZMAS L,
,,0.8824,,0.0588,,0.0588,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,1,,1,,0,,,0,,17,,,,3.823,,0,,,0,,,0,,,True,,,0,,18,,,,
,,0.8824,,0.0588,,0.0588,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-612-698,,8,,0,,0,,0,,,0,,8,,,,4.0,,0,,,0,,,0,,,False,,,0,,8,,,CARRILLO G,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,0,,0,,0,,,0,,8,,,,4.0,,0,,,0,,,0,,,False,,,0,,8,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-640-600,,7,,8,,0,,0,,,0,,15,,,,3.466,,0,,,0,,,0,,,True,,,0,,16,,,PICKENS A,
,,0.4667,,0.5333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,8,,0,,0,,,0,,15,,,,3.466,,0,,,0,,,0,,,True,,,0,,16,,,,
,,0.4667,,0.5333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-645-600,,5,,3,,0,,0,,,0,,8,,,,3.625,,0,,,0,,,0,,,False,,,0,,8,,,BENDEN M,
,,0.625,,0.375,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,3,,0,,0,,,0,,8,,,,3.625,,0,,,0,,,0,,,False,,,0,,8,,,,
,,0.625,,0.375,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-650-699,,21,,0,,0,,0,,,0,,21,,,,4.0,,0,,,0,,,0,,,False,,,0,,21,,,RENE A,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,0,,0,,0,,,0,,21,,,,4.0,,0,,,0,,,0,,,False,,,0,,21,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
PHEO-655-600,,14,,6,,0,,0,,,0,,,20,,,3.7,,0,,,,False,,,False,,,0,,0,,20,,PERES C,,
,,0.7,,0.3,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,6,,0,,0,,,0,,,20,,,3.7,,0,,,,False,,,False,,,0,,0,,20,,,,
,,0.7,,0.3,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-679-600,,10,,2,,0,,0,,,0,,,12,,,3.833,,0,,,,False,,,False,,,0,,0,,12,,BENDEN M,,
,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,2,,0,,0,,,0,,,12,,,3.833,,0,,,,False,,,False,,,0,,0,,12,,,,
,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,87,,22,,2,,0,,,0,,,111,,,3.765,,0,,,,False,,,False,,,2,,0,,113,,,,
,,0.7838,,0.1982,,0.018,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
PHEB-602-701,,6,,1,,0,,0,,,0,,7,,,,3.857,,0,,,0,,,0,,,False,,,0,,7,,,ZHENG Q,
,,0.8571,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,1,,0,,0,,,0,,7,,,,3.857,,0,,,0,,,0,,,False,,,0,,7,,,,
,,0.8571,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-603-601,,32,,3,,0,,0,,,0,,35,,,,3.914,,0,,,0,,,0,,,True,,,0,,36,,,ZHAO H,
,,0.9143,,0.0857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-603-700,,9,,11,,2,,0,,,0,,22,,,,3.318,,0,,,0,,,0,,,False,,,0,,22,,,ZHAO H,
,,0.4091,,0.5,,0.0909,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,41,,14,,2,,0,,,0,,57,,,,3.684,,0,,,0,,,0,,,True,,,0,,58,,,,
,,0.7193,,0.2456,,0.0351,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-605-600,,25,,0,,0,,0,,,0,,25,,,,4.0,,0,,,0,,,0,,,False,,,4,,29,,,XU X,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-605-700,,16,,3,,0,,0,,,0,,19,,,,3.842,,0,,,0,,,0,,,False,,,0,,19,,,ZANWAR P,
,,0.8421,,0.1579,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,41,,3,,0,,0,,,0,,44,,,,3.931,,0,,,0,,,0,,,False,,,4,,48,,,,
,,0.9318,,0.0682,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-606-700,,3,,1,,1,,0,,,0,,5,,,,3.4,,0,,,0,,,0,,,False,,,3,,8,,,EWORUKE E,
,,0.6,,0.2,,0.2,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,1,,1,,0,,,0,,5,,,,3.4,,0,,,0,,,0,,,False,,,3,,8,,,,
,,0.6,,0.2,,0.2,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-612-700,,30,,1,,0,,0,,,0,,31,,,,3.967,,0,,,0,,,0,,,False,,,0,,31,,,ZANWAR P,
,,0.9677,,0.0323,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-612-701,,14,,0,,1,,0,,,0,,15,,,,3.866,,0,,,0,,,0,,,False,,,0,,15,,,ZANWAR P,
,,0.9333,,0.0,,0.0667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
