SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll,mm,nn
CHEN-205-500,,5,,14,,5,,0,,,0,,,24,,,3.0,,0,,,,False,,,False,,,0,,0,,24,,ABDEL-WAHAB,,A,,
,,0.2083,,0.5833,,0.2083,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,14,,5,,0,,,0,,,24,,,3.0,,0,,,,False,,,False,,,0,,0,,24,,,,,,
,,0.2083,,0.5833,,0.2083,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-322-500,,10,,7,,5,,0,,,0,,,22,,,3.227,,0,,,,False,,,False,,,0,,0,,22,,ABDALLA A,,,,
,,0.4545,,0.3182,,0.2273,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,7,,5,,0,,,0,,,22,,,3.227,,0,,,,False,,,False,,,0,,0,,22,,,,,,
,,0.4545,,0.3182,,0.2273,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-323-500,,8,,7,,5,,0,,,0,,,20,,,3.15,,0,,,,False,,,False,,,0,,0,,20,,NOUNOU M,,,,
,,0.4,,0.35,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,7,,5,,0,,,0,,,20,,,3.15,,0,,,,False,,,False,,,0,,0,,20,,,,,,
,,0.4,,0.35,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-426-500,,11,,3,,0,,0,,,0,,,14,,,3.785,,0,,,,False,,,False,,,0,,0,,14,,LINKE P,,,,
,,0.7857,,0.2143,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,3,,0,,0,,,0,,,14,,,3.785,,0,,,,False,,,False,,,0,,0,,14,,,,,,
,,0.7857,,0.2143,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-433-900,,1,,10,,1,,0,,,0,,,12,,,3.0,,0,,,,False,,,False,,,0,,0,,12,,SALAMA G,,,,
,,0.0833,,0.8333,,0.0833,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,1,,10,,1,,0,,,0,,,12,,,3.0,,0,,,,False,,,False,,,0,,0,,12,,,,,,
,,0.0833,,0.8333,,0.0833,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-461-500,,6,,5,,3,,0,,,0,,,14,,,3.214,,0,,,,False,,,False,,,0,,0,,14,,NOUNOU M,,,,
,,0.4286,,0.3571,,0.2143,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,5,,3,,0,,,0,,,14,,,3.214,,0,,,,False,,,False,,,0,,0,,14,,,,,,
,,0.4286,,0.3571,,0.2143,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,,
CHEN-482-500,,13,,8,,0,,0,,,0,,,21,,,3.619,,0,,,,False,,,False,,,0,,0,,21,,VECHOT L,,,,
,,0.619,,0.381,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,8,,0,,0,,,0,,,21,,,3.619,,0,,,,False,,,False,,,0,,0,,21,,,,,,
,,0.619,,0.381,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-489-501,,10,,0,,0,,0,,,0,,,10,,,4.0,,0,,,,False,,,False,,,0,,0,,10,,CHENG Z,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-489-502,,2,,5,,0,,0,,,1,,,8,,,2.875,,0,,,,False,,,False,,,0,,0,,8,,AL-MOHANNADI,,,D,
,,0.25,,0.625,,0.0,,0.0,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-489-503,,12,,10,,1,,0,,,0,,,23,,,3.478,,0,,,,False,,,False,,,0,,0,,23,,LINKE P,,,,
,,0.5217,,0.4348,,0.0435,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,15,,1,,0,,,1,,,41,,,3.487,,0,,,,False,,,False,,,0,,0,,41,,,,,,
,,0.5854,,0.3659,,0.0244,,0.0,,,0.0244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-624-600,,7,,5,,0,,0,,,0,,,12,,,3.583,,0,,,,False,,,False,,,0,,0,,12,,AL-RAWASHDEH,,,M,
,,0.5833,,0.4167,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,5,,0,,0,,,0,,,12,,,3.583,,0,,,,False,,,False,,,0,,0,,12,,,,,,
,,0.5833,,0.4167,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-629-600,,9,,9,,0,,0,,,0,,,18,,,3.5,,0,,,,False,,,False,,,0,,0,,18,,KAKOSIMOS K,,,,
,,0.5,,0.5,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
