CHEN-204-501,4,c,d,12,f,2,h,0,j,0_2,l,m,18,o,3.111,q,r,0_3,t,u,0_4,w,0_5,y,z,0_6,bb,cc,dd,0_7,ff,gg,18_2,ii,SALAMA G,kk,ll,mm
,0.2222,,,0.6667,,0.1111,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-204-502,3,,,8,,5,,1,,0,,,17,,2.764,,,False,,,False,,False,,,False,,,,False,,,17,,SALAMA G,,,
,0.1765,,,0.4706,,0.2941,,0.0588,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,20,,7,,1,,0,,,35,,2.942,,,False,,,False,,False,,,False,,,,False,,,35,,,,,
,0.2,,,0.5714,,0.2,,0.0286,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-304-500,7,,,9,,6,,0,,0,,,22,,3.045,,,False,,,False,,False,,,False,,,,False,,,22,,KAKOSIMOS K,,,
,0.3182,,,0.4091,,0.2727,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,9,,6,,0,,0,,,22,,3.045,,,False,,,False,,False,,,False,,,,False,,,22,,,,,
,0.3182,,,0.4091,,0.2727,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-320-500,13,,,9,,2,,0,,0,,,24,,3.458,,,False,,,False,,False,,,False,,,,False,,,24,,AL-MOHANNADI,D,,
,0.5417,,,0.375,,0.0833,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,,9,,2,,0,,0,,,24,,3.458,,,False,,,False,,False,,,False,,,,False,,,24,,,,,
,0.5417,,,0.375,,0.0833,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-322-500,7,,,8,,7,,0,,0,,,22,,3.0,,,False,,,False,,False,,,False,,,,False,,,22,,ABDALLA A,,,
,0.3182,,,0.3636,,0.3182,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,8,,7,,0,,0,,,22,,3.0,,,False,,,False,,False,,,False,,,,False,,,22,,,,,
,0.3182,,,0.3636,,0.3182,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
