SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg,hh
CHEN-205-500,,8,,9,,8,,1,,,2,,28,,2.714,,0,,,False,,False,,1,,,False,,29,,ABDEL-WAHAB A,,
,,0.2857,,0.3214,,0.2857,,0.0357,,,0.0714,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,9,,8,,1,,,2,,28,,2.714,,0,,,False,,False,,1,,,False,,29,,,,
,,0.2857,,0.3214,,0.2857,,0.0357,,,0.0714,,,,,,,,,,,,,,,,,,,,,,
CHEN-323-500,,9,,7,,6,,0,,,0,,22,,3.136,,0,,,False,,False,,1,,,False,,23,,NOUNOU M,,
,,0.4091,,0.3182,,0.2727,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,7,,6,,0,,,0,,22,,3.136,,0,,,False,,False,,1,,,False,,23,,,,
,,0.4091,,0.3182,,0.2727,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-324-500,,6,,6,,6,,1,,,0,,19,,2.894,,2,,,False,,False,,2,,,False,,23,,ABDALLA A,,
,,0.3158,,0.3158,,0.3158,,0.0526,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,6,,6,,1,,,0,,19,,2.894,,2,,,False,,False,,2,,,False,,23,,,,
,,0.3158,,0.3158,,0.3158,,0.0526,,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-364-500,,10,,9,,2,,1,,,0,,22,,3.272,,0,,,False,,False,,1,,,False,,23,,AL-RAWASHDEH M,,
,,0.4545,,0.4091,,0.0909,,0.0455,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,9,,2,,1,,,0,,22,,3.272,,0,,,False,,False,,1,,,False,,23,,,,
,,0.4545,,0.4091,,0.0909,,0.0455,,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-426-500,,15,,6,,0,,0,,,0,,21,,3.714,,0,,,False,,False,,0,,,False,,21,,LINKE P,,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,6,,0,,0,,,0,,21,,3.714,,0,,,False,,False,,0,,,False,,21,,,,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-433-900,,11,,10,,0,,0,,,0,,21,,3.523,,0,,,False,,False,,0,,,False,,21,,SALAMA G,,
,,0.5238,,0.4762,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,10,,0,,0,,,0,,21,,3.523,,0,,,False,,False,,0,,,False,,21,,,,
,,0.5238,,0.4762,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,GPA     I,,,,S     U     Q,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
CHEN-455-500,,12,,7,,2,,0,,,0,,21,,3.476,,0,,,False,,False,,0,,,False,,21,,VECHOT L,,
,,0.5714,,0.3333,,0.0952,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,7,,2,,0,,,0,,21,,3.476,,0,,,False,,False,,0,,,False,,21,,,,
,,0.5714,,0.3333,,0.0952,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-457-500,,10,,5,,0,,0,,,0,,15,,3.666,,0,,,False,,False,,0,,,False,,15,,ABDEL-WAHAB A,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,5,,0,,0,,,0,,15,,3.666,,0,,,False,,False,,0,,,False,,15,,,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
CHEN-482-500,,5,,0,,0,,0,,,0,,5,,4.0,,0,,,False,,False,,0,,,False,,5,,VECHOT L,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,0,,0,,0,,,0,,5,,4.0,,0,,,False,,False,,0,,,False,,5,,,,
