SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL   INSTRUCTOR,ii,jj,kk,ll,mm
CHEN-432-900,,6,,0,,0,,0,,,0,,,6,,,4.0,,0,,,,False,,,False,,,0,,0,,6 SALAMA G,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,0,,0,,0,,,0,,,6,,,4.0,,0,,,,False,,,False,,,0,,0,,6,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,6,,0,,0,,0,,,0,,,6,,,4.0,,0,,,,False,,,False,,,0,,0,,6,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
ASCC-289-300,,5,,10,,1,,0,,,0,,,16,,,3.25,,0,,,,False,,,False,,,0,,0,,16,,ELSHEIKH A,,,
,,0.3125,,0.625,,0.0625,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,10,,1,,0,,,0,,,16,,,3.25,,0,,,,False,,,False,,,0,,0,,16,,,,,
,,0.3125,,0.625,,0.0625,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-335-300,,15,,0,,0,,0,,,0,,,15,,,4.0,,0,,,,False,,,False,,,0,,0,,15,,HILLMAN S,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,0,,0,,0,,,0,,,15,,,4.0,,0,,,,False,,,False,,,0,,0,,15,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-104-301,,8,,1,,0,,0,,,0,,,9,,,3.888,,0,,,,False,,,False,,,0,,0,,9,,SCHMALSTIG,,A,
,,0.8889,,0.1111,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-104-302,,3,,2,,0,,0,,,0,,,5,,,3.6,,0,,,,False,,,False,,,0,,0,,5,,ABBAS N,,,
,,0.6,,0.4,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,3,,0,,0,,,0,,,14,,,3.785,,0,,,,False,,,False,,,0,,0,,14,,,,,
,,0.7857,,0.2143,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGL-210-301,,5,,0,,0,,0,,,0,,,5,,,4.0,,0,,,,False,,,False,,,0,,0,,5,,QUEEN M,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,0,,0,,0,,,0,,,5,,,4.0,,0,,,,False,,,False,,,0,,0,,5,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
