SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPR,q,I,s,t,S,v,w,U,y,z,Q,bb,cc,X,ee,ff,TOTAL,hh,INSTRUCTOR,jj,kk
BIOL-111-101,,8,,5,,5,,2,,0,,,20,,2.95,,,False,,,False,,,False,,,1,,,False,,21,,RAO A,,
,,0.4,,0.25,,0.25,,0.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-103,,8,,5,,5,,3,,0,,,21,,2.857,,,False,,,False,,,False,,,0,,,False,,21,,RAO A,,
,,0.381,,0.2381,,0.2381,,0.1429,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-104,,11,,4,,3,,4,,0,,,22,,3.0,,,False,,,False,,,False,,,1,,,False,,23,,RAO A,,
,,0.5,,0.1818,,0.1364,,0.1818,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,27,,14,,13,,9,,0,,,63,,2.937,,,False,,,False,,,False,,,2,,,False,,65,,,,
,,0.4286,,0.2222,,0.2063,,0.1429,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-201,,6,,7,,7,,0,,0,,,20,,2.95,,,False,,,False,,,False,,,2,,,False,,22,,LEE C,,
,,0.3,,0.35,,0.35,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-202,,9,,3,,6,,4,,0,,,22,,2.773,,,False,,,False,,,False,,,0,,,False,,22,,LEE C,,
,,0.4091,,0.1364,,0.2727,,0.1818,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-203,,4,,5,,6,,2,,2,,,19,,2.368,,,False,,,False,,,False,,,0,,,False,,19,,LEE C,,
,,0.2105,,0.2632,,0.3158,,0.1053,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-204,,8,,11,,3,,1,,0,,,23,,3.13,,,False,,,False,,,False,,,0,,,False,,23,,LEE C,,
,,0.3478,,0.4783,,0.1304,,0.0435,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-205,,4,,6,,4,,0,,2,,,16,,2.625,,,False,,,False,,,False,,,0,,,False,,16,,LEE C,,
,,0.25,,0.375,,0.25,,0.0,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      31,,,32,,26,,7,,4,,100,,,2.79,,0,,,False,,,False,,,2,,,False,,,102,,,,,
31.00%,,,0.32,,0.26,,0.07,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-206-101            3,,,5,,8,,1,,0,,17,,,2.588,,0,,,False,,,False,,,0,,,False,,,17,,MOYES,,R,
17.65%,,,0.2941,,0.4706,,0.0588,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-206-102            3,,,9,,2,,0,,0,,14,,,3.071,,0,,,False,,,False,,,1,,,False,,,15,,MOYES,,R,
21.43%,,,0.6429,,0.1429,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:       6,,,14,,10,,1,,0,,31,,,2.806,,0,,,False,,,False,,,1,,,False,,,32,,,,,
19.35%,,,0.4516,,0.3226,,0.0323,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPR,,I,,,S,,,U,,,Q,,,X,,,TOTAL,,INSTRUCTOR,,
BIOL-213-100,,7,,6,,7,,5,,6,,,31,,2.097,,,False,,,False,,,False,,,1,,,False,,32,,LOCKLESS S,,
,,0.2258,,0.1935,,0.2258,,0.1613,,0.1935,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,6,,7,,5,,6,,,31,,2.097,,,False,,,False,,,False,,,1,,,False,,32,,,,
,,0.2258,,0.1935,,0.2258,,0.1613,,0.1935,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-214-200,,7,,12,,1,,0,,0,,,20,,3.3,,,False,,,False,,,False,,,0,,,False,,20,,BERNARDO J,,
,,0.35,,0.6,,0.05,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,12,,1,,0,,0,,,20,,3.3,,,False,,,False,,,False,,,0,,,False,,20,,,,
,,0.35,,0.6,,0.05,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-301,,1,,5,,8,,2,,1,,,17,,2.176,,,True,,,False,,,False,,,2,,,False,,20,,COHN W,,
,,0.0588,,0.2941,,0.4706,,0.1176,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-302,,3,,9,,7,,1,,2,,,22,,2.454,,,False,,,False,,,False,,,0,,,False,,22,,COHN W,,
,,0.1364,,0.4091,,0.3182,,0.0455,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-303,,2,,7,,9,,0,,0,,,18,,2.611,,,False,,,False,,,False,,,1,,,False,,19,,COHN W,,
,,0.1111,,0.3889,,0.5,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-304,,3,,7,,11,,0,,0,,,21,,2.619,,,False,,,False,,,False,,,1,,,False,,22,,COHN W,,
,,0.1429,,0.3333,,0.5238,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-305,,9,,6,,6,,0,,0,,,21,,3.143,,,True,,,False,,,False,,,0,,,False,,22,,COHN W,,
,,0.4286,,0.2857,,0.2857,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-306,,0,,6,,5,,0,,2,,,13,,2.154,,,False,,,False,,,False,,,0,,,False,,13,,COHN W,,
,,0.0,,0.4615,,0.3846,,0.0,,0.1538,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      18,,,40,,46,,3,,5,,112,,,2.563,,2,,,False,,,False,,,4,,,False,,,118,,,,,
16.07%,,,0.3571,,0.4107,,0.0268,,0.0446,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-320-301            2,,,11,,3,,4,,0,,20,,,2.55,,0,,,False,,,False,,,2,,,False,,,22,,TAYLOR,,,L
10.00%,,,0.55,,0.15,,0.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-320-302            2,,,10,,9,,1,,0,,22,,,2.591,,0,,,False,,,False,,,0,,,False,,,22,,TAYLOR,,,L
9.09%,,,0.4545,,0.4091,,0.0455,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPR,,I,,,S,,,U,,,Q,,,X,,,TOTAL,,INSTRUCTOR,,
BIOL-320-303,,2,,5,,7,,1,,0,,,15,,2.533,,,False,,,False,,,False,,,1,,,False,,16,,TAYLOR L,,
,,0.1333,,0.3333,,0.4667,,0.0667,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-320-304,,7,,10,,4,,1,,0,,,22,,3.046,,,False,,,False,,,False,,,0,,,False,,22,,TAYLOR L,,
,,0.3182,,0.4545,,0.1818,,0.0455,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-320-305,,2,,7,,8,,3,,0,,,20,,2.4,,,False,,,False,,,False,,,0,,,False,,20,,TAYLOR L,,
,,0.1,,0.35,,0.4,,0.15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-320-306,,0,,7,,4,,3,,0,,,14,,2.286,,,False,,,False,,,False,,,0,,,False,,14,,TAYLOR L,,
,,0.0,,0.5,,0.2857,,0.2143,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      15,,,50,,35,,13,,0,,113,,,2.593,,0,,,False,,,False,,,3,,,False,,,116,,,,,
13.27%,,,0.4425,,0.3097,,0.115,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-689-100           13,,,3,,0,,0,,0,,16,,,3.812,,0,,,False,,,False,,,0,,,False,,,16,,ARAMAYO R,,,
81.25%,,,0.1875,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      13,,,3,,0,,0,,0,,16,,,3.813,,0,,,False,,,False,,,0,,,False,,,16,,,,,
81.25%,,,0.1875,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
