SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
BIOL-112-201,,,6,,,5,,,4,,1,,,1,,17,,,2.823,,False,,,False,,False,,0,,,False,,17,,LEE C,,,
,,,0.3529,,,0.2941,,,0.2353,,0.0588,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-202,,,6,,,12,,,2,,1,,,2,,23,,,2.826,,False,,,False,,False,,0,,,False,,23,,LEE C,,,
,,,0.2609,,,0.5217,,,0.087,,0.0435,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-203,,,7,,,7,,,3,,2,,,2,,21,,,2.714,,False,,,False,,False,,1,,,False,,22,,LEE C,,,
,,,0.3333,,,0.3333,,,0.1429,,0.0952,,,0.0952,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-204,,,4,,,7,,,6,,3,,,2,,22,,,2.363,,False,,,False,,False,,0,,,False,,22,,LEE C,,,
,,,0.1818,,,0.3182,,,0.2727,,0.1364,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-205,,,2,,,6,,,4,,1,,,1,,14,,,2.5,,False,,,False,,False,,0,,,False,,14,,LEE C,,,
,,,0.1429,,,0.4286,,,0.2857,,0.0714,,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,25,,,37,,,19,,8,,,8,,97,,,2.649,,False,,,False,,False,,1,,,False,,98,,,,,
,,,0.2577,,,0.3814,,,0.1959,,0.0825,,,0.0825,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-206-101,,,2,,,10,,,3,,0,,,0,,15,,,2.933,,False,,,False,,False,,0,,,False,,15,,MOYES R,,,
,,,0.1333,,,0.6667,,,0.2,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-206-102,,,6,,,6,,,2,,2,,,0,,16,,,3.0,,False,,,False,,False,,1,,,False,,17,,MOYES R,,,
,,,0.375,,,0.375,,,0.125,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,8,,,16,,,5,,2,,,0,,31,,,2.967,,False,,,False,,False,,1,,,False,,32,,,,,
,,,0.2581,,,0.5161,,,0.1613,,0.0645,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-214-200,,,6,,,14,,,6,,0,,,0,,26,,,3.0,,False,,,False,,False,,0,,,False,,26,,BERNARDO J,,,
,,,0.2308,,,0.5385,,,0.2308,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,6,,,14,,,6,,0,,,0,,26,,,3.0,,False,,,False,,False,,0,,,False,,26,,,,,
,,,0.2308,,,0.5385,,,0.2308,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-301,,,5,,,12,,,3,,1,,,0,,21,,,3.0,,False,,,False,,False,,0,,,False,,21,,COHN W,,,
,,,0.2381,,,0.5714,,,0.1429,,0.0476,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-302,,,4,,,6,,,7,,1,,,1,,19,,,2.578,,False,,,False,,False,,0,,,False,,19,,COHN W,,,
,,,0.2105,,,0.3158,,,0.3684,,0.0526,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,
COHN W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-319-303,,3,,,6,,,0,,,1,,,0,,10,,3.1,,,False,,,False,,False,,1,,,False,,11,,,,,
,,0.3,,,0.6,,,0.0,,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
