SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,cc,TOTAL,ee,INSTRUCTOR,gg
BIOL-107-501,,4,,6,,5,,1,,1,,,17,,2.647,,0,,,False,,False,4,,,,False,,21,,WINEMILLER,L
,,0.2353,,0.3529,,0.2941,,0.0588,,0.0588,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-502,,6,,9,,6,,1,,0,,,22,,2.909,,0,,,False,,False,1,,,,False,,23,,WINEMILLER,L
,,0.2727,,0.4091,,0.2727,,0.0455,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-503,,5,,7,,6,,1,,3,,,22,,2.454,,0,,,False,,False,1,,,,False,,23,,WINEMILLER,L
,,0.2273,,0.3182,,0.2727,,0.0455,,0.1364,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-504,,11,,5,,2,,3,,0,,,21,,3.142,,0,,,False,,False,3,,,,False,,24,,WINEMILLER,L
,,0.5238,,0.2381,,0.0952,,0.1429,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-505,,9,,6,,5,,3,,0,,,23,,2.913,,0,,,False,,False,1,,,,False,,24,,WINEMILLER,L
,,0.3913,,0.2609,,0.2174,,0.1304,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-506,,2,,3,,1,,2,,0,,,8,,2.625,,0,,,False,,False,1,,,,False,,9,,WINEMILLER,L
,,0.25,,0.375,,0.125,,0.25,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-507,,4,,5,,9,,3,,0,,,21,,2.476,,0,,,False,,False,3,,,,False,,24,,WINEMILLER,L
,,0.1905,,0.2381,,0.4286,,0.1429,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-508,,6,,6,,6,,1,,1,,,20,,2.75,,0,,,False,,False,3,,,,False,,23,,WINEMILLER,L
,,0.3,,0.3,,0.3,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-509,,2,,2,,4,,0,,0,,,8,,2.75,,0,,,False,,False,0,,,,False,,8,,WINEMILLER,L
,,0.25,,0.25,,0.5,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-510,,5,,10,,3,,1,,2,,,21,,2.714,,0,,,False,,False,2,,,,False,,23,,WINEMILLER,L
,,0.2381,,0.4762,,0.1429,,0.0476,,0.0952,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,54,,59,,47,,16,,7,,,183,,2.748,,0,,,False,,False,19,,,,False,,202,,,
,,0.2951,,0.3224,,0.2568,,0.0874,,0.0383,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-501,,10,,6,,3,,1,,2,,,22,,2.954,,0,,,False,,False,1,,,,False,,23,,WAN W,
,,0.4545,,0.2727,,0.1364,,0.0455,,0.0909,,,,,,,,,,,,,,,,,,,,,,
