SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk
BIMS-101-501,,,109,,,12,,,0,,0,,,1,,122,,,3.868,,False,,,False,,False,,1,,,False,,123,,PATTERSON C,
,,,0.8934,,,0.0984,,,0.0,,0.0,,,0.0082,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-502,,,116,,,5,,,0,,0,,,1,,122,,,3.926,,False,,,False,,False,,0,,,False,,122,,PATTERSON C,
,,,0.9508,,,0.041,,,0.0,,0.0,,,0.0082,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-503,,,105,,,13,,,1,,0,,,2,,121,,,3.809,,False,,,False,,False,,2,,,False,,123,,IVANOV I,
,,,0.8678,,,0.1074,,,0.0083,,0.0,,,0.0165,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-504,,,95,,,18,,,7,,0,,,3,,123,,,3.642,,False,,,False,,False,,0,,,False,,123,,IVANOV I,
,,,0.7724,,,0.1463,,,0.0569,,0.0,,,0.0244,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,425,,,48,,,8,,0,,,7,,488,,,3.811,,False,,,False,,False,,3,,,False,,491,,,
,,,0.8709,,,0.0984,,,0.0164,,0.0,,,0.0143,,,,,,,,,,,,,,,,,,,,,,
BIMS-110-501,,,88,,,10,,,2,,0,,,0,,100,,,3.86,,False,,,False,,False,,1,,,False,,101,,YOUNG C,
,,,0.88,,,0.1,,,0.02,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIMS-110-502,,,84,,,12,,,1,,1,,,0,,98,,,3.826,,False,,,False,,False,,1,,,False,,99,,YOUNG C,
,,,0.8571,,,0.1224,,,0.0102,,0.0102,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,172,,,22,,,3,,1,,,0,,198,,,3.843,,False,,,False,,False,,2,,,False,,200,,,
,,,0.8687,,,0.1111,,,0.0152,,0.0051,,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-201,,,11,,,1,,,0,,0,,,0,,12,,,3.916,,False,,,False,,False,,0,,,False,,12,,SKOW L,
,,,0.9167,,,0.0833,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-501,,,23,,,21,,,7,,2,,,1,,54,,,3.166,,False,,,False,,False,,2,,,False,,56,,SAMOLLOW P,
,,,0.4259,,,0.3889,,,0.1296,,0.037,,,0.0185,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-502,,,31,,,20,,,4,,1,,,0,,56,,,3.446,,False,,,False,,False,,0,,,False,,56,,DINDOT S,
,,,0.5536,,,0.3571,,,0.0714,,0.0179,,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-503,,,44,,,11,,,1,,1,,,0,,57,,,3.719,,False,,,False,,False,,0,,,False,,57,,RAUDSEPP T,
,,,0.7719,,,0.193,,,0.0175,,0.0175,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,109,,,53,,,12,,4,,,1,,179,,,3.48,,False,,,False,,False,,2,,,False,,181,,,
,,,0.6089,,,0.2961,,,0.067,,0.0223,,,0.0056,,,,,,,,,,,,,,,,,,,,,,
BIMS-405-500,,12,,,11,,,3,,,1,,,0,,27,,3.259,,,False,,,False,,False,,0,,,False,,27,,WOMACK J,
,,0.4444,,,0.4074,,,0.1111,,,0.037,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,,11,,,3,,,1,,,0,,27,,3.259,,,False,,,False,,False,,0,,,False,,27,,,
,,0.4444,,,0.4074,,,0.1111,,,0.037,,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIMS-421-500,,35,,,0,,,0,,,0,,,0,,35,,4.0,,,False,,,False,,False,,0,,,False,,35,,VENKATRAJ V,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,35,,,0,,,0,,,0,,,0,,35,,4.0,,,False,,,False,,False,,0,,,False,,35,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIMS-491-532,,7,,,0,,,0,,,0,,,0,,7,,4.0,,,True,,,False,,False,,1,,,False,,9,,TIFFANY-CASTIGLION,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,,0,,,0,,,0,,,0,,7,,4.0,,,True,,,False,,False,,1,,,False,,9,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
VMID-689-600,,26,,,0,,,0,,,0,,,0,,26,,4.0,,,False,,,False,,False,,0,,,False,,26,,BURGHARDT R,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,,0,,,0,,,0,,,0,,26,,4.0,,,False,,,False,,False,,0,,,False,,26,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,786,,,134,,,26,,,6,,,8,,9603.687,,,,,True,,,False,,False,,8,,,False,,969,,,
,,0.8188,,,0.1396,,,0.0271,,,0.0063,,,0.0083,,,,,,,,,,,,,,,,,,,,,,
