BIMS-101-501,98,4,0,0_2,0_3,102,3.96,0_4,j,0_5,l,0_6,n,0_7,p,0_8,r,102_2,IVANOV I,u
,0.9608,0.0392,0.0,0.0,0.0,,,,,,,,,,,,,,,
BIMS-101-502,93,6,1,0,0,100,3.92,0,,False,,False,,0,,False,,100,IVANOV I,
,0.93,0.06,0.01,0.0,0.0,,,,,,,,,,,,,,,
BIMS-101-504,89,2,0,0,0,91,3.978,0,,False,,False,,0,,False,,91,TIAN Y,
,0.978,0.022,0.0,0.0,0.0,,,,,,,,,,,,,,,
COURSE TOTAL:,280,12,1,0,0,293,3.952,0,,False,,False,,0,,False,,293,,
,0.9556,0.041,0.0034,0.0,0.0,,,,,,,,,,,,,,,
BIMS-110-501,63,10,0,1,1,75,3.773,0,,False,,False,,0,,False,,75,YOUNG C,
,0.84,0.1333,0.0,0.0133,0.0133,,,,,,,,,,,,,,,
BIMS-110-502,57,4,1,0,0,62,3.903,0,,False,,False,,0,,False,,62,YOUNG C,
,0.9194,0.0645,0.0161,0.0,0.0,,,,,,,,,,,,,,,
COURSE TOTAL:,120,14,1,1,1,137,3.832,0,,False,,False,,0,,False,,137,,
,0.8759,0.1022,0.0073,0.0073,0.0073,,,,,,,,,,,,,,,
BIMS-201-500,34,4,0,0,0,38,3.894,0,,False,,False,,0,,False,,38,CROUCH E,
,0.8947,0.1053,0.0,0.0,0.0,,,,,,,,,,,,,,,
COURSE TOTAL:,34,4,0,0,0,38,3.894,0,,False,,False,,0,,False,,38,,
,0.8947,0.1053,0.0,0.0,0.0,,,,,,,,,,,,,,,
BIMS-320-200,7,4,0,0,0,11,3.636,0,,False,,False,,0,,False,,11,SEABURY C,
,0.6364,0.3636,0.0,0.0,0.0,,,,,,,,,,,,,,,
BIMS-320-501,38,22,4,0,0,64,3.531,0,,False,,False,,1,,False,,65,BERGTHORSSON,U
,0.5938,0.3438,0.0625,0.0,0.0,,,,,,,,,,,,,,,
BIMS-320-502,29,51,5,5,0,90,3.155,0,,False,,False,,4,,True,,95,DERR J,
,0.3222,0.5667,0.0556,0.0556,0.0,,,,,,,,,,,,,,,
BIMS-320-503,24,28,10,2,0,64,3.156,0,,False,,False,,1,,False,,65,MURPHY W,
,0.375,0.4375,0.1563,0.0313,0.0,,,,,,,,,,,,,,,
COURSE TOTAL:,98,105,19,7,0,229,3.283,0,,False,,False,,6,,True,,236,,
,0.4279,0.4585,0.083,0.0306,0.0,,,,,,,,,,,,,,,
BIMS-421-500,31,3,0,0,0,34,3.911,0,,False,,False,,0,,False,,34,VENKATRAJ V,
,0.9118,0.0882,0.0,0.0,0.0,,,,,,,,,,,,,,,
COURSE TOTAL:,31,3,0,0,0,34,3.911,0,,False,,False,,0,,False,,34,,
,0.9118,0.0882,0.0,0.0,0.0,,,,,,,,,,,,,,,
BIMS-485-543,16,0,0,0,0,16,4.0,1,,False,,False,,0,,False,,17,CROUCH E,
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16,4.0,1,,False,,False,,0,,False,,17,,
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
BIMS-489-599,8,1,0,0,0,9,3.888,0,,False,,False,,2,,False,,11,THREADGILL D,
,0.8889,0.1111,0.0,0.0,0.0,,,,,,,,,,,,,,,
COURSE TOTAL:,8,1,0,0,0,9,3.888,0,,False,,False,,2,,False,,11,,
,0.8889,0.1111,0.0,0.0,0.0,,,,,,,,,,,,,,,
BIMS-491-532,7,0,0,0,0,7,4.0,0,,False,,False,,0,,False,,7,TIFFANY-CASTIGLION,
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.0,0,,False,,False,,0,,False,,7,,
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
VMID-686-600,58,0,0,0,0,58,4.0,0,,False,,False,,0,,False,,58,JOHNSON L,
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
COURSE TOTAL:,58,0,0,0,0,58,4.0,0,,False,,False,,0,,False,,58,,
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,,U,,Q,,X,,TOTAL,,INSTRUCTOR,
DEPARTMENT TOTAL:,652,139,21,8,1,8213.615,,1,,False,,False,,8,,True,,831,,
,0.7942,0.1693,0.0256,0.0097,0.0012,,,,,,,,,,,,,,,
